m,k,n,time,GFLOPS
2000,2000,2000,0.027434,583.228407
2000,2000,2000,0.025515,627.083731
2000,2000,2000,0.025189,635.210488
2000,2000,2000,0.025520,626.955735
2000,2000,2000,0.028421,562.965828
2000,2000,2000,0.027087,590.698572
2000,2000,2000,0.027281,586.478210
2000,2000,2000,0.027290,586.295067
2000,2000,2000,0.027582,580.089052
2000,2000,2000,0.027429,583.327685
2000,2000,2000,0.028008,571.260580
2000,2000,2000,0.027660,578.444630
2000,2000,2000,0.026445,605.018988
2000,2000,2000,0.027714,577.328852
2000,2000,2000,0.027784,575.871772
3000,3000,3000,0.059745,903.845320
3000,3000,3000,0.058466,923.618227
3000,3000,3000,0.059959,900.615931
3000,3000,3000,0.062104,869.512207
3000,3000,3000,0.062789,860.019390
3000,3000,3000,0.056626,953.618116
3000,3000,3000,0.059329,910.176593
3000,3000,3000,0.055103,979.986925
3000,3000,3000,0.058668,920.437831
3000,3000,3000,0.057919,932.333996
3000,3000,3000,0.058709,919.785475
3000,3000,3000,0.059867,901.996810
3000,3000,3000,0.059936,900.965640
3000,3000,3000,0.056630,953.552291
3000,3000,3000,0.052037,1037.731435
4000,4000,4000,0.102924,1243.636613
4000,4000,4000,0.106788,1198.633307
4000,4000,4000,0.105825,1209.544710
4000,4000,4000,0.104489,1225.006107
4000,4000,4000,0.101921,1255.868684
4000,4000,4000,0.103873,1232.270017
4000,4000,4000,0.106727,1199.319105
4000,4000,4000,0.107114,1194.985895
4000,4000,4000,0.106280,1204.367877
4000,4000,4000,0.103144,1240.981542
4000,4000,4000,0.105279,1215.814294
4000,4000,4000,0.104083,1229.787872
4000,4000,4000,0.104643,1223.202862
4000,4000,4000,0.106865,1197.776209
4000,4000,4000,0.107044,1195.772868
5000,5000,5000,0.180228,1387.132055
5000,5000,5000,0.179330,1394.076635
5000,5000,5000,0.179109,1395.801199
5000,5000,5000,0.177210,1410.756492
5000,5000,5000,0.176821,1413.862908
5000,5000,5000,0.179220,1394.936738
5000,5000,5000,0.184534,1354.762306
