m,k,n,time,GFLOPS
2000,2000,2000,0.036173,442.314919
2000,2000,2000,0.035174,454.879403
2000,2000,2000,0.034861,458.959524
2000,2000,2000,0.035502,450.682212
2000,2000,2000,0.036783,434.982299
2000,2000,2000,0.034716,460.878196
2000,2000,2000,0.037650,424.967680
2000,2000,2000,0.035502,450.677134
2000,2000,2000,0.035520,450.452999
2000,2000,2000,0.035282,453.489147
2000,2000,2000,0.034485,463.964770
2000,2000,2000,0.033689,474.929863
2000,2000,2000,0.035593,449.527944
2000,2000,2000,0.035578,449.721350
2000,2000,2000,0.035495,450.767587
3000,3000,3000,0.065684,822.117244
3000,3000,3000,0.067969,794.483472
3000,3000,3000,0.074172,728.033019
3000,3000,3000,0.071964,750.377075
3000,3000,3000,0.070767,763.064049
3000,3000,3000,0.071600,754.190207
3000,3000,3000,0.070877,761.884767
3000,3000,3000,0.077995,692.348825
3000,3000,3000,0.069503,776.941370
3000,3000,3000,0.069849,773.100556
3000,3000,3000,0.072572,744.086661
3000,3000,3000,0.073458,735.118276
3000,3000,3000,0.072524,744.582151
3000,3000,3000,0.074494,724.890478
3000,3000,3000,0.069575,776.144659
4000,4000,4000,0.114879,1114.213470
4000,4000,4000,0.120880,1058.899358
4000,4000,4000,0.120039,1066.323097
4000,4000,4000,0.118438,1080.734753
4000,4000,4000,0.120217,1064.742331
4000,4000,4000,0.120609,1061.276400
4000,4000,4000,0.114717,1115.787082
4000,4000,4000,0.122720,1043.021780
4000,4000,4000,0.127138,1006.777350
4000,4000,4000,0.118401,1081.073850
4000,4000,4000,0.123256,1038.492411
4000,4000,4000,0.131412,974.033566
4000,4000,4000,0.127180,1006.445956
4000,4000,4000,0.127777,1001.745510
4000,4000,4000,0.123222,1038.773326
5000,5000,5000,0.216163,1156.536910
5000,5000,5000,0.212074,1178.834181
5000,5000,5000,0.216364,1155.459031
5000,5000,5000,0.204073,1225.054347
5000,5000,5000,0.214665,1164.607073
5000,5000,5000,0.207571,1204.404683
5000,5000,5000,0.208899,1196.751270
5000,5000,5000,0.209473,1193.472016
5000,5000,5000,0.209801,1191.602567
5000,5000,5000,0.208692,1197.937257
5000,5000,5000,0.217632,1148.728936
5000,5000,5000,0.210652,1186.792094
5000,5000,5000,0.211213,1183.641035
5000,5000,5000,0.212817,1174.715657
5000,5000,5000,0.214951,1163.053304
6000,6000,6000,0.427348,1010.885888
6000,6000,6000,0.424159,1018.485755
6000,6000,6000,0.426817,1012.144350
6000,6000,6000,0.427545,1010.419070
6000,6000,6000,0.420097,1028.334978
6000,6000,6000,0.424258,1018.249040
6000,6000,6000,0.422039,1023.602344
6000,6000,6000,0.416010,1038.436371
6000,6000,6000,0.427698,1010.057571
6000,6000,6000,0.424799,1016.951525
6000,6000,6000,0.417967,1033.573951
6000,6000,6000,0.421344,1025.290913
6000,6000,6000,0.422889,1021.545168
6000,6000,6000,0.425607,1015.021415
6000,6000,6000,0.417996,1033.501692
7000,7000,7000,0.858633,798.944077
7000,7000,7000,0.855933,801.464816
