cores,m,k,n,time,GFLOPS
1,12000,12000,12000,70.435553,49.066130
1,12000,12000,12000,70.354140,49.122909
1,12000,12000,12000,70.269041,49.182399
1,12000,12000,12000,70.493873,49.025537
1,12000,12000,12000,70.112150,49.292455
1,12000,12000,12000,70.282848,49.172737
1,12000,12000,12000,70.132829,49.277921
1,12000,12000,12000,70.286325,49.170304
1,12000,12000,12000,70.265129,49.185137
1,12000,12000,12000,70.777299,48.829215
2,12000,12000,12000,35.825812,96.466759
2,12000,12000,12000,35.868718,96.351367
2,12000,12000,12000,35.909952,96.240731
2,12000,12000,12000,35.831475,96.451513
2,12000,12000,12000,35.998539,96.003896
2,12000,12000,12000,35.879752,96.321737
2,12000,12000,12000,35.880181,96.320586
2,12000,12000,12000,36.037218,95.900855
2,12000,12000,12000,35.818513,96.486417
2,12000,12000,12000,35.866194,96.358148
3,12000,12000,12000,24.309352,142.167507
3,12000,12000,12000,24.098552,143.411105
3,12000,12000,12000,24.158982,143.052384
3,12000,12000,12000,24.374054,141.790117
3,12000,12000,12000,24.139994,143.164906
3,12000,12000,12000,24.025471,143.847334
3,12000,12000,12000,24.431932,141.454225
3,12000,12000,12000,24.124278,143.258176
3,12000,12000,12000,24.850272,139.072924
3,12000,12000,12000,24.023070,143.861715
4,12000,12000,12000,18.107480,190.860356
4,12000,12000,12000,18.108094,190.853885
4,12000,12000,12000,18.079178,191.159135
4,12000,12000,12000,18.099548,190.944000
4,12000,12000,12000,18.036108,191.615621
4,12000,12000,12000,18.330785,188.535297
4,12000,12000,12000,18.091061,191.033567
4,12000,12000,12000,18.470995,187.104162
4,12000,12000,12000,18.104300,190.893879
4,12000,12000,12000,18.231827,189.558622
5,12000,12000,12000,14.439029,239.351276
5,12000,12000,12000,14.432090,239.466349
5,12000,12000,12000,14.430364,239.494993
5,12000,12000,12000,14.441624,239.308265
5,12000,12000,12000,14.441574,239.309087
5,12000,12000,12000,14.432634,239.457325
5,12000,12000,12000,14.436797,239.388280
5,12000,12000,12000,14.442238,239.298093
5,12000,12000,12000,14.428817,239.520680
5,12000,12000,12000,14.428757,239.521670
6,12000,12000,12000,12.112085,285.334849
6,12000,12000,12000,12.131709,284.873311
6,12000,12000,12000,12.140906,284.657513
6,12000,12000,12000,12.346414,279.919341
6,12000,12000,12000,12.425740,278.132338
6,12000,12000,12000,12.143445,284.597978
6,12000,12000,12000,12.169514,283.988341
6,12000,12000,12000,12.219116,282.835516
6,12000,12000,12000,12.123272,285.071566
6,12000,12000,12000,12.419590,278.270046
7,12000,12000,12000,10.449308,330.739594
7,12000,12000,12000,10.456620,330.508318
7,12000,12000,12000,10.508258,328.884201
7,12000,12000,12000,10.480544,329.753873
7,12000,12000,12000,10.509641,328.840929
7,12000,12000,12000,10.504008,329.017276
7,12000,12000,12000,10.496794,329.243397
7,12000,12000,12000,10.468653,330.128443
7,12000,12000,12000,10.496539,329.251375
7,12000,12000,12000,10.489131,329.483935
8,12000,12000,12000,9.069897,381.040708
8,12000,12000,12000,9.072294,380.940031
8,12000,12000,12000,9.068170,381.113264
8,12000,12000,12000,9.065589,381.221788
8,12000,12000,12000,9.124248,378.770938
8,12000,12000,12000,9.075826,380.791779
8,12000,12000,12000,9.132830,378.415002
8,12000,12000,12000,9.066724,381.174069
8,12000,12000,12000,9.063381,381.314671
8,12000,12000,12000,9.082572,380.508977
9,12000,12000,12000,8.149966,424.050831
9,12000,12000,12000,8.108919,426.197402
9,12000,12000,12000,8.237999,419.519360
9,12000,12000,12000,8.210223,420.938646
9,12000,12000,12000,8.132132,424.980793
9,12000,12000,12000,8.171288,422.944315
9,12000,12000,12000,8.148609,424.121455
9,12000,12000,12000,8.463255,408.353545
9,12000,12000,12000,8.138933,424.625661
9,12000,12000,12000,8.130797,425.050597
10,12000,12000,12000,7.535946,458.601985
10,12000,12000,12000,7.507773,460.322929
10,12000,12000,12000,7.546298,457.972883
10,12000,12000,12000,7.420585,465.731487
10,12000,12000,12000,7.660097,451.169244
10,12000,12000,12000,7.526535,459.175465
10,12000,12000,12000,7.463205,463.071801
10,12000,12000,12000,7.490394,461.390945
10,12000,12000,12000,7.468774,462.726521
10,12000,12000,12000,7.703870,448.605690
11,12000,12000,12000,6.906187,500.420858
11,12000,12000,12000,6.913834,499.867360
11,12000,12000,12000,6.902423,500.693771
11,12000,12000,12000,6.908497,500.253498
11,12000,12000,12000,6.915478,499.748510
11,12000,12000,12000,6.892366,501.424324
11,12000,12000,12000,6.904569,500.538086
11,12000,12000,12000,6.946147,497.542033
11,12000,12000,12000,6.951203,497.180110
11,12000,12000,12000,6.942071,497.834179
12,12000,12000,12000,6.166538,560.444133
12,12000,12000,12000,6.308828,547.803819
12,12000,12000,12000,6.231455,554.605614
12,12000,12000,12000,6.150724,561.885105
12,12000,12000,12000,6.199660,557.449928
12,12000,12000,12000,6.143379,562.556897
12,12000,12000,12000,6.213883,556.173982
12,12000,12000,12000,6.375446,542.079687
12,12000,12000,12000,6.529220,529.312828
12,12000,12000,12000,6.533660,528.953127
13,12000,12000,12000,6.254917,552.525275
13,12000,12000,12000,6.332037,545.795944
13,12000,12000,12000,6.218766,555.737275
13,12000,12000,12000,6.336780,545.387444
13,12000,12000,12000,6.199805,557.436862
13,12000,12000,12000,6.229578,554.772710
13,12000,12000,12000,6.202581,557.187439
13,12000,12000,12000,6.255065,552.512279
13,12000,12000,12000,6.612730,522.628293
13,12000,12000,12000,6.301178,548.468868
14,12000,12000,12000,5.633757,613.445039
14,12000,12000,12000,5.904625,585.303894
14,12000,12000,12000,5.699324,606.387753
14,12000,12000,12000,5.620420,614.900622
14,12000,12000,12000,5.698132,606.514568
14,12000,12000,12000,5.678326,608.630099
14,12000,12000,12000,5.627841,614.089862
14,12000,12000,12000,5.618423,615.119201
14,12000,12000,12000,5.618887,615.068456
14,12000,12000,12000,5.662079,610.376489
15,12000,12000,12000,5.144491,671.786635
15,12000,12000,12000,5.156054,670.279982
