cores,m,k,n,time,GFLOPS
1,2000,1000,200,0.013743,58.210568
1,2000,1000,200,0.015620,51.217078
1,2000,1000,200,0.015377,52.026717
1,2000,1000,200,0.028022,28.549312
1,2000,1000,200,0.014289,55.986049
1,2000,1000,200,0.015455,51.762875
1,2000,1000,200,0.015526,51.524829
1,2000,1000,200,0.014819,53.986363
1,2000,1000,200,0.015705,50.937596
1,2000,1000,200,0.017641,45.350152
2,2000,1000,200,0.014696,54.437889
2,2000,1000,200,0.017874,44.758770
2,2000,1000,200,0.015733,50.848008
2,2000,1000,200,0.015332,52.177256
2,2000,1000,200,0.015077,53.059785
2,2000,1000,200,0.017922,44.637995
2,2000,1000,200,0.014582,54.862524
2,2000,1000,200,0.014965,53.456669
2,2000,1000,200,0.014443,55.389035
2,2000,1000,200,0.015032,53.220658
3,2000,1000,200,0.017571,45.529921
3,2000,1000,200,0.017375,46.042196
3,2000,1000,200,0.015097,52.989253
3,2000,1000,200,0.015246,52.473406
3,2000,1000,200,0.014614,54.741193
3,2000,1000,200,0.015432,51.840641
3,2000,1000,200,0.015590,51.315225
3,2000,1000,200,0.015222,52.554324
3,2000,1000,200,0.014504,55.156985
3,2000,1000,200,0.015269,52.392463
4,2000,1000,200,0.014756,54.214536
4,2000,1000,200,0.015636,51.162799
4,2000,1000,200,0.014703,54.412186
4,2000,1000,200,0.018393,43.493796
4,2000,1000,200,0.015832,50.529007
4,2000,1000,200,0.018141,44.099530
4,2000,1000,200,0.014826,53.959767
4,2000,1000,200,0.017681,45.246821
4,2000,1000,200,0.014418,55.485832
4,2000,1000,200,0.018004,44.433889
5,2000,1000,200,0.014494,55.195912
5,2000,1000,200,0.017451,45.842729
5,2000,1000,200,0.014471,55.283423
5,2000,1000,200,0.018114,44.164973
5,2000,1000,200,0.014567,54.918561
5,2000,1000,200,0.016198,49.389070
5,2000,1000,200,0.014383,55.621533
5,2000,1000,200,0.017814,44.907614
5,2000,1000,200,0.014805,54.037401
5,2000,1000,200,0.014538,55.030057
6,2000,1000,200,0.014339,55.793744
6,2000,1000,200,0.017408,45.954887
6,2000,1000,200,0.014647,54.619461
6,2000,1000,200,0.015596,51.293701
6,2000,1000,200,0.014719,54.350928
6,2000,1000,200,0.015163,52.759754
6,2000,1000,200,0.014886,53.741540
6,2000,1000,200,0.014844,53.895488
6,2000,1000,200,0.014754,54.222672
6,2000,1000,200,0.014730,54.309230
7,2000,1000,200,0.014294,55.968670
7,2000,1000,200,0.015781,50.694377
7,2000,1000,200,0.017498,45.719051
7,2000,1000,200,0.015506,51.594110
7,2000,1000,200,0.017444,45.860263
7,2000,1000,200,0.016228,49.296712
7,2000,1000,200,0.014744,54.260629
7,2000,1000,200,0.015997,50.009505
7,2000,1000,200,0.015618,51.222659
7,2000,1000,200,0.015334,52.172553
8,2000,1000,200,0.015695,50.972030
8,2000,1000,200,0.015246,52.474304
8,2000,1000,200,0.014804,54.038208
8,2000,1000,200,0.017858,44.797621
8,2000,1000,200,0.015735,50.841758
8,2000,1000,200,0.016399,48.784676
8,2000,1000,200,0.015367,52.059893
8,2000,1000,200,0.016252,49.224081
8,2000,1000,200,0.014764,54.186441
8,2000,1000,200,0.015710,50.923310
9,2000,1000,200,0.015338,52.157124
9,2000,1000,200,0.016646,48.059409
9,2000,1000,200,0.015546,51.458528
9,2000,1000,200,0.015217,52.573744
9,2000,1000,200,0.017606,45.439349
9,2000,1000,200,0.015050,53.154702
9,2000,1000,200,0.015149,52.807773
9,2000,1000,200,0.015152,52.797962
9,2000,1000,200,0.015542,51.473950
9,2000,1000,200,0.021677,36.905105
10,2000,1000,200,0.014954,53.497828
10,2000,1000,200,0.015902,50.307793
10,2000,1000,200,0.015747,50.802011
10,2000,1000,200,0.015333,52.173921
10,2000,1000,200,0.015045,53.172646
10,2000,1000,200,0.016086,49.732059
10,2000,1000,200,0.014676,54.510740
10,2000,1000,200,0.015815,50.585835
10,2000,1000,200,0.015726,50.870722
10,2000,1000,200,0.016142,49.561112
11,2000,1000,200,0.014976,53.418696
11,2000,1000,200,0.015225,52.544473
