m,k,n,time,GFLOPS
2000,2000,2000,0.039372,406.384638
2000,2000,2000,0.029771,537.432564
2000,2000,2000,0.029850,536.006523
2000,2000,2000,0.031725,504.330910
2000,2000,2000,0.030050,532.444896
2000,2000,2000,0.029703,538.660452
2000,2000,2000,0.027189,588.471721
2000,2000,2000,0.029884,535.397935
2000,2000,2000,0.030053,532.385634
2000,2000,2000,0.029719,538.370417
3000,3000,3000,0.081716,660.822871
3000,3000,3000,0.086219,626.309255
3000,3000,3000,0.086366,625.245047
3000,3000,3000,0.082051,658.126404
3000,3000,3000,0.086324,625.551028
3000,3000,3000,0.085930,628.417061
3000,3000,3000,0.082494,654.589538
3000,3000,3000,0.086808,622.058979
3000,3000,3000,0.081917,659.205639
3000,3000,3000,0.086581,623.690856
4000,4000,4000,0.185430,690.287730
4000,4000,4000,0.185646,689.485706
4000,4000,4000,0.184350,694.330452
4000,4000,4000,0.182999,699.455654
4000,4000,4000,0.186539,686.185341
4000,4000,4000,0.182302,702.132051
4000,4000,4000,0.187305,683.376653
4000,4000,4000,0.194869,656.850774
4000,4000,4000,0.187970,680.959173
4000,4000,4000,0.186906,684.836968
5000,5000,5000,0.365190,684.575179
5000,5000,5000,0.350512,713.242396
5000,5000,5000,0.353314,707.585314
5000,5000,5000,0.354901,704.421112
5000,5000,5000,0.351050,712.148558
5000,5000,5000,0.365232,684.496248
5000,5000,5000,0.352150,709.924760
5000,5000,5000,0.355649,702.940523
5000,5000,5000,0.353965,706.284743
5000,5000,5000,0.364121,686.584439
6000,6000,6000,0.604681,714.425966
6000,6000,6000,0.589220,733.172324
6000,6000,6000,0.607248,711.406329
6000,6000,6000,0.604111,715.100591
6000,6000,6000,0.603602,715.703341
6000,6000,6000,0.594485,726.679270
6000,6000,6000,0.593827,727.485073
6000,6000,6000,0.588914,733.554156
6000,6000,6000,0.594593,726.547572
6000,6000,6000,0.604309,714.865760
7000,7000,7000,0.914664,750.002110
7000,7000,7000,0.919850,745.773967
7000,7000,7000,0.920786,745.015530
7000,7000,7000,0.930121,737.538733
7000,7000,7000,0.931372,736.547679
7000,7000,7000,0.915755,749.108589
7000,7000,7000,0.917803,747.437339
7000,7000,7000,0.921057,744.796488
7000,7000,7000,0.928609,738.739608
7000,7000,7000,0.920489,745.255671
8000,8000,8000,1.385080,739.307583
8000,8000,8000,1.388013,737.745022
8000,8000,8000,1.381213,741.377229
8000,8000,8000,1.378095,743.054563
8000,8000,8000,1.380193,741.925203
8000,8000,8000,1.379536,742.278637
8000,8000,8000,1.386587,738.503991
8000,8000,8000,1.384362,739.690814
8000,8000,8000,1.381562,741.189825
8000,8000,8000,1.379991,742.033966
9000,9000,9000,1.949216,747.993176
9000,9000,9000,1.962398,742.968694
9000,9000,9000,1.949468,747.896464
9000,9000,9000,1.950108,747.650748
9000,9000,9000,1.943737,750.101338
9000,9000,9000,1.946315,749.107827
9000,9000,9000,1.945129,749.564798
9000,9000,9000,1.944368,749.858107
9000,9000,9000,1.945285,749.504577
9000,9000,9000,1.951032,747.296943
10000,10000,10000,2.678398,746.714909
10000,10000,10000,2.682532,745.564390
10000,10000,10000,2.672563,748.345316
10000,10000,10000,2.682402,745.600337
10000,10000,10000,2.683185,745.382720
10000,10000,10000,2.679259,746.475183
10000,10000,10000,2.674961,747.674348
10000,10000,10000,2.674321,747.853514
10000,10000,10000,2.692612,742.773200
10000,10000,10000,2.680242,746.201379
11000,11000,11000,3.546789,750.538079
11000,11000,11000,3.571862,745.269459
11000,11000,11000,3.563644,746.988157
11000,11000,11000,3.559058,747.950655
11000,11000,11000,3.567029,746.279373
11000,11000,11000,3.566620,746.364959
11000,11000,11000,3.547639,750.358094
11000,11000,11000,3.554105,748.993139
11000,11000,11000,3.579799,743.617248
11000,11000,11000,3.545664,750.776239
12000,12000,12000,4.637902,745.164501
12000,12000,12000,4.638498,745.068780
12000,12000,12000,4.623806,747.436146
12000,12000,12000,4.616302,748.651128
12000,12000,12000,4.661216,741.437488
12000,12000,12000,4.656361,742.210533
12000,12000,12000,4.646220,743.830400
12000,12000,12000,4.642740,744.387993
12000,12000,12000,4.644068,744.175103
12000,12000,12000,4.633290,745.906186
13000,13000,13000,5.883024,746.894746
13000,13000,13000,5.928543,741.160157
13000,13000,13000,5.899818,744.768716
13000,13000,13000,5.876637,747.706593
13000,13000,13000,5.862569,749.500784
13000,13000,13000,5.930091,740.966710
13000,13000,13000,5.940914,739.616797
13000,13000,13000,5.855388,750.419945
13000,13000,13000,5.888555,746.193283
13000,13000,13000,5.887048,746.384235
14000,14000,14000,7.255056,756.437973
14000,14000,14000,7.307402,751.019338
14000,14000,14000,7.284102,753.421663
14000,14000,14000,7.325832,749.129884
14000,14000,14000,7.255702,756.370629
14000,14000,14000,7.358705,745.783379
14000,14000,14000,7.299944,751.786636
14000,14000,14000,7.233361,758.706735
14000,14000,14000,7.239990,758.012121
14000,14000,14000,7.246287,757.353358
15000,15000,15000,9.010869,749.095359
15000,15000,15000,9.033865,747.188518
15000,15000,15000,8.983290,751.395119
15000,15000,15000,9.023454,748.050557
15000,15000,15000,9.030591,747.459402
15000,15000,15000,9.007863,749.345361
15000,15000,15000,9.001742,749.854891
15000,15000,15000,9.010672,749.111713
15000,15000,15000,9.041049,746.594777
15000,15000,15000,9.013658,748.863546
16000,16000,16000,10.904592,751.243166
16000,16000,16000,10.914147,750.585471
16000,16000,16000,10.923035,749.974676
16000,16000,16000,10.905936,751.150564
16000,16000,16000,10.930613,749.454786
16000,16000,16000,10.923459,749.945621
16000,16000,16000,10.942017,748.673651
16000,16000,16000,10.948753,748.213040
16000,16000,16000,10.897600,751.725126
16000,16000,16000,10.918296,750.300201
17000,17000,17000,13.070514,751.768463
17000,17000,17000,13.028380,754.199651
17000,17000,17000,13.034933,753.820534
17000,17000,17000,13.055539,752.630752
17000,17000,17000,13.053247,752.762901
17000,17000,17000,13.031399,754.024940
17000,17000,17000,13.032470,753.963011
17000,17000,17000,13.031752,754.004546
17000,17000,17000,13.027646,754.242177
17000,17000,17000,13.032004,753.989973
18000,18000,18000,15.629255,746.292782
18000,18000,18000,15.588275,748.254693
18000,18000,18000,15.537259,750.711576
18000,18000,18000,15.579705,748.666298
18000,18000,18000,15.584101,748.455112
18000,18000,18000,15.558301,749.696259
18000,18000,18000,15.572500,749.012678
18000,18000,18000,15.559773,749.625316
18000,18000,18000,15.581403,748.584698
18000,18000,18000,15.544914,750.341888
19000,19000,19000,18.300237,749.607776
19000,19000,19000,18.293977,749.864293
19000,19000,19000,18.338811,748.031037
19000,19000,19000,18.318418,748.863805
19000,19000,19000,18.320685,748.771145
19000,19000,19000,18.278113,750.515107
19000,19000,19000,18.311699,749.138578
19000,19000,19000,18.309920,749.211346
19000,19000,19000,18.326510,748.533121
19000,19000,19000,18.306824,749.338064
20000,20000,20000,21.223987,753.863996
20000,20000,20000,21.172884,755.683526
20000,20000,20000,21.101521,758.239169
20000,20000,20000,21.163388,756.022614
20000,20000,20000,21.099234,758.321366
20000,20000,20000,21.147021,756.607754
20000,20000,20000,21.084587,758.848168
20000,20000,20000,21.097542,758.382195
20000,20000,20000,21.020310,761.168605
20000,20000,20000,21.086351,758.784682
