cores,m,k,n,time,GFLOPS
1,12000,12000,12000,52.913182,65.314537
1,12000,12000,12000,52.926415,65.298207
1,12000,12000,12000,52.927767,65.296539
1,12000,12000,12000,52.934867,65.287781
1,12000,12000,12000,52.944402,65.276023
1,12000,12000,12000,52.938141,65.283744
1,12000,12000,12000,52.927671,65.296657
1,12000,12000,12000,52.984034,65.227197
1,12000,12000,12000,52.928625,65.295480
1,12000,12000,12000,52.931979,65.291343
2,12000,12000,12000,29.362046,117.702968
2,12000,12000,12000,29.110268,118.720996
2,12000,12000,12000,28.953409,119.364184
2,12000,12000,12000,28.960776,119.333817
2,12000,12000,12000,29.220466,118.273268
2,12000,12000,12000,29.194068,118.380212
2,12000,12000,12000,29.151662,118.552416
2,12000,12000,12000,29.427119,117.442689
2,12000,12000,12000,29.141934,118.591992
2,12000,12000,12000,29.164124,118.501761
3,12000,12000,12000,18.997410,181.919534
3,12000,12000,12000,18.946293,182.410354
3,12000,12000,12000,19.153474,180.437239
3,12000,12000,12000,19.088368,181.052668
3,12000,12000,12000,18.909134,182.768813
3,12000,12000,12000,19.102201,180.921564
3,12000,12000,12000,18.974563,182.138582
3,12000,12000,12000,18.953560,182.340418
3,12000,12000,12000,19.118501,180.767308
3,12000,12000,12000,19.087468,181.061208
4,12000,12000,12000,14.706028,235.005670
4,12000,12000,12000,14.955110,231.091586
4,12000,12000,12000,14.716320,234.841316
4,12000,12000,12000,14.910514,231.782748
4,12000,12000,12000,14.880162,232.255540
4,12000,12000,12000,14.863741,232.512117
4,12000,12000,12000,14.894667,232.029360
4,12000,12000,12000,14.850124,232.725325
4,12000,12000,12000,14.900793,231.933959
4,12000,12000,12000,14.744378,234.394426
5,12000,12000,12000,11.232294,307.684264
5,12000,12000,12000,11.221073,307.991923
5,12000,12000,12000,11.235139,307.606342
5,12000,12000,12000,11.239981,307.473838
5,12000,12000,12000,11.215214,308.152837
5,12000,12000,12000,11.229637,307.757049
5,12000,12000,12000,11.222813,307.944172
5,12000,12000,12000,11.236149,307.578686
5,12000,12000,12000,11.234727,307.617619
5,12000,12000,12000,11.236059,307.581145
6,12000,12000,12000,10.391589,332.576672
6,12000,12000,12000,10.390230,332.620150
6,12000,12000,12000,10.387466,332.708670
6,12000,12000,12000,10.383699,332.829384
6,12000,12000,12000,10.369114,333.297519
6,12000,12000,12000,10.411463,331.941829
6,12000,12000,12000,10.390113,332.623918
6,12000,12000,12000,10.414746,331.837170
6,12000,12000,12000,10.352629,333.828259
6,12000,12000,12000,10.388680,332.669793
7,12000,12000,12000,8.132626,424.954967
7,12000,12000,12000,8.152284,423.930269
7,12000,12000,12000,8.140981,424.518873
7,12000,12000,12000,8.151111,423.991259
7,12000,12000,12000,8.149290,424.086005
7,12000,12000,12000,8.156503,423.711011
7,12000,12000,12000,8.164122,423.315599
7,12000,12000,12000,8.148045,424.150803
7,12000,12000,12000,8.150261,424.035483
7,12000,12000,12000,8.202839,421.317555
8,12000,12000,12000,7.506641,460.392335
8,12000,12000,12000,7.505622,460.454847
8,12000,12000,12000,7.513114,459.995701
8,12000,12000,12000,7.494024,461.167479
8,12000,12000,12000,7.510803,460.137216
8,12000,12000,12000,7.527358,459.125211
8,12000,12000,12000,7.525045,459.266378
8,12000,12000,12000,7.513187,459.991191
8,12000,12000,12000,7.509711,460.204115
8,12000,12000,12000,7.498881,460.868739
9,12000,12000,12000,6.963706,496.287497
9,12000,12000,12000,6.978469,495.237548
9,12000,12000,12000,6.957835,496.706249
9,12000,12000,12000,7.014417,492.699550
9,12000,12000,12000,6.959139,496.613129
9,12000,12000,12000,6.967860,495.991619
9,12000,12000,12000,6.967525,496.015423
9,12000,12000,12000,6.958456,496.661901
9,12000,12000,12000,6.955373,496.882065
9,12000,12000,12000,6.961513,496.443785
10,12000,12000,12000,6.110438,565.589558
10,12000,12000,12000,6.088480,567.629365
10,12000,12000,12000,6.138460,563.007705
10,12000,12000,12000,6.170013,560.128516
10,12000,12000,12000,6.002950,575.716913
10,12000,12000,12000,6.116728,565.007954
10,12000,12000,12000,6.156568,561.351690
10,12000,12000,12000,6.157305,561.284537
10,12000,12000,12000,6.143409,562.554094
10,12000,12000,12000,6.105203,566.074549
11,12000,12000,12000,5.347393,646.296215
11,12000,12000,12000,5.339334,647.271782
11,12000,12000,12000,5.345901,646.476576
11,12000,12000,12000,5.350650,645.902795
11,12000,12000,12000,5.347966,646.227009
11,12000,12000,12000,5.346515,646.402387
11,12000,12000,12000,5.352793,645.644269
11,12000,12000,12000,5.350003,645.980947
11,12000,12000,12000,5.344812,646.608315
11,12000,12000,12000,5.338738,647.343961
8,12000,12000,12000,7.521773,459.466143
8,12000,12000,12000,7.522344,459.431243
8,12000,12000,12000,7.513063,459.998804
8,12000,12000,12000,7.514841,459.889949
8,12000,12000,12000,7.516212,459.806105
8,12000,12000,12000,7.519616,459.597952
8,12000,12000,12000,7.513187,459.991209
8,12000,12000,12000,7.514647,459.901822
8,12000,12000,12000,7.503884,460.561510
8,12000,12000,12000,7.526040,459.205652
9,12000,12000,12000,6.948099,497.402224
9,12000,12000,12000,6.980989,495.058830
9,12000,12000,12000,6.972716,495.646175
9,12000,12000,12000,6.948283,497.389096
9,12000,12000,12000,6.958941,496.627307
9,12000,12000,12000,6.997717,493.875365
9,12000,12000,12000,6.951682,497.145897
9,12000,12000,12000,6.956629,496.792315
9,12000,12000,12000,6.972528,495.659572
9,12000,12000,12000,6.989537,494.453381
10,12000,12000,12000,6.167351,560.370271
10,12000,12000,12000,6.152218,561.748629
10,12000,12000,12000,5.946872,581.145818
10,12000,12000,12000,6.128262,563.944529
10,12000,12000,12000,5.975081,578.402184
