m,k,n,time,GFLOPS
2000,2000,2000,0.019931,802.773261
2000,2000,2000,0.019110,837.262537
2000,2000,2000,0.019689,812.646280
2000,2000,2000,0.020068,797.278689
2000,2000,2000,0.018694,855.867798
2000,2000,2000,0.021444,746.145250
2000,2000,2000,0.019390,825.150037
2000,2000,2000,0.020250,790.117370
2000,2000,2000,0.019239,831.633725
2000,2000,2000,0.020342,786.552392
2000,2000,2000,0.020273,789.223936
2000,2000,2000,0.020601,776.661139
2000,2000,2000,0.018835,849.460608
2000,2000,2000,0.018403,869.404992
2000,2000,2000,0.019600,816.338776
3000,3000,3000,0.034745,1554.165160
3000,3000,3000,0.035468,1522.507396
3000,3000,3000,0.032715,1650.635632
3000,3000,3000,0.033890,1593.394800
3000,3000,3000,0.032622,1655.335994
3000,3000,3000,0.033307,1621.285047
3000,3000,3000,0.034276,1575.426520
3000,3000,3000,0.034096,1583.784255
3000,3000,3000,0.034212,1578.372278
3000,3000,3000,0.032745,1649.094748
3000,3000,3000,0.034911,1546.793378
3000,3000,3000,0.033931,1591.464375
3000,3000,3000,0.033829,1596.267241
3000,3000,3000,0.033034,1634.685409
3000,3000,3000,0.036518,1478.729746
4000,4000,4000,0.066735,1918.048041
4000,4000,4000,0.069521,1841.173181
4000,4000,4000,0.064980,1969.822686
4000,4000,4000,0.063601,2012.556782
4000,4000,4000,0.065771,1946.131861
4000,4000,4000,0.065235,1962.140920
4000,4000,4000,0.066971,1911.266354
4000,4000,4000,0.062876,2035.754238
4000,4000,4000,0.067773,1888.654102
4000,4000,4000,0.066930,1912.432438
4000,4000,4000,0.061657,2076.008847
4000,4000,4000,0.066939,1912.197450
4000,4000,4000,0.061772,2072.133325
4000,4000,4000,0.062460,2049.326751
4000,4000,4000,0.066501,1924.771161
5000,5000,5000,0.098541,2537.013325
5000,5000,5000,0.098159,2546.879390
5000,5000,5000,0.096725,2584.652620
5000,5000,5000,0.101465,2463.894460
5000,5000,5000,0.095819,2609.079645
5000,5000,5000,0.097153,2573.266269
5000,5000,5000,0.100400,2490.044156
5000,5000,5000,0.107833,2318.409315
5000,5000,5000,0.101883,2453.800868
5000,5000,5000,0.098075,2549.066185
5000,5000,5000,0.099093,2522.888324
5000,5000,5000,0.097729,2558.101337
5000,5000,5000,0.100307,2492.349732
5000,5000,5000,0.098293,2543.419218
5000,5000,5000,0.103774,2409.077141
6000,6000,6000,0.145413,2970.852880
6000,6000,6000,0.151743,2846.919779
6000,6000,6000,0.150598,2868.558868
6000,6000,6000,0.150101,2878.062354
6000,6000,6000,0.148135,2916.259684
6000,6000,6000,0.152401,2834.619350
6000,6000,6000,0.149271,2894.055657
6000,6000,6000,0.151055,2859.879281
6000,6000,6000,0.149385,2891.849178
6000,6000,6000,0.148863,2901.996105
6000,6000,6000,0.149809,2883.664388
6000,6000,6000,0.152304,2836.439811
6000,6000,6000,0.148441,2910.249502
6000,6000,6000,0.148003,2918.860778
6000,6000,6000,0.153025,2823.069897
7000,7000,7000,0.222494,3083.222310
7000,7000,7000,0.221222,3100.957143
7000,7000,7000,0.221336,3099.362839
7000,7000,7000,0.224478,3055.984328
7000,7000,7000,0.223645,3067.363839
7000,7000,7000,0.228883,2997.166886
7000,7000,7000,0.223623,3067.661944
7000,7000,7000,0.222768,3079.432687
7000,7000,7000,0.227317,3017.806222
7000,7000,7000,0.226481,3028.956176
7000,7000,7000,0.223910,3063.728514
7000,7000,7000,0.227174,3019.709570
7000,7000,7000,0.228774,2998.587857
7000,7000,7000,0.224247,3059.128676
7000,7000,7000,0.229098,2994.354402
8000,8000,8000,0.321671,3183.376210
8000,8000,8000,0.324373,3156.856904
8000,8000,8000,0.333523,3070.250706
8000,8000,8000,0.327564,3126.109355
8000,8000,8000,0.320704,3192.979407
8000,8000,8000,0.325607,3144.893447
8000,8000,8000,0.318967,3210.365920
8000,8000,8000,0.329348,3109.169150
8000,8000,8000,0.318013,3219.993503
8000,8000,8000,0.320891,3191.116779
8000,8000,8000,0.318099,3219.124659
8000,8000,8000,0.324696,3153.714742
