m,k,n,time,GFLOPS
2000,2000,2000,0.025629,624.301563
2000,2000,2000,0.022985,696.098070
2000,2000,2000,0.020478,781.334276
2000,2000,2000,0.022896,698.805610
2000,2000,2000,0.021192,755.009369
2000,2000,2000,0.021738,736.031976
2000,2000,2000,0.021416,747.113655
2000,2000,2000,0.020431,783.129894
2000,2000,2000,0.021442,746.209733
2000,2000,2000,0.023085,693.083846
2000,2000,2000,0.021239,753.333832
2000,2000,2000,0.022395,714.447326
2000,2000,2000,0.022214,720.263710
2000,2000,2000,0.022822,701.088782
2000,2000,2000,0.022411,713.936841
3000,3000,3000,0.037362,1445.303764
3000,3000,3000,0.038274,1410.868795
3000,3000,3000,0.035380,1526.290955
3000,3000,3000,0.036412,1483.023297
3000,3000,3000,0.037003,1459.355293
3000,3000,3000,0.036897,1463.547385
3000,3000,3000,0.034985,1543.503783
3000,3000,3000,0.039086,1381.568071
3000,3000,3000,0.038208,1413.304154
3000,3000,3000,0.035602,1516.766463
3000,3000,3000,0.035770,1509.659008
3000,3000,3000,0.035032,1541.469248
3000,3000,3000,0.034044,1586.183985
3000,3000,3000,0.037666,1433.644292
3000,3000,3000,0.039818,1356.171768
4000,4000,4000,0.063008,2031.498318
4000,4000,4000,0.060350,2120.958108
4000,4000,4000,0.061960,2065.853002
4000,4000,4000,0.066764,1917.206515
4000,4000,4000,0.064813,1974.903177
4000,4000,4000,0.061538,2080.025200
4000,4000,4000,0.062827,2037.334959
4000,4000,4000,0.064877,1972.961670
4000,4000,4000,0.066059,1937.669355
4000,4000,4000,0.064163,1994.914402
4000,4000,4000,0.061669,2075.602188
4000,4000,4000,0.062916,2034.462750
4000,4000,4000,0.066042,1938.174974
4000,4000,4000,0.062099,2061.231888
4000,4000,4000,0.068351,1872.680135
5000,5000,5000,0.093208,2682.175995
5000,5000,5000,0.097451,2565.398472
5000,5000,5000,0.090886,2750.695197
5000,5000,5000,0.098669,2533.727049
5000,5000,5000,0.093731,2667.204176
5000,5000,5000,0.096270,2596.856408
5000,5000,5000,0.091611,2728.943128
5000,5000,5000,0.093546,2672.493215
5000,5000,5000,0.092668,2697.805821
5000,5000,5000,0.098601,2535.480577
5000,5000,5000,0.095719,2611.798833
5000,5000,5000,0.098196,2545.925777
5000,5000,5000,0.093407,2676.457247
5000,5000,5000,0.095280,2623.859222
5000,5000,5000,0.093091,2685.557638
6000,6000,6000,0.131128,3294.490980
6000,6000,6000,0.136496,3164.933127
6000,6000,6000,0.127079,3399.461864
6000,6000,6000,0.133005,3247.989673
6000,6000,6000,0.133497,3236.028455
6000,6000,6000,0.128940,3350.391817
6000,6000,6000,0.129692,3330.957379
