cores,m,k,n,time,GFLOPS
1,12000,12000,12000,34.928046,98.946273
1,12000,12000,12000,34.864614,99.126294
1,12000,12000,12000,35.156990,98.301930
1,12000,12000,12000,34.906281,99.007968
1,12000,12000,12000,34.876540,99.092398
1,12000,12000,12000,34.881612,99.077991
1,12000,12000,12000,34.898284,99.030659
1,12000,12000,12000,34.939459,98.913953
1,12000,12000,12000,34.922770,98.961223
1,12000,12000,12000,34.929730,98.941503
2,12000,12000,12000,17.786740,194.302048
2,12000,12000,12000,17.815352,193.989988
2,12000,12000,12000,17.791561,194.249394
2,12000,12000,12000,17.805040,194.102344
2,12000,12000,12000,17.806347,194.088094
2,12000,12000,12000,17.796396,194.196627
2,12000,12000,12000,17.803111,194.123379
2,12000,12000,12000,17.792783,194.236059
2,12000,12000,12000,17.806054,194.091289
2,12000,12000,12000,17.779952,194.376223
3,12000,12000,12000,11.937556,289.506487
3,12000,12000,12000,11.931682,289.649014
3,12000,12000,12000,11.946926,289.279444
3,12000,12000,12000,11.927991,289.738653
3,12000,12000,12000,11.916805,290.010616
3,12000,12000,12000,11.925259,289.805020
3,12000,12000,12000,11.915900,290.032653
3,12000,12000,12000,11.931790,289.646393
3,12000,12000,12000,11.926944,289.764074
3,12000,12000,12000,11.915781,290.035538
4,12000,12000,12000,8.971319,385.227620
4,12000,12000,12000,8.946550,386.294146
4,12000,12000,12000,8.949297,386.175579
4,12000,12000,12000,8.950252,386.134368
4,12000,12000,12000,8.944393,386.387319
4,12000,12000,12000,8.947535,386.251641
4,12000,12000,12000,8.948017,386.230807
4,12000,12000,12000,8.969986,385.284867
4,12000,12000,12000,8.943238,386.437197
4,12000,12000,12000,8.943975,386.405368
5,12000,12000,12000,7.186064,480.930881
5,12000,12000,12000,7.168007,482.142419
5,12000,12000,12000,7.154942,483.022786
5,12000,12000,12000,7.170005,482.008064
5,12000,12000,12000,7.168979,482.076989
5,12000,12000,12000,7.172063,481.869735
5,12000,12000,12000,7.163849,482.422255
5,12000,12000,12000,7.160290,482.661984
5,12000,12000,12000,7.159131,482.740139
5,12000,12000,12000,7.173721,481.758352
6,12000,12000,12000,6.038754,572.303523
6,12000,12000,12000,6.042323,571.965413
6,12000,12000,12000,6.031830,572.960490
6,12000,12000,12000,6.038847,572.294640
6,12000,12000,12000,6.036196,572.546061
6,12000,12000,12000,6.033217,572.828740
6,12000,12000,12000,6.034532,572.703860
6,12000,12000,12000,6.039565,572.226690
6,12000,12000,12000,6.039492,572.233529
6,12000,12000,12000,6.046864,571.535889
7,12000,12000,12000,5.221591,661.867207
7,12000,12000,12000,5.229043,660.924014
7,12000,12000,12000,5.223243,661.657951
7,12000,12000,12000,5.225609,661.358364
7,12000,12000,12000,5.225624,661.356414
7,12000,12000,12000,5.223367,661.642198
7,12000,12000,12000,5.222345,661.771643
7,12000,12000,12000,5.223780,661.589851
7,12000,12000,12000,5.225701,661.346692
7,12000,12000,12000,5.235461,660.113812
8,12000,12000,12000,4.514522,765.529540
8,12000,12000,12000,4.517608,765.006600
8,12000,12000,12000,4.514148,765.593006
8,12000,12000,12000,4.514221,765.580517
8,12000,12000,12000,4.515392,765.382112
8,12000,12000,12000,4.532829,762.437764
8,12000,12000,12000,4.516909,765.124956
8,12000,12000,12000,4.517579,765.011445
8,12000,12000,12000,4.518290,764.891097
8,12000,12000,12000,4.514671,765.504210
9,12000,12000,12000,4.038992,855.658985
9,12000,12000,12000,4.035331,856.435343
9,12000,12000,12000,4.040395,855.361851
9,12000,12000,12000,4.036433,856.201533
9,12000,12000,12000,4.038165,855.834238
9,12000,12000,12000,4.037442,855.987497
9,12000,12000,12000,4.034116,856.693335
9,12000,12000,12000,4.034086,856.699715
9,12000,12000,12000,4.037852,855.900523
9,12000,12000,12000,4.039153,855.624842
10,12000,12000,12000,3.745287,922.759688
10,12000,12000,12000,3.742132,923.537660
