cores,m,k,n,time,GFLOPS
1,12000,12000,12000,35.383042,97.673908
1,12000,12000,12000,35.411436,97.595591
1,12000,12000,12000,35.422882,97.564055
1,12000,12000,12000,35.383293,97.673215
1,12000,12000,12000,35.418056,97.577350
1,12000,12000,12000,35.393202,97.645870
1,12000,12000,12000,35.413630,97.589543
1,12000,12000,12000,35.541145,97.239411
1,12000,12000,12000,35.308096,97.881234
1,12000,12000,12000,35.395930,97.638345
2,12000,12000,12000,18.735255,184.465065
2,12000,12000,12000,18.702815,184.785013
2,12000,12000,12000,18.730503,184.511858
2,12000,12000,12000,18.897507,182.881264
2,12000,12000,12000,18.750569,184.314409
2,12000,12000,12000,18.784835,183.978193
2,12000,12000,12000,18.770485,184.118846
2,12000,12000,12000,18.717988,184.635230
2,12000,12000,12000,18.752949,184.291013
2,12000,12000,12000,18.778762,184.037693
3,12000,12000,12000,12.761482,270.814949
3,12000,12000,12000,12.773940,270.550826
3,12000,12000,12000,12.738673,271.299835
3,12000,12000,12000,12.750375,271.050858
3,12000,12000,12000,12.768306,270.670196
3,12000,12000,12000,12.740656,271.257609
3,12000,12000,12000,12.789459,270.222537
3,12000,12000,12000,12.749222,271.075361
3,12000,12000,12000,12.752527,271.005104
3,12000,12000,12000,12.747538,271.111168
4,12000,12000,12000,9.623709,359.113105
4,12000,12000,12000,9.499584,363.805408
4,12000,12000,12000,9.522797,362.918590
4,12000,12000,12000,9.552842,361.777163
4,12000,12000,12000,9.566609,361.256542
4,12000,12000,12000,9.502138,363.707619
4,12000,12000,12000,9.521194,362.979701
4,12000,12000,12000,9.542501,362.169198
4,12000,12000,12000,9.932286,347.956151
4,12000,12000,12000,9.613222,359.504849
5,12000,12000,12000,7.349983,470.205166
5,12000,12000,12000,7.411874,466.278837
5,12000,12000,12000,7.465398,462.935793
5,12000,12000,12000,7.600009,454.736329
5,12000,12000,12000,7.336323,471.080682
5,12000,12000,12000,7.372326,468.780147
5,12000,12000,12000,7.522422,459.426523
5,12000,12000,12000,7.466113,462.891480
5,12000,12000,12000,7.353909,469.954149
5,12000,12000,12000,7.474947,462.344402
6,12000,12000,12000,6.468990,534.241083
6,12000,12000,12000,6.468009,534.322083
6,12000,12000,12000,6.462535,534.774651
6,12000,12000,12000,6.579262,525.286864
6,12000,12000,12000,6.568843,526.120027
6,12000,12000,12000,6.442865,536.407305
6,12000,12000,12000,6.568648,526.135685
6,12000,12000,12000,6.482685,533.112436
6,12000,12000,12000,6.608220,522.984980
6,12000,12000,12000,6.490756,532.449546
7,12000,12000,12000,5.359719,644.809965
7,12000,12000,12000,5.397125,640.340918
7,12000,12000,12000,5.469958,631.814709
7,12000,12000,12000,5.480854,630.558631
7,12000,12000,12000,5.487085,629.842603
7,12000,12000,12000,5.354009,645.497566
7,12000,12000,12000,5.364071,644.286758
7,12000,12000,12000,5.355248,645.348221
7,12000,12000,12000,5.478856,630.788657
7,12000,12000,12000,5.465709,632.305910
8,12000,12000,12000,4.980630,693.888109
8,12000,12000,12000,5.080648,680.228182
8,12000,12000,12000,5.057356,683.360982
8,12000,12000,12000,5.011128,689.665075
8,12000,12000,12000,4.663313,741.103994
8,12000,12000,12000,5.089234,679.080631
8,12000,12000,12000,4.667417,740.452353
8,12000,12000,12000,4.659589,741.696299
8,12000,12000,12000,5.085731,679.548317
8,12000,12000,12000,4.942108,699.296746
9,12000,12000,12000,4.245562,814.026564
9,12000,12000,12000,4.201061,822.649400
9,12000,12000,12000,4.246109,813.921688
9,12000,12000,12000,4.221019,818.759672
9,12000,12000,12000,4.225931,817.808021
9,12000,12000,12000,4.240854,814.930267
9,12000,12000,12000,4.242255,814.661131
9,12000,12000,12000,4.253924,812.426369
9,12000,12000,12000,4.236970,815.677214
9,12000,12000,12000,4.204304,822.014767
10,12000,12000,12000,4.059324,851.373313
10,12000,12000,12000,3.838569,900.335596
10,12000,12000,12000,4.049502,853.438304
10,12000,12000,12000,4.075257,848.044667
10,12000,12000,12000,4.103251,842.258949
10,12000,12000,12000,4.070961,848.939622
10,12000,12000,12000,4.019747,859.755514
10,12000,12000,12000,4.058305,851.587014
10,12000,12000,12000,4.079704,847.120367
10,12000,12000,12000,3.830639,902.199346
11,12000,12000,12000,3.581860,964.861891
11,12000,12000,12000,3.584798,964.071071
11,12000,12000,12000,3.585364,963.918968
11,12000,12000,12000,3.529540,979.164321
11,12000,12000,12000,3.517841,982.420660
11,12000,12000,12000,3.583647,964.380583
11,12000,12000,12000,3.582686,964.639262
11,12000,12000,12000,3.551629,973.074707
11,12000,12000,12000,3.534144,977.888950
11,12000,12000,12000,3.515300,983.130835
12,12000,12000,12000,3.230144,1069.921382
12,12000,12000,12000,3.255502,1061.587415
12,12000,12000,12000,3.228035,1070.620421
12,12000,12000,12000,3.310503,1043.950246
12,12000,12000,12000,3.257712,1060.867100
12,12000,12000,12000,3.301323,1046.853033
12,12000,12000,12000,3.311017,1043.788196
12,12000,12000,12000,3.220536,1073.113358
12,12000,12000,12000,3.237945,1067.343714
12,12000,12000,12000,3.229350,1070.184376
13,12000,12000,12000,3.301690,1046.736528
13,12000,12000,12000,3.240392,1066.537525
13,12000,12000,12000,3.223399,1072.160233
13,12000,12000,12000,3.229497,1070.135577
13,12000,12000,12000,3.252635,1062.523067
13,12000,12000,12000,3.275491,1055.108929
13,12000,12000,12000,3.229986,1069.973651
13,12000,12000,12000,3.246566,1064.509412
13,12000,12000,12000,3.223871,1072.003082
13,12000,12000,12000,3.216183,1074.565660
14,12000,12000,12000,2.841024,1216.462831
14,12000,12000,12000,2.836847,1218.254060
14,12000,12000,12000,2.793019,1237.370924
14,12000,12000,12000,2.791645,1237.979878
14,12000,12000,12000,2.791494,1238.046810
14,12000,12000,12000,3.030152,1140.536840
14,12000,12000,12000,2.789339,1239.003332
14,12000,12000,12000,2.797293,1235.480293
14,12000,12000,12000,3.012575,1147.191518
14,12000,12000,12000,3.018316,1145.009297
15,12000,12000,12000,2.670571,1294.105339
15,12000,12000,12000,2.662581,1297.988536
15,12000,12000,12000,2.669295,1294.723738
15,12000,12000,12000,2.667913,1295.394715
15,12000,12000,12000,2.674605,1292.153246
15,12000,12000,12000,2.609040,1324.625099
15,12000,12000,12000,2.685834,1286.750989
15,12000,12000,12000,2.684039,1287.611529
15,12000,12000,12000,2.602127,1328.144469
15,12000,12000,12000,2.685441,1286.939311
16,12000,12000,12000,2.567036,1346.300019
16,12000,12000,12000,2.508114,1377.927957
16,12000,12000,12000,2.507743,1378.131747
16,12000,12000,12000,2.553554,1353.407930
16,12000,12000,12000,2.511601,1376.014576
16,12000,12000,12000,2.514460,1374.449916
16,12000,12000,12000,2.561654,1349.128378
16,12000,12000,12000,2.506563,1378.780699
16,12000,12000,12000,2.559503,1350.262315
16,12000,12000,12000,2.507997,1377.992144
17,12000,12000,12000,2.583888,1337.519233
17,12000,12000,12000,2.568929,1345.307952
17,12000,12000,12000,2.508015,1377.982203
17,12000,12000,12000,2.564741,1347.504605
17,12000,12000,12000,2.567647,1345.979211
17,12000,12000,12000,2.568146,1345.718032
17,12000,12000,12000,2.515015,1374.147020
17,12000,12000,12000,2.577218,1340.980947
17,12000,12000,12000,2.500332,1382.216185
17,12000,12000,12000,2.576945,1341.123037
18,12000,12000,12000,2.404856,1437.092059
18,12000,12000,12000,2.422827,1426.433078
18,12000,12000,12000,2.443326,1414.465126
18,12000,12000,12000,2.462409,1403.503388
18,12000,12000,12000,2.458044,1405.995824
18,12000,12000,12000,2.409988,1434.032100
18,12000,12000,12000,2.452017,1409.451929
18,12000,12000,12000,2.456720,1406.753711
18,12000,12000,12000,2.458293,1405.853626
18,12000,12000,12000,2.458774,1405.578560
19,12000,12000,12000,2.398491,1440.905863
19,12000,12000,12000,2.445071,1413.455950
19,12000,12000,12000,2.388109,1447.170004
19,12000,12000,12000,2.436686,1418.320020
19,12000,12000,12000,2.406610,1436.045142
19,12000,12000,12000,2.472854,1397.575459
19,12000,12000,12000,2.450213,1410.489791
19,12000,12000,12000,2.451995,1409.464718
19,12000,12000,12000,2.440397,1416.162826
19,12000,12000,12000,2.387356,1447.626430
20,12000,12000,12000,2.242950,1540.827942
20,12000,12000,12000,2.281329,1514.906372
20,12000,12000,12000,2.239347,1543.306989
