m,k,n,time,GFLOPS
2000,2000,2000,0.019258,830.811647
2000,2000,2000,0.019061,839.421852
2000,2000,2000,0.016422,974.321216
2000,2000,2000,0.021543,742.713539
2000,2000,2000,0.019711,811.735586
2000,2000,2000,0.018775,852.215318
2000,2000,2000,0.016221,986.402321
2000,2000,2000,0.015812,1011.912487
2000,2000,2000,0.018836,849.439142
2000,2000,2000,0.016161,990.054715
3000,3000,3000,0.047437,1138.355759
3000,3000,3000,0.059305,910.540523
3000,3000,3000,0.043948,1228.722508
3000,3000,3000,0.056553,954.855037
3000,3000,3000,0.046807,1153.662110
3000,3000,3000,0.046956,1150.003079
3000,3000,3000,0.046674,1156.955447
3000,3000,3000,0.046927,1150.730477
3000,3000,3000,0.057015,947.117302
3000,3000,3000,0.046935,1150.515093
4000,4000,4000,0.105764,1210.246144
4000,4000,4000,0.114902,1113.988121
4000,4000,4000,0.105772,1210.153864
4000,4000,4000,0.106194,1205.346128
4000,4000,4000,0.114759,1115.380890
4000,4000,4000,0.103206,1240.236252
4000,4000,4000,0.107781,1187.588468
4000,4000,4000,0.106014,1207.389218
4000,4000,4000,0.103173,1240.639857
4000,4000,4000,0.106261,1204.582522
5000,5000,5000,0.196080,1274.987362
5000,5000,5000,0.194036,1288.421157
5000,5000,5000,0.195569,1278.319239
5000,5000,5000,0.194067,1288.211722
5000,5000,5000,0.195823,1276.662340
5000,5000,5000,0.194377,1286.159672
5000,5000,5000,0.194317,1286.554705
5000,5000,5000,0.206397,1211.258772
5000,5000,5000,0.208314,1200.110472
5000,5000,5000,0.194821,1283.227521
6000,6000,6000,0.329631,1310.558003
6000,6000,6000,0.335057,1289.332894
6000,6000,6000,0.329929,1309.372460
6000,6000,6000,0.330022,1309.002353
6000,6000,6000,0.342808,1260.181504
6000,6000,6000,0.331238,1304.196276
6000,6000,6000,0.346166,1247.956406
6000,6000,6000,0.329966,1309.225755
6000,6000,6000,0.332505,1299.226649
6000,6000,6000,0.333213,1296.468651
7000,7000,7000,0.525840,1304.578863
7000,7000,7000,0.538209,1274.597201
7000,7000,7000,0.528262,1298.597862
7000,7000,7000,0.525114,1306.382632
7000,7000,7000,0.537987,1275.123962
7000,7000,7000,0.525909,1304.409040
7000,7000,7000,0.536871,1277.773216
7000,7000,7000,0.529134,1296.459025
7000,7000,7000,0.536900,1277.705874
7000,7000,7000,0.526427,1303.124932
8000,8000,8000,0.773552,1323.763122
8000,8000,8000,0.775104,1321.113295
8000,8000,8000,0.774413,1322.292117
8000,8000,8000,0.772771,1325.101161
8000,8000,8000,0.773932,1323.114271
8000,8000,8000,0.775420,1320.574305
8000,8000,8000,0.775028,1321.242240
8000,8000,8000,0.773554,1323.761002
8000,8000,8000,0.774083,1322.855453
8000,8000,8000,0.776189,1319.266727
9000,9000,9000,1.108856,1314.868972
9000,9000,9000,1.105805,1318.496701
9000,9000,9000,1.101194,1324.017111
9000,9000,9000,1.103049,1321.791345
9000,9000,9000,1.104763,1319.740058
9000,9000,9000,1.102119,1322.906262
9000,9000,9000,1.104904,1319.571251
9000,9000,9000,1.100292,1325.102297
9000,9000,9000,1.102903,1321.965731
9000,9000,9000,1.102053,1322.985685
10000,10000,10000,1.539260,1299.325726
10000,10000,10000,1.546707,1293.069844
10000,10000,10000,1.535550,1302.465285
10000,10000,10000,1.535069,1302.872956
10000,10000,10000,1.535391,1302.600005
10000,10000,10000,1.536129,1301.974389
10000,10000,10000,1.535005,1302.927217
10000,10000,10000,1.532582,1304.987587
10000,10000,10000,1.531050,1306.292754
10000,10000,10000,1.535864,1302.198325
11000,11000,11000,2.037637,1306.415214
11000,11000,11000,2.026946,1313.305974
11000,11000,11000,2.038640,1305.772306
11000,11000,11000,2.035564,1307.745708
11000,11000,11000,2.035903,1307.527706
11000,11000,11000,2.044206,1302.217033
11000,11000,11000,2.030333,1311.114845
11000,11000,11000,2.051984,1297.281179
11000,11000,11000,2.040243,1304.746247
11000,11000,11000,2.041234,1304.112891
12000,12000,12000,2.615448,1321.379591
12000,12000,12000,2.622132,1318.011557
12000,12000,12000,2.623812,1317.167768
12000,12000,12000,2.609418,1324.433372
12000,12000,12000,2.615452,1321.377612
12000,12000,12000,2.620651,1318.756276
12000,12000,12000,2.624394,1316.875439
12000,12000,12000,2.616830,1320.681946
12000,12000,12000,2.603126,1327.634548
12000,12000,12000,2.621559,1318.299548
13000,13000,13000,3.352313,1310.736836
13000,13000,13000,3.359672,1307.865632
13000,13000,13000,3.346190,1313.135102
13000,13000,13000,3.355954,1309.314904
13000,13000,13000,3.356370,1309.152556
13000,13000,13000,3.336097,1317.107870
13000,13000,13000,3.353519,1310.265403
13000,13000,13000,3.372364,1302.943534
13000,13000,13000,3.353424,1310.302558
13000,13000,13000,3.360305,1307.619454
14000,14000,14000,4.138776,1325.995964
14000,14000,14000,4.139815,1325.663060
14000,14000,14000,4.130847,1328.541138
14000,14000,14000,4.139254,1325.842640
14000,14000,14000,4.121933,1331.414058
14000,14000,14000,4.118356,1332.570481
14000,14000,14000,4.126661,1329.888839
14000,14000,14000,4.120838,1331.767808
14000,14000,14000,4.123881,1330.785095
14000,14000,14000,4.130694,1328.590147
15000,15000,15000,5.208748,1295.896742
15000,15000,15000,5.200941,1297.841987
15000,15000,15000,5.206172,1296.538062
15000,15000,15000,5.205384,1296.734404
15000,15000,15000,5.193156,1299.787750
15000,15000,15000,5.201014,1297.823750
15000,15000,15000,5.209159,1295.794621
15000,15000,15000,5.208482,1295.963065
15000,15000,15000,5.216472,1293.977958
15000,15000,15000,5.203532,1297.195932
16000,16000,16000,6.413371,1277.331385
16000,16000,16000,6.408029,1278.396190
16000,16000,16000,6.414460,1277.114503
16000,16000,16000,6.407565,1278.488865
16000,16000,16000,6.407389,1278.523944
16000,16000,16000,6.402476,1279.504940
16000,16000,16000,6.403384,1279.323539
16000,16000,16000,6.398209,1280.358320
16000,16000,16000,6.415208,1276.965553
16000,16000,16000,6.386349,1282.735997
17000,17000,17000,7.398119,1328.175455
17000,17000,17000,7.431064,1322.287106
17000,17000,17000,7.412327,1325.629597
17000,17000,17000,7.418640,1324.501524
17000,17000,17000,7.396964,1328.382797
17000,17000,17000,7.405768,1326.803655
17000,17000,17000,7.405961,1326.769100
17000,17000,17000,7.412498,1325.598954
17000,17000,17000,7.400087,1327.822291
17000,17000,17000,7.423725,1323.594354
18000,18000,18000,9.031819,1291.434263
18000,18000,18000,9.028953,1291.844076
18000,18000,18000,9.045157,1289.529878
18000,18000,18000,9.043300,1289.794668
18000,18000,18000,9.053754,1288.305447
18000,18000,18000,9.033658,1291.171333
18000,18000,18000,9.034471,1291.055125
18000,18000,18000,9.025513,1292.336557
18000,18000,18000,9.025173,1292.385260
18000,18000,18000,9.016372,1293.646723
19000,19000,19000,10.312041,1330.289468
19000,19000,19000,10.318669,1329.434970
19000,19000,19000,10.314198,1330.011277
19000,19000,19000,10.303600,1331.379329
19000,19000,19000,10.287368,1333.480039
