m,k,n,time,GFLOPS
2000,2000,2000,0.017990,889.366528
2000,2000,2000,0.015454,1035.302388
2000,2000,2000,0.018557,862.193277
2000,2000,2000,0.015333,1043.484749
2000,2000,2000,0.018877,847.584900
2000,2000,2000,0.018382,870.432291
2000,2000,2000,0.018183,879.953934
2000,2000,2000,0.019276,830.044455
2000,2000,2000,0.015579,1027.053290
2000,2000,2000,0.018110,883.486711
3000,3000,3000,0.043295,1247.262346
3000,3000,3000,0.046557,1159.859380
3000,3000,3000,0.043202,1249.944418
3000,3000,3000,0.044354,1217.486872
3000,3000,3000,0.043620,1237.960689
3000,3000,3000,0.046595,1158.911290
3000,3000,3000,0.043694,1235.860129
3000,3000,3000,0.047541,1135.873146
3000,3000,3000,0.048873,1104.908731
3000,3000,3000,0.047205,1143.957303
4000,4000,4000,0.102577,1247.847585
4000,4000,4000,0.102463,1249.233551
4000,4000,4000,0.104685,1222.713512
4000,4000,4000,0.101126,1265.753514
4000,4000,4000,0.103280,1239.347710
4000,4000,4000,0.099297,1289.064223
4000,4000,4000,0.098760,1296.075037
4000,4000,4000,0.098779,1295.822157
4000,4000,4000,0.097680,1310.404342
4000,4000,4000,0.098886,1294.423332
5000,5000,5000,0.189880,1316.621960
5000,5000,5000,0.188113,1328.988017
5000,5000,5000,0.187973,1329.979147
5000,5000,5000,0.189251,1320.995664
5000,5000,5000,0.191390,1306.233578
5000,5000,5000,0.190622,1311.496394
5000,5000,5000,0.186728,1338.848862
5000,5000,5000,0.200251,1248.434949
5000,5000,5000,0.187438,1333.772674
5000,5000,5000,0.189331,1320.438815
6000,6000,6000,0.329967,1309.220268
6000,6000,6000,0.316949,1362.994259
6000,6000,6000,0.317862,1359.080894
6000,6000,6000,0.316172,1366.344996
6000,6000,6000,0.324813,1329.994444
6000,6000,6000,0.332435,1299.504039
6000,6000,6000,0.321741,1342.695798
6000,6000,6000,0.322825,1338.188318
6000,6000,6000,0.331646,1302.594146
6000,6000,6000,0.320551,1347.680515
7000,7000,7000,0.502814,1364.320325
7000,7000,7000,0.507040,1352.949267
7000,7000,7000,0.504290,1360.327271
7000,7000,7000,0.503039,1363.711745
7000,7000,7000,0.502531,1365.089353
7000,7000,7000,0.504120,1360.788404
7000,7000,7000,0.514713,1332.781914
7000,7000,7000,0.505654,1356.657656
7000,7000,7000,0.506995,1353.069518
7000,7000,7000,0.508145,1350.008932
8000,8000,8000,0.736746,1389.895121
8000,8000,8000,0.743495,1377.278297
8000,8000,8000,0.743024,1378.151428
8000,8000,8000,0.738656,1386.301615
8000,8000,8000,0.744549,1375.328908
8000,8000,8000,0.739410,1384.888539
8000,8000,8000,0.738926,1385.795099
