cores,m,k,n,time,GFLOPS
1,12000,12000,12000,27.241704,126.864312
1,12000,12000,12000,27.283343,126.670694
1,12000,12000,12000,27.224758,126.943278
1,12000,12000,12000,27.214379,126.991691
1,12000,12000,12000,27.267495,126.744317
1,12000,12000,12000,27.218472,126.972593
1,12000,12000,12000,27.213210,126.997144
1,12000,12000,12000,27.214375,126.991709
1,12000,12000,12000,27.269490,126.735044
1,12000,12000,12000,27.214993,126.988826
2,12000,12000,12000,15.306252,225.790096
2,12000,12000,12000,15.293023,225.985407
2,12000,12000,12000,15.366665,224.902411
2,12000,12000,12000,15.329176,225.452430
2,12000,12000,12000,15.376264,224.762012
2,12000,12000,12000,15.397241,224.455804
2,12000,12000,12000,15.472896,223.358313
2,12000,12000,12000,15.403529,224.364171
2,12000,12000,12000,15.314645,225.666342
2,12000,12000,12000,15.322131,225.556086
3,12000,12000,12000,10.111760,341.780263
3,12000,12000,12000,10.087099,342.615845
3,12000,12000,12000,10.174175,339.683574
3,12000,12000,12000,10.129311,341.188049
3,12000,12000,12000,10.204880,338.661508
3,12000,12000,12000,10.164280,340.014239
3,12000,12000,12000,10.140273,340.819231
3,12000,12000,12000,10.113256,341.729694
3,12000,12000,12000,10.096488,342.297238
3,12000,12000,12000,10.375628,333.088266
4,12000,12000,12000,7.635900,452.598906
4,12000,12000,12000,7.567816,456.670737
4,12000,12000,12000,7.562503,456.991529
4,12000,12000,12000,7.568586,456.624292
4,12000,12000,12000,7.584240,455.681773
4,12000,12000,12000,7.572798,456.370276
4,12000,12000,12000,7.605379,454.415201
4,12000,12000,12000,7.592096,455.210275
4,12000,12000,12000,7.576613,456.140481
4,12000,12000,12000,7.581536,455.844281
5,12000,12000,12000,5.955460,580.307846
5,12000,12000,12000,6.017692,574.306534
5,12000,12000,12000,5.948415,580.995090
5,12000,12000,12000,5.988193,577.135698
5,12000,12000,12000,5.958108,580.049880
5,12000,12000,12000,5.928293,582.967156
5,12000,12000,12000,5.981280,577.802774
5,12000,12000,12000,5.963798,579.496524
5,12000,12000,12000,5.939123,581.904089
5,12000,12000,12000,5.978555,578.066093
6,12000,12000,12000,5.327727,648.681939
6,12000,12000,12000,5.283181,654.151412
6,12000,12000,12000,5.294782,652.718150
6,12000,12000,12000,5.298064,652.313712
6,12000,12000,12000,5.311268,650.692063
6,12000,12000,12000,5.302297,651.792992
6,12000,12000,12000,5.322812,649.280865
6,12000,12000,12000,5.310088,650.836638
6,12000,12000,12000,5.305470,651.403207
6,12000,12000,12000,5.325514,648.951417
7,12000,12000,12000,4.325690,798.947649
7,12000,12000,12000,4.334390,797.343991
7,12000,12000,12000,4.345818,795.247355
7,12000,12000,12000,4.306481,802.511463
7,12000,12000,12000,4.294600,804.731554
7,12000,12000,12000,4.324676,799.135060
7,12000,12000,12000,4.371748,790.530534
7,12000,12000,12000,4.374344,790.061308
7,12000,12000,12000,4.326918,798.720963
7,12000,12000,12000,4.312270,801.433979
8,12000,12000,12000,3.802488,908.878629
8,12000,12000,12000,3.804691,908.352336
8,12000,12000,12000,3.810760,906.905620
8,12000,12000,12000,3.806733,907.865016
8,12000,12000,12000,3.801974,909.001484
8,12000,12000,12000,3.793585,911.011637
8,12000,12000,12000,3.795939,910.446558
8,12000,12000,12000,3.795301,910.599621
8,12000,12000,12000,3.798523,909.827202
8,12000,12000,12000,3.802132,908.963794
9,12000,12000,12000,3.522352,981.162606
9,12000,12000,12000,3.497639,988.095230
9,12000,12000,12000,3.489844,990.302032
9,12000,12000,12000,3.500239,987.361090
9,12000,12000,12000,3.516058,982.919035
9,12000,12000,12000,3.509867,984.652613
9,12000,12000,12000,3.560420,970.671864
9,12000,12000,12000,3.546018,974.614222
9,12000,12000,12000,3.517462,982.526680
9,12000,12000,12000,3.511601,984.166574
10,12000,12000,12000,3.136204,1101.969045
10,12000,12000,12000,3.123598,1106.416523
10,12000,12000,12000,3.110123,1111.210217
10,12000,12000,12000,3.091825,1117.786470
10,12000,12000,12000,3.092790,1117.437793
10,12000,12000,12000,3.136448,1101.883429
10,12000,12000,12000,3.140285,1100.537027
10,12000,12000,12000,3.097080,1115.889678
10,12000,12000,12000,3.111258,1110.804534
10,12000,12000,12000,3.133772,1102.824354
11,12000,12000,12000,2.732586,1264.736158
11,12000,12000,12000,2.730507,1265.699024
11,12000,12000,12000,2.770366,1247.488744
11,12000,12000,12000,2.745754,1258.670626
11,12000,12000,12000,2.737319,1262.549084
11,12000,12000,12000,2.752673,1255.507128
11,12000,12000,12000,2.747236,1257.991859
11,12000,12000,12000,2.743674,1259.624740
11,12000,12000,12000,2.735168,1263.542275
11,12000,12000,12000,2.746455,1258.349416
12,12000,12000,12000,2.608215,1325.044043
12,12000,12000,12000,2.615534,1321.336458
12,12000,12000,12000,2.612158,1323.043833
12,12000,12000,12000,2.619157,1319.508416
12,12000,12000,12000,2.626710,1315.714546
12,12000,12000,12000,2.622057,1318.049259
12,12000,12000,12000,2.615595,1321.305384
12,12000,12000,12000,2.606092,1326.123362
12,12000,12000,12000,2.608576,1324.860645
12,12000,12000,12000,2.615844,1321.179586
