cores,m,k,n,time,GFLOPS
1,12000,12000,12000,27.147730,127.303463
1,12000,12000,12000,27.302939,126.579777
1,12000,12000,12000,27.287255,126.652532
1,12000,12000,12000,27.226032,126.937336
1,12000,12000,12000,27.222661,126.953055
1,12000,12000,12000,27.219875,126.966052
1,12000,12000,12000,27.232227,126.908460
1,12000,12000,12000,27.225623,126.939245
1,12000,12000,12000,27.328087,126.463300
1,12000,12000,12000,27.237422,126.884257
2,12000,12000,12000,13.988216,247.065099
2,12000,12000,12000,14.012908,246.629752
2,12000,12000,12000,13.999313,246.869255
2,12000,12000,12000,14.040155,246.151125
2,12000,12000,12000,14.000651,246.845658
2,12000,12000,12000,13.968628,247.411549
2,12000,12000,12000,14.021133,246.485068
2,12000,12000,12000,13.984061,247.138511
2,12000,12000,12000,14.011845,246.648454
2,12000,12000,12000,14.002070,246.820644
3,12000,12000,12000,9.263041,373.095623
3,12000,12000,12000,9.252899,373.504573
3,12000,12000,12000,9.265482,372.997339
3,12000,12000,12000,9.281225,372.364635
3,12000,12000,12000,9.256791,373.347507
3,12000,12000,12000,9.315992,370.974973
3,12000,12000,12000,9.316886,370.939392
3,12000,12000,12000,9.344157,369.856786
3,12000,12000,12000,9.339218,370.052414
3,12000,12000,12000,9.346877,369.749173
4,12000,12000,12000,7.201166,479.922283
4,12000,12000,12000,7.181639,481.227203
4,12000,12000,12000,7.258625,476.123222
4,12000,12000,12000,7.184928,481.006921
4,12000,12000,12000,7.164007,482.411599
4,12000,12000,12000,7.172437,481.844604
4,12000,12000,12000,7.173604,481.766209
4,12000,12000,12000,7.167672,482.164938
4,12000,12000,12000,7.171608,481.900260
4,12000,12000,12000,7.154459,483.055402
5,12000,12000,12000,6.020977,573.993193
5,12000,12000,12000,6.041480,572.045243
5,12000,12000,12000,5.993409,576.633435
5,12000,12000,12000,6.028312,573.294770
5,12000,12000,12000,6.103791,566.205470
5,12000,12000,12000,6.036114,572.553845
5,12000,12000,12000,6.097497,566.789928
5,12000,12000,12000,6.027980,573.326430
5,12000,12000,12000,6.047080,571.515463
5,12000,12000,12000,6.001221,575.882807
6,12000,12000,12000,4.741381,728.901617
6,12000,12000,12000,4.764291,725.396488
6,12000,12000,12000,4.779759,723.049044
6,12000,12000,12000,4.759382,726.144718
6,12000,12000,12000,4.772144,724.202768
6,12000,12000,12000,4.747789,727.917756
6,12000,12000,12000,4.747407,727.976365
6,12000,12000,12000,4.736216,729.696391
6,12000,12000,12000,4.738495,729.345423
6,12000,12000,12000,4.760379,725.992571
7,12000,12000,12000,4.260508,811.170841
7,12000,12000,12000,4.232371,816.563522
7,12000,12000,12000,4.240097,815.075744
7,12000,12000,12000,4.231327,816.765055
7,12000,12000,12000,4.211090,820.690135
7,12000,12000,12000,4.239327,815.223714
7,12000,12000,12000,4.243256,814.468973
7,12000,12000,12000,4.252196,812.756598
7,12000,12000,12000,4.219331,819.087190
7,12000,12000,12000,4.235027,816.051419
8,12000,12000,12000,3.806914,907.821879
8,12000,12000,12000,3.815056,905.884377
8,12000,12000,12000,3.803535,908.628383
8,12000,12000,12000,3.816247,905.601686
8,12000,12000,12000,3.814879,905.926511
8,12000,12000,12000,3.816896,905.447779
8,12000,12000,12000,3.812675,906.450234
8,12000,12000,12000,3.806707,907.871244
8,12000,12000,12000,3.823301,903.930919
8,12000,12000,12000,3.803070,908.739412
9,12000,12000,12000,3.538853,976.587605
9,12000,12000,12000,3.544598,975.004811
9,12000,12000,12000,3.530112,979.005669
9,12000,12000,12000,3.518669,982.189689
9,12000,12000,12000,3.543335,975.352452
9,12000,12000,12000,3.555416,972.038070
9,12000,12000,12000,3.525207,980.368088
9,12000,12000,12000,3.519600,981.929875
9,12000,12000,12000,3.531347,978.663481
9,12000,12000,12000,3.524606,980.535255
10,12000,12000,12000,3.034877,1138.761140
10,12000,12000,12000,3.039665,1136.967481
10,12000,12000,12000,3.050345,1132.986504
10,12000,12000,12000,3.059402,1129.632427
10,12000,12000,12000,3.033787,1139.170198
10,12000,12000,12000,3.047069,1134.204595
10,12000,12000,12000,3.050352,1132.983825
10,12000,12000,12000,3.056056,1130.869363
10,12000,12000,12000,3.047966,1133.870781
10,12000,12000,12000,3.027823,1141.414277
11,12000,12000,12000,2.710619,1274.985653
11,12000,12000,12000,2.717390,1271.808693
11,12000,12000,12000,2.713163,1273.789853
11,12000,12000,12000,2.709728,1275.404912
11,12000,12000,12000,2.714505,1273.160507
11,12000,12000,12000,2.702729,1278.707726
11,12000,12000,12000,2.723048,1269.166224
11,12000,12000,12000,2.711089,1274.764536
11,12000,12000,12000,2.696004,1281.897094
11,12000,12000,12000,2.706084,1277.122021
12,12000,12000,12000,2.486800,1389.738094
12,12000,12000,12000,2.443376,1414.436655
12,12000,12000,12000,2.472495,1397.778083
12,12000,12000,12000,2.471046,1398.598079
12,12000,12000,12000,2.486443,1389.937467
12,12000,12000,12000,2.454436,1408.062741
12,12000,12000,12000,2.465098,1401.972880
12,12000,12000,12000,2.491766,1386.967950
12,12000,12000,12000,2.479686,1393.724753
12,12000,12000,12000,2.447832,1411.861553
