m,k,n,time,GFLOPS
2000,2000,2000,0.038544,415.104781
2000,2000,2000,0.039911,400.887655
2000,2000,2000,0.039862,401.387214
2000,2000,2000,0.040588,394.208185
2000,2000,2000,0.039959,400.409318
2000,2000,2000,0.038742,412.991398
2000,2000,2000,0.040604,394.047994
2000,2000,2000,0.039173,408.446521
2000,2000,2000,0.038783,412.554412
2000,2000,2000,0.038683,413.618428
2000,2000,2000,0.036360,440.047563
2000,2000,2000,0.040023,399.771630
2000,2000,2000,0.037259,429.428499
2000,2000,2000,0.038698,413.457910
2000,2000,2000,0.036976,432.713556
3000,3000,3000,0.072921,740.529268
3000,3000,3000,0.074323,726.559173
3000,3000,3000,0.073519,734.506993
3000,3000,3000,0.074155,728.200548
3000,3000,3000,0.075050,719.517770
3000,3000,3000,0.073624,733.452407
3000,3000,3000,0.072538,744.440077
3000,3000,3000,0.072467,745.166591
3000,3000,3000,0.074677,723.113573
3000,3000,3000,0.073240,737.302756
3000,3000,3000,0.074889,721.064657
3000,3000,3000,0.075446,715.742307
3000,3000,3000,0.074658,723.294471
3000,3000,3000,0.073451,735.180057
3000,3000,3000,0.072802,741.733820
4000,4000,4000,0.135801,942.553187
4000,4000,4000,0.131345,974.530315
4000,4000,4000,0.135748,942.923055
4000,4000,4000,0.130637,979.815007
4000,4000,4000,0.130495,980.876976
4000,4000,4000,0.129077,991.653639
4000,4000,4000,0.129755,986.477733
4000,4000,4000,0.129890,985.448081
4000,4000,4000,0.134372,952.582377
4000,4000,4000,0.131354,974.467149
4000,4000,4000,0.133346,959.906937
4000,4000,4000,0.130942,977.534396
4000,4000,4000,0.129444,988.843191
4000,4000,4000,0.132851,963.482587
4000,4000,4000,0.134677,950.424281
5000,5000,5000,0.235923,1059.667279
5000,5000,5000,0.227532,1098.746825
5000,5000,5000,0.235642,1060.930503
5000,5000,5000,0.250193,999.227721
5000,5000,5000,0.253896,984.654595
5000,5000,5000,0.258390,967.530973
5000,5000,5000,0.272021,919.045597
5000,5000,5000,0.245549,1018.127354
5000,5000,5000,0.241594,1034.795320
5000,5000,5000,0.246636,1013.638609
5000,5000,5000,0.265339,942.190010
5000,5000,5000,0.255676,977.798433
5000,5000,5000,0.264058,946.761356
5000,5000,5000,0.238886,1046.522369
5000,5000,5000,0.262388,952.787214
6000,6000,6000,0.433361,996.859146
6000,6000,6000,0.474877,909.709406
6000,6000,6000,0.475473,908.568738
6000,6000,6000,0.456686,945.946060
6000,6000,6000,0.443887,973.220927
6000,6000,6000,0.462083,934.896049
6000,6000,6000,0.471570,916.089175
6000,6000,6000,0.479227,901.451692
6000,6000,6000,0.459713,939.716125
6000,6000,6000,0.479239,901.429114
6000,6000,6000,0.474189,911.028906
6000,6000,6000,0.471221,916.766539
6000,6000,6000,0.462255,934.548929
6000,6000,6000,0.466752,925.545101
6000,6000,6000,0.483022,894.368621
7000,7000,7000,0.640025,1071.833163
7000,7000,7000,0.688988,995.663770
7000,7000,7000,0.703395,975.269809
7000,7000,7000,0.694153,988.254832
7000,7000,7000,0.719642,953.251415
7000,7000,7000,0.697424,983.619946
7000,7000,7000,0.720520,952.089647
7000,7000,7000,0.712681,962.563128
7000,7000,7000,0.706421,971.092273
7000,7000,7000,0.721260,951.113075
7000,7000,7000,0.728847,941.212262
7000,7000,7000,0.735867,932.233594
7000,7000,7000,0.715456,958.828811
7000,7000,7000,0.724004,947.508997
7000,7000,7000,0.759282,903.485606
8000,8000,8000,1.041036,983.635724
8000,8000,8000,0.993689,1030.503443
8000,8000,8000,1.019414,1004.499076
8000,8000,8000,1.026569,997.497366
8000,8000,8000,1.054614,970.971715
