m,k,n,time,GFLOPS
2000,2000,2000,0.437077,36.606832
2000,2000,2000,0.053951,296.562681
2000,2000,2000,0.055722,287.140781
2000,2000,2000,0.053164,300.957017
2000,2000,2000,0.060003,266.655503
2000,2000,2000,0.062804,254.759837
2000,2000,2000,0.055245,289.617392
2000,2000,2000,0.060487,264.519776
2000,2000,2000,0.055961,285.912306
2000,2000,2000,0.057107,280.177317
2000,2000,2000,0.058509,273.462427
2000,2000,2000,0.056729,282.044817
2000,2000,2000,0.058994,271.214564
2000,2000,2000,0.059957,266.856985
2000,2000,2000,0.061694,259.342590
3000,3000,3000,0.111181,485.695158
3000,3000,3000,0.122263,441.671117
3000,3000,3000,0.118382,456.149989
3000,3000,3000,0.122446,441.010756
3000,3000,3000,0.120809,446.985992
3000,3000,3000,0.123964,435.611221
3000,3000,3000,0.123541,437.100554
3000,3000,3000,0.125200,431.309666
3000,3000,3000,0.127518,423.469874
3000,3000,3000,0.119227,452.917054
3000,3000,3000,0.118604,455.297704
3000,3000,3000,0.116975,461.636257
3000,3000,3000,0.133000,406.015013
3000,3000,3000,0.127130,424.762556
3000,3000,3000,0.138690,389.356552
4000,4000,4000,0.277315,461.569144
4000,4000,4000,0.239781,533.821230
4000,4000,4000,0.279348,458.210575
4000,4000,4000,0.228993,558.968253
4000,4000,4000,0.270823,472.633360
4000,4000,4000,0.230309,555.775733
4000,4000,4000,0.268855,476.092261
4000,4000,4000,0.230528,555.247239
4000,4000,4000,0.274989,465.473293
4000,4000,4000,0.229951,556.639282
4000,4000,4000,0.277203,461.756259
4000,4000,4000,0.232692,550.082795
4000,4000,4000,0.276503,462.924532
4000,4000,4000,0.240576,532.055491
4000,4000,4000,0.271910,470.744152
5000,5000,5000,0.487622,512.691943
5000,5000,5000,0.485619,514.807115
5000,5000,5000,0.476801,524.327411
5000,5000,5000,0.499668,500.332282
5000,5000,5000,0.490627,509.551820
5000,5000,5000,0.459616,543.932847
5000,5000,5000,0.492853,507.251001
5000,5000,5000,0.480769,520.000260
