cores,m,k,n,time,GFLOPS
1,12000,12000,12000,72.161574,47.892525
1,12000,12000,12000,72.227727,47.848661
1,12000,12000,12000,72.391542,47.740384
1,12000,12000,12000,72.211654,47.859311
1,12000,12000,12000,72.257795,47.828750
1,12000,12000,12000,72.172922,47.884995
1,12000,12000,12000,72.238600,47.841459
1,12000,12000,12000,72.082408,47.945124
1,12000,12000,12000,72.059907,47.960095
1,12000,12000,12000,72.229660,47.847380
2,12000,12000,12000,37.839883,91.332207
2,12000,12000,12000,37.864308,91.273291
2,12000,12000,12000,37.879962,91.235572
2,12000,12000,12000,37.908794,91.166182
2,12000,12000,12000,37.884894,91.223696
2,12000,12000,12000,37.908716,91.166368
2,12000,12000,12000,37.810368,91.403500
2,12000,12000,12000,37.876874,91.243010
2,12000,12000,12000,37.857707,91.289207
2,12000,12000,12000,37.861449,91.280183
3,12000,12000,12000,25.295934,136.622748
3,12000,12000,12000,25.339993,136.385198
3,12000,12000,12000,25.306040,136.568189
3,12000,12000,12000,25.307945,136.557908
3,12000,12000,12000,25.269707,136.764544
3,12000,12000,12000,25.277285,136.723543
3,12000,12000,12000,25.319542,136.495359
3,12000,12000,12000,25.334274,136.415989
3,12000,12000,12000,25.323564,136.473679
3,12000,12000,12000,25.295250,136.626443
4,12000,12000,12000,19.233075,179.690451
4,12000,12000,12000,19.161261,180.363909
4,12000,12000,12000,19.226869,179.748451
4,12000,12000,12000,19.198721,180.011993
4,12000,12000,12000,19.214159,179.867354
4,12000,12000,12000,19.188510,180.107785
4,12000,12000,12000,19.200224,179.997900
4,12000,12000,12000,19.181622,180.172457
4,12000,12000,12000,19.164126,180.336949
4,12000,12000,12000,19.181371,180.174816
5,12000,12000,12000,15.433945,223.922014
5,12000,12000,12000,15.399995,224.415663
5,12000,12000,12000,15.447066,223.731801
5,12000,12000,12000,15.428638,223.999032
5,12000,12000,12000,15.409341,224.279548
5,12000,12000,12000,15.425699,224.041715
5,12000,12000,12000,15.396785,224.462446
5,12000,12000,12000,15.417491,224.160992
5,12000,12000,12000,15.461157,223.527905
5,12000,12000,12000,15.418966,224.139540
6,12000,12000,12000,12.790090,270.209193
6,12000,12000,12000,12.817426,269.632922
6,12000,12000,12000,12.825984,269.453008
6,12000,12000,12000,12.802508,269.947108
6,12000,12000,12000,12.821001,269.557734
6,12000,12000,12000,12.799676,270.006824
6,12000,12000,12000,12.818924,269.601402
6,12000,12000,12000,12.811523,269.757158
6,12000,12000,12000,12.817445,269.632511
6,12000,12000,12000,12.909789,267.703825
7,12000,12000,12000,11.066147,312.303810
7,12000,12000,12000,10.982587,314.679949
7,12000,12000,12000,11.080910,311.887749
7,12000,12000,12000,10.987941,314.526623
7,12000,12000,12000,11.089078,311.658014
7,12000,12000,12000,11.050066,312.758316
7,12000,12000,12000,11.047744,312.824050
7,12000,12000,12000,10.988275,314.517053
7,12000,12000,12000,11.015792,313.731404
7,12000,12000,12000,10.989177,314.491252
8,12000,12000,12000,9.907589,348.823527
8,12000,12000,12000,9.871093,350.113194
8,12000,12000,12000,9.901896,349.024083
8,12000,12000,12000,9.825659,351.732142
8,12000,12000,12000,9.873399,350.031416
8,12000,12000,12000,9.827890,351.652296
8,12000,12000,12000,9.772502,353.645375
8,12000,12000,12000,9.871285,350.106379
8,12000,12000,12000,9.796437,352.781306
8,12000,12000,12000,9.842898,351.116121
