cores,m,k,n,time,GFLOPS
1,12000,12000,12000,73.111676,47.270152
1,12000,12000,12000,73.025302,47.326063
1,12000,12000,12000,72.763500,47.496341
1,12000,12000,12000,72.976095,47.357974
1,12000,12000,12000,72.840716,47.445992
1,12000,12000,12000,72.913009,47.398949
1,12000,12000,12000,72.813892,47.463470
1,12000,12000,12000,72.907043,47.402827
1,12000,12000,12000,72.778577,47.486502
1,12000,12000,12000,72.944189,47.378688
2,12000,12000,12000,39.224688,88.107775
2,12000,12000,12000,39.248185,88.055028
2,12000,12000,12000,39.019362,88.571413
2,12000,12000,12000,39.240980,88.071195
2,12000,12000,12000,38.719713,89.256861
2,12000,12000,12000,39.177926,88.212939
2,12000,12000,12000,38.996437,88.623481
2,12000,12000,12000,39.172362,88.225469
2,12000,12000,12000,39.078339,88.437740
2,12000,12000,12000,39.014892,88.581559
3,12000,12000,12000,26.251943,131.647400
3,12000,12000,12000,26.089245,132.468382
3,12000,12000,12000,26.078177,132.524601
3,12000,12000,12000,26.624230,129.806572
3,12000,12000,12000,26.240742,131.703591
3,12000,12000,12000,26.261279,131.600595
3,12000,12000,12000,26.176375,132.027446
3,12000,12000,12000,25.647798,134.748411
3,12000,12000,12000,26.123580,132.294272
3,12000,12000,12000,25.793878,133.985283
4,12000,12000,12000,19.309035,178.983569
4,12000,12000,12000,19.784927,174.678428
4,12000,12000,12000,19.269029,179.355168
4,12000,12000,12000,19.705121,175.385884
4,12000,12000,12000,19.986592,172.915926
4,12000,12000,12000,19.605632,176.275876
4,12000,12000,12000,19.492538,177.298618
4,12000,12000,12000,19.701057,175.422056
4,12000,12000,12000,19.790246,174.631486
4,12000,12000,12000,19.698484,175.444974
5,12000,12000,12000,15.643418,220.923591
5,12000,12000,12000,15.548952,222.265787
5,12000,12000,12000,15.564442,222.044588
5,12000,12000,12000,15.590557,221.672647
5,12000,12000,12000,15.545380,222.316851
5,12000,12000,12000,16.141261,214.109671
5,12000,12000,12000,15.665412,220.613409
5,12000,12000,12000,16.071318,215.041485
5,12000,12000,12000,15.620006,221.254722
5,12000,12000,12000,15.587310,221.718816
6,12000,12000,12000,13.040492,265.020681
6,12000,12000,12000,13.087121,264.076419
6,12000,12000,12000,13.025125,265.333354
6,12000,12000,12000,13.037022,265.091210
6,12000,12000,12000,13.085070,264.117815
6,12000,12000,12000,13.009105,265.660082
6,12000,12000,12000,13.045489,264.919153
6,12000,12000,12000,13.029198,265.250407
6,12000,12000,12000,13.047348,264.881405
6,12000,12000,12000,13.049099,264.845870
7,12000,12000,12000,11.242761,307.397808
7,12000,12000,12000,11.370973,303.931761
7,12000,12000,12000,11.237694,307.536393
7,12000,12000,12000,11.346324,304.592033
7,12000,12000,12000,11.223738,307.918800
7,12000,12000,12000,11.221960,307.967591
7,12000,12000,12000,11.148014,310.010368
7,12000,12000,12000,11.382653,303.619894
7,12000,12000,12000,11.300596,305.824581
7,12000,12000,12000,11.216997,308.103845
8,12000,12000,12000,9.795338,352.820920
8,12000,12000,12000,9.785798,353.164854
8,12000,12000,12000,9.907771,348.817122
8,12000,12000,12000,9.817638,352.019492
8,12000,12000,12000,9.872314,350.069891
8,12000,12000,12000,9.759455,354.118148
8,12000,12000,12000,9.813806,352.156966
8,12000,12000,12000,9.853917,350.723473
8,12000,12000,12000,9.828631,351.625767
8,12000,12000,12000,9.708192,355.988026
9,12000,12000,12000,8.772609,393.953505
9,12000,12000,12000,8.780526,393.598266
9,12000,12000,12000,8.817445,391.950256
9,12000,12000,12000,8.760794,394.484803
9,12000,12000,12000,8.704371,397.041889
9,12000,12000,12000,8.743632,395.259074
9,12000,12000,12000,8.744105,395.237717
9,12000,12000,12000,8.750355,394.955406
9,12000,12000,12000,8.751746,394.892625
9,12000,12000,12000,8.757886,394.615788
10,12000,12000,12000,7.932249,435.689781
10,12000,12000,12000,7.764163,445.122032
10,12000,12000,12000,7.715846,447.909395
10,12000,12000,12000,7.784971,443.932278
10,12000,12000,12000,7.749596,445.958704
10,12000,12000,12000,7.770547,444.756362
10,12000,12000,12000,7.754622,445.669680
10,12000,12000,12000,7.805912,442.741342
10,12000,12000,12000,7.733523,446.885614
10,12000,12000,12000,7.760421,445.336683
11,12000,12000,12000,7.249256,476.738557
11,12000,12000,12000,7.231536,477.906758
11,12000,12000,12000,7.263337,475.814376
11,12000,12000,12000,7.238606,477.439994
11,12000,12000,12000,7.234952,477.681153
11,12000,12000,12000,7.233125,477.801793
11,12000,12000,12000,7.227384,478.181328
11,12000,12000,12000,7.235362,477.654071
11,12000,12000,12000,7.228528,478.105641
11,12000,12000,12000,7.221214,478.589910
12,12000,12000,12000,6.473808,533.843449
12,12000,12000,12000,6.464740,534.592303
12,12000,12000,12000,6.479682,533.359494
12,12000,12000,12000,6.484364,532.974392
12,12000,12000,12000,6.490585,532.463591
12,12000,12000,12000,6.479064,533.410414
12,12000,12000,12000,6.486372,532.809381
12,12000,12000,12000,6.482123,533.158662
12,12000,12000,12000,6.506472,531.163471
12,12000,12000,12000,6.497766,531.875139
13,12000,12000,12000,6.060124,570.285380
13,12000,12000,12000,6.099897,566.566914
13,12000,12000,12000,6.053545,570.905148
13,12000,12000,12000,6.072710,569.103401
13,12000,12000,12000,6.054885,570.778773
13,12000,12000,12000,6.135283,563.299241
13,12000,12000,12000,6.231081,554.638908
13,12000,12000,12000,6.096973,566.838634
13,12000,12000,12000,6.101945,566.376762
13,12000,12000,12000,6.077999,568.608158
14,12000,12000,12000,5.711464,605.098761
14,12000,12000,12000,5.751593,600.876987
14,12000,12000,12000,5.736272,602.481935
14,12000,12000,12000,5.692326,607.133169
14,12000,12000,12000,5.719661,604.231573
14,12000,12000,12000,5.692351,607.130507
14,12000,12000,12000,5.700674,606.244056
14,12000,12000,12000,5.697383,606.594243
14,12000,12000,12000,5.702199,606.081976
14,12000,12000,12000,5.717561,604.453521
15,12000,12000,12000,5.217579,662.376110
15,12000,12000,12000,5.302116,651.815212
15,12000,12000,12000,5.273203,655.389129
15,12000,12000,12000,5.339838,647.210665
15,12000,12000,12000,5.270608,655.711881
15,12000,12000,12000,5.277161,654.897630
15,12000,12000,12000,5.292612,652.985649
15,12000,12000,12000,5.290921,653.194378
15,12000,12000,12000,5.324923,649.023510
15,12000,12000,12000,5.273422,655.361968
