m,k,n,time,GFLOPS
2000,2000,2000,0.029917,534.812321
2000,2000,2000,0.029714,538.465701
2000,2000,2000,0.028924,553.165707
2000,2000,2000,0.028938,552.897195
2000,2000,2000,0.136112,117.549878
2000,2000,2000,0.187587,85.293685
2000,2000,2000,0.028789,555.772712
2000,2000,2000,0.028632,558.821323
2000,2000,2000,0.029075,550.296706
2000,2000,2000,0.029203,547.888446
3000,3000,3000,0.080518,670.661599
3000,3000,3000,0.080288,672.576698
3000,3000,3000,0.080941,667.153878
3000,3000,3000,0.079999,675.010226
3000,3000,3000,0.079934,675.555357
3000,3000,3000,0.079998,675.016251
3000,3000,3000,0.080168,673.586504
3000,3000,3000,0.079966,675.290172
3000,3000,3000,0.080371,671.883443
3000,3000,3000,0.079949,675.432133
4000,4000,4000,0.347687,368.146951
4000,4000,4000,0.167229,765.415445
4000,4000,4000,0.166805,767.363047
4000,4000,4000,0.166644,768.106108
4000,4000,4000,0.166889,766.977956
4000,4000,4000,0.167508,764.143812
4000,4000,4000,0.284260,450.292504
4000,4000,4000,0.166800,767.384651
4000,4000,4000,0.166581,768.395010
4000,4000,4000,0.167243,765.354525
5000,5000,5000,0.320428,780.205924
5000,5000,5000,0.358986,696.405513
5000,5000,5000,0.320155,780.872934
5000,5000,5000,0.320768,779.378751
5000,5000,5000,1.374157,181.929684
5000,5000,5000,0.320930,778.986936
5000,5000,5000,0.320551,779.906625
5000,5000,5000,0.320757,779.405821
5000,5000,5000,0.321321,778.038599
5000,5000,5000,0.320614,779.755032
6000,6000,6000,0.537007,804.459123
6000,6000,6000,0.537425,803.832658
6000,6000,6000,3.357064,128.683859
6000,6000,6000,0.537232,804.121284
6000,6000,6000,0.538470,802.272654
6000,6000,6000,0.537317,803.994031
6000,6000,6000,0.537168,804.217796
6000,6000,6000,0.536975,804.507346
6000,6000,6000,0.537692,803.434057
6000,6000,6000,0.577365,748.226227
7000,7000,7000,0.858393,799.167438
7000,7000,7000,0.858599,798.975583
7000,7000,7000,0.858923,798.674896
7000,7000,7000,0.858935,798.663176
7000,7000,7000,5.713862,120.058905
7000,7000,7000,0.857817,799.703919
7000,7000,7000,0.857877,799.648027
7000,7000,7000,0.858407,799.154719
7000,7000,7000,0.858297,799.256859
7000,7000,7000,0.858894,798.701990
8000,8000,8000,1.275528,802.804822
8000,8000,8000,1.272524,804.699896
8000,8000,8000,1.279325,800.422151
8000,8000,8000,1.274904,803.197973
8000,8000,8000,1.275716,802.686695
