cores,m,k,n,time,GFLOPS
1,12000,12000,12000,76.402529,45.234105
1,12000,12000,12000,57.836844,59.754298
1,12000,12000,12000,51.669408,66.886774
1,12000,12000,12000,51.081698,67.656326
1,12000,12000,12000,52.243919,66.151240
1,12000,12000,12000,51.010633,67.750581
1,12000,12000,12000,51.929605,66.551633
1,12000,12000,12000,52.766173,65.496507
1,12000,12000,12000,51.470849,67.144803
1,12000,12000,12000,52.377958,65.981954
2,12000,12000,12000,27.403220,126.116566
2,12000,12000,12000,26.943805,128.266960
2,12000,12000,12000,26.715247,129.364329
2,12000,12000,12000,26.519378,130.319799
2,12000,12000,12000,27.761871,124.487287
2,12000,12000,12000,26.633501,129.761384
2,12000,12000,12000,26.971046,128.137412
2,12000,12000,12000,26.741899,129.235399
2,12000,12000,12000,27.010379,127.950816
2,12000,12000,12000,26.718105,129.350491
3,12000,12000,12000,17.417309,198.423300
3,12000,12000,12000,17.241109,200.451142
3,12000,12000,12000,17.368873,198.976637
3,12000,12000,12000,17.552845,196.891155
3,12000,12000,12000,17.215558,200.748649
3,12000,12000,12000,18.567742,186.129257
3,12000,12000,12000,17.363028,199.043618
3,12000,12000,12000,17.536740,197.071977
3,12000,12000,12000,17.387206,198.766845
3,12000,12000,12000,17.400045,198.620171
4,12000,12000,12000,12.945061,266.974400
4,12000,12000,12000,12.962226,266.620870
4,12000,12000,12000,13.148704,262.839601
4,12000,12000,12000,12.949252,266.887996
4,12000,12000,12000,13.193897,261.939281
4,12000,12000,12000,12.989794,266.055029
4,12000,12000,12000,12.971690,266.426341
4,12000,12000,12000,13.433968,257.258310
4,12000,12000,12000,12.976599,266.325558
4,12000,12000,12000,12.962850,266.608038
5,12000,12000,12000,10.271396,336.468395
5,12000,12000,12000,10.264897,336.681406
5,12000,12000,12000,10.266704,336.622152
5,12000,12000,12000,10.270384,336.501535
5,12000,12000,12000,10.268016,336.579157
5,12000,12000,12000,10.279581,336.200462
5,12000,12000,12000,10.275391,336.337568
5,12000,12000,12000,10.267213,336.605478
5,12000,12000,12000,10.274965,336.351515
5,12000,12000,12000,10.299591,335.547292
6,12000,12000,12000,8.562134,403.637680
6,12000,12000,12000,8.573735,403.091552
6,12000,12000,12000,8.562855,403.603716
6,12000,12000,12000,8.569601,403.285991
6,12000,12000,12000,8.577726,402.903980
6,12000,12000,12000,8.700918,397.199474
6,12000,12000,12000,8.568530,403.336402
6,12000,12000,12000,8.573118,403.120532
6,12000,12000,12000,8.936607,386.723952
6,12000,12000,12000,8.561237,403.679994
7,12000,12000,12000,7.301493,473.327865
7,12000,12000,12000,7.303329,473.208893
7,12000,12000,12000,7.327979,471.617094
7,12000,12000,12000,7.296999,473.619338
7,12000,12000,12000,7.305289,473.081904
7,12000,12000,12000,7.305910,473.041710
7,12000,12000,12000,7.302037,473.292572
7,12000,12000,12000,7.303066,473.225925
7,12000,12000,12000,7.297977,473.555891
7,12000,12000,12000,7.306132,473.027309
8,12000,12000,12000,6.405301,539.553113
8,12000,12000,12000,6.400735,539.937972
8,12000,12000,12000,6.416816,538.584883
8,12000,12000,12000,6.412323,538.962251
8,12000,12000,12000,6.409822,539.172580
8,12000,12000,12000,6.404115,539.653009
8,12000,12000,12000,6.407595,539.359949
8,12000,12000,12000,6.406282,539.470444
8,12000,12000,12000,6.406010,539.493411
8,12000,12000,12000,6.407872,539.336613
9,12000,12000,12000,5.679410,608.513883
9,12000,12000,12000,5.680894,608.354932
9,12000,12000,12000,5.675809,608.900012
9,12000,12000,12000,5.675861,608.894371
9,12000,12000,12000,5.677495,608.719134
9,12000,12000,12000,5.676671,608.807476
9,12000,12000,12000,5.677148,608.756394
9,12000,12000,12000,5.680296,608.418963
9,12000,12000,12000,5.678707,608.589276
9,12000,12000,12000,5.677872,608.678763
10,12000,12000,12000,5.136544,672.825960
10,12000,12000,12000,5.134658,673.073085
10,12000,12000,12000,5.138136,672.617476
10,12000,12000,12000,5.141091,672.230857
10,12000,12000,12000,5.139870,672.390493
10,12000,12000,12000,5.136980,672.768875
10,12000,12000,12000,5.143017,671.979137
10,12000,12000,12000,5.136640,672.813372
10,12000,12000,12000,5.136348,672.851632
10,12000,12000,12000,5.137129,672.749292
11,12000,12000,12000,4.663987,740.996889
