cores,m,k,n,time,GFLOPS
1,12000,12000,12000,51.368100,67.279110
1,12000,12000,12000,51.125738,67.598046
1,12000,12000,12000,51.351913,67.300316
1,12000,12000,12000,51.170529,67.538876
1,12000,12000,12000,51.166567,67.544106
1,12000,12000,12000,51.169131,67.540721
1,12000,12000,12000,51.169415,67.540347
1,12000,12000,12000,51.581163,67.001204
1,12000,12000,12000,51.174200,67.534031
1,12000,12000,12000,51.169311,67.540484
2,12000,12000,12000,26.614353,129.854743
2,12000,12000,12000,26.566232,130.089960
2,12000,12000,12000,26.570321,130.069938
2,12000,12000,12000,26.459094,130.616717
2,12000,12000,12000,26.591175,129.967933
2,12000,12000,12000,26.557261,130.133900
2,12000,12000,12000,26.564401,130.098922
2,12000,12000,12000,26.565419,130.093940
2,12000,12000,12000,26.572494,130.059300
2,12000,12000,12000,26.588984,129.978642
3,12000,12000,12000,17.326883,199.458841
3,12000,12000,12000,17.302279,199.742476
3,12000,12000,12000,17.404570,198.568536
3,12000,12000,12000,17.302297,199.742268
3,12000,12000,12000,17.399658,198.624598
3,12000,12000,12000,17.307993,199.676532
3,12000,12000,12000,17.302910,199.735193
3,12000,12000,12000,17.969253,192.328529
3,12000,12000,12000,17.307514,199.682052
3,12000,12000,12000,17.306138,199.697929
4,12000,12000,12000,12.838101,269.198702
4,12000,12000,12000,12.840018,269.158511
4,12000,12000,12000,12.843189,269.092049
4,12000,12000,12000,12.839947,269.159990
4,12000,12000,12000,12.837605,269.209098
4,12000,12000,12000,12.843889,269.077388
4,12000,12000,12000,12.835482,269.253628
4,12000,12000,12000,12.834382,269.276699
4,12000,12000,12000,12.839658,269.166052
4,12000,12000,12000,12.835799,269.246980
5,12000,12000,12000,10.568886,326.997553
5,12000,12000,12000,10.490157,329.451696
5,12000,12000,12000,10.485919,329.584859
5,12000,12000,12000,10.483755,329.652864
5,12000,12000,12000,10.453696,330.600761
5,12000,12000,12000,10.493389,329.350215
5,12000,12000,12000,10.488153,329.514644
5,12000,12000,12000,10.488381,329.507476
5,12000,12000,12000,10.486036,329.581183
5,12000,12000,12000,10.487385,329.538788
6,12000,12000,12000,8.466304,408.206450
6,12000,12000,12000,8.467942,408.127523
6,12000,12000,12000,8.470233,408.017088
6,12000,12000,12000,8.467960,408.126618
6,12000,12000,12000,8.469214,408.066183
6,12000,12000,12000,8.467301,408.158403
6,12000,12000,12000,8.433127,409.812387
6,12000,12000,12000,8.469002,408.076414
6,12000,12000,12000,8.467663,408.140947
6,12000,12000,12000,8.467683,408.140005
7,12000,12000,12000,7.331721,471.376370
7,12000,12000,12000,7.349550,470.232872
7,12000,12000,12000,7.332995,471.294471
7,12000,12000,12000,7.342068,470.712057
7,12000,12000,12000,7.352627,470.036110
7,12000,12000,12000,7.346354,470.437449
7,12000,12000,12000,7.349525,470.234459
7,12000,12000,12000,7.352333,470.054854
7,12000,12000,12000,60.703812,56.932174
7,12000,12000,12000,109.386856,31.594289
8,12000,12000,12000,355.746944,9.714771
8,12000,12000,12000,7.014495,492.694023
8,12000,12000,12000,6.413074,538.899147
8,12000,12000,12000,7.335797,471.114445
8,12000,12000,12000,6.829016,506.075873
8,12000,12000,12000,6.407231,539.390559
8,12000,12000,12000,6.413284,538.881483
8,12000,12000,12000,7.040210,490.894440
8,12000,12000,12000,66.030087,52.339777
8,12000,12000,12000,6.408603,539.275138
9,12000,12000,12000,6.521612,529.930318
9,12000,12000,12000,7.308150,472.896702
9,12000,12000,12000,38.220244,90.423284
9,12000,12000,12000,5.750203,601.022271
9,12000,12000,12000,5.651246,611.546574
9,12000,12000,12000,5.657633,610.856147
9,12000,12000,12000,5.656388,610.990656
9,12000,12000,12000,5.653310,611.323316
9,12000,12000,12000,5.653737,611.277064
9,12000,12000,12000,5.653032,611.353385
10,12000,12000,12000,5.096630,678.095117
10,12000,12000,12000,5.070774,681.552768
10,12000,12000,12000,5.182174,666.901597
10,12000,12000,12000,5.095311,678.270620
10,12000,12000,12000,5.072061,681.379825
10,12000,12000,12000,5.073431,681.195802
10,12000,12000,12000,5.076229,680.820336
10,12000,12000,12000,5.091692,678.752773
10,12000,12000,12000,5.073610,681.171759
10,12000,12000,12000,5.494573,628.984297
11,12000,12000,12000,4.612811,749.217757
11,12000,12000,12000,8.644646,399.785038
11,12000,12000,12000,4.618094,748.360620
11,12000,12000,12000,4.610312,749.623862
11,12000,12000,12000,4.612287,749.302890
11,12000,12000,12000,4.704223,734.659056
11,12000,12000,12000,4.594469,752.208775
11,12000,12000,12000,4.606288,750.278679
11,12000,12000,12000,4.613820,749.053871
11,12000,12000,12000,4.604578,750.557408
12,12000,12000,12000,4.412911,783.156428
12,12000,12000,12000,4.204673,821.942665
12,12000,12000,12000,4.200358,822.787057
12,12000,12000,12000,4.188465,825.123336
12,12000,12000,12000,4.200362,822.786232
12,12000,12000,12000,4.202546,822.358652
12,12000,12000,12000,6.469689,534.183314
12,12000,12000,12000,4.209750,820.951343
12,12000,12000,12000,4.223928,818.195787
12,12000,12000,12000,4.210971,820.713291
