m,k,n,time,GFLOPS
2000,2000,2000,0.119070,134.374214
2000,2000,2000,0.026271,609.046526
2000,2000,2000,0.026147,611.934997
2000,2000,2000,0.025989,615.655907
2000,2000,2000,0.026346,607.296685
2000,2000,2000,0.026228,610.040845
2000,2000,2000,0.026141,612.055715
2000,2000,2000,0.025705,622.458860
2000,2000,2000,0.026299,608.383409
2000,2000,2000,0.025385,630.304927
2000,2000,2000,0.026336,607.538143
2000,2000,2000,0.025811,619.887118
2000,2000,2000,0.025476,628.049696
2000,2000,2000,0.025555,626.097382
2000,2000,2000,0.025977,615.922553
3000,3000,3000,0.043227,1249.218400
3000,3000,3000,0.042842,1260.445828
3000,3000,3000,0.044869,1203.505759
3000,3000,3000,0.044937,1201.684521
3000,3000,3000,0.046975,1149.539679
3000,3000,3000,0.043271,1247.960451
3000,3000,3000,0.044360,1217.308010
3000,3000,3000,0.045183,1195.126751
3000,3000,3000,0.046770,1154.590495
3000,3000,3000,0.044118,1223.979028
3000,3000,3000,0.045670,1182.403860
3000,3000,3000,0.045247,1193.460368
3000,3000,3000,0.046345,1165.171169
3000,3000,3000,0.044125,1223.789461
3000,3000,3000,0.046539,1160.307754
4000,4000,4000,0.080903,1582.139093
4000,4000,4000,0.080578,1588.520024
4000,4000,4000,0.076836,1665.878953
4000,4000,4000,0.079037,1619.494155
4000,4000,4000,0.069926,1830.494729
4000,4000,4000,0.073964,1730.583211
4000,4000,4000,0.075782,1689.046355
4000,4000,4000,0.072966,1754.241629
4000,4000,4000,0.081297,1574.474908
4000,4000,4000,0.077218,1657.634437
4000,4000,4000,0.074197,1725.144784
4000,4000,4000,0.079499,1610.081505
4000,4000,4000,0.078776,1624.864179
4000,4000,4000,0.074699,1713.535339
4000,4000,4000,0.078833,1623.694451
5000,5000,5000,0.124926,2001.185118
5000,5000,5000,0.123972,2016.584032
5000,5000,5000,0.117111,2134.721797
5000,5000,5000,0.120650,2072.114251
5000,5000,5000,0.119911,2084.876090
5000,5000,5000,0.122881,2034.496533
5000,5000,5000,0.114998,2173.950700
5000,5000,5000,0.122342,2043.445549
5000,5000,5000,0.121755,2053.296919
5000,5000,5000,0.118264,2113.915508
5000,5000,5000,0.119303,2095.511890
5000,5000,5000,0.116165,2152.118391
5000,5000,5000,0.124733,2004.287427
5000,5000,5000,0.125503,1991.979573
5000,5000,5000,0.113645,2199.842162
6000,6000,6000,0.196663,2196.648466
6000,6000,6000,0.197875,2183.195491
6000,6000,6000,0.197641,2185.776756
6000,6000,6000,0.197420,2188.228742
6000,6000,6000,0.195821,2206.099155
6000,6000,6000,0.193285,2235.046410
6000,6000,6000,0.193905,2227.890622
6000,6000,6000,0.198735,2173.746873
6000,6000,6000,0.193244,2235.517584
6000,6000,6000,0.190751,2264.734682
6000,6000,6000,0.197196,2190.715207
6000,6000,6000,0.196348,2200.169675
6000,6000,6000,0.192967,2238.722331
6000,6000,6000,0.198631,2174.883073
6000,6000,6000,0.197285,2189.730064
7000,7000,7000,0.336369,2039.429261
7000,7000,7000,0.337839,2030.555425
7000,7000,7000,0.331871,2067.065345
7000,7000,7000,0.337047,2035.326310
7000,7000,7000,0.343161,1999.062213
7000,7000,7000,0.331482,2069.494588
7000,7000,7000,0.330813,2073.680874
7000,7000,7000,0.339085,2023.093458
7000,7000,7000,0.344097,1993.624401
7000,7000,7000,0.336005,2041.637203
7000,7000,7000,0.337409,2033.137992
7000,7000,7000,0.341739,2007.377910
7000,7000,7000,0.337628,2031.822035
7000,7000,7000,0.337277,2033.935315
7000,7000,7000,0.334363,2051.661378
8000,8000,8000,0.511970,2000.116569
8000,8000,8000,0.511260,2002.894738
8000,8000,8000,0.500785,2044.789055
8000,8000,8000,0.512169,1999.338641
8000,8000,8000,0.518128,1976.344954
8000,8000,8000,0.509847,2008.443831
8000,8000,8000,0.510781,2004.774001
8000,8000,8000,0.516364,1983.096331
8000,8000,8000,0.514165,1991.579551
8000,8000,8000,0.523990,1954.236887
8000,8000,8000,0.512169,1999.340202
8000,8000,8000,0.523278,1956.895755
8000,8000,8000,0.515249,1987.388495
8000,8000,8000,0.518182,1976.140969
8000,8000,8000,0.513585,1993.827701
9000,9000,9000,0.727668,2003.661988
9000,9000,9000,0.730391,1996.189780
9000,9000,9000,0.712848,2045.316627
9000,9000,9000,0.727239,2004.843471
9000,9000,9000,0.722900,2016.877148
9000,9000,9000,0.727376,2004.466341
9000,9000,9000,0.725124,2010.690411
9000,9000,9000,0.721902,2019.664926
9000,9000,9000,0.728552,2001.230188
9000,9000,9000,0.718705,2028.648454
9000,9000,9000,0.730977,1994.591412
9000,9000,9000,0.723461,2015.313505
9000,9000,9000,0.724281,2013.031466
9000,9000,9000,0.720512,2023.560605
9000,9000,9000,0.727247,2004.819829
10000,10000,10000,0.865270,2311.417991
10000,10000,10000,0.885766,2257.933704
10000,10000,10000,0.880438,2271.596193
10000,10000,10000,0.895105,2234.375155
10000,10000,10000,0.890058,2247.045756
10000,10000,10000,0.893795,2237.649107
10000,10000,10000,0.886920,2254.994773
10000,10000,10000,0.907305,2204.330934
10000,10000,10000,0.885576,2258.418238
10000,10000,10000,0.891332,2243.833145
10000,10000,10000,0.901060,2219.608985
10000,10000,10000,0.885680,2258.150942
10000,10000,10000,0.886698,2255.559858
10000,10000,10000,0.902888,2215.114275
10000,10000,10000,0.875893,2283.384837
11000,11000,11000,1.291691,2060.864207
11000,11000,11000,1.201007,2216.472891
11000,11000,11000,1.207450,2204.645441
11000,11000,11000,1.189568,2237.788032
11000,11000,11000,1.185545,2245.381049
11000,11000,11000,1.194930,2227.746019
11000,11000,11000,1.201246,2216.032694
11000,11000,11000,1.184624,2247.126408
11000,11000,11000,1.207693,2204.202025
11000,11000,11000,1.206769,2205.889376
11000,11000,11000,1.195904,2225.930923
11000,11000,11000,1.226173,2170.981522
11000,11000,11000,1.200524,2217.365258
11000,11000,11000,1.217926,2185.683755
11000,11000,11000,1.215783,2189.536140
12000,12000,12000,1.483957,2328.908109
12000,12000,12000,1.490528,2318.641596
12000,12000,12000,1.427446,2421.108129
12000,12000,12000,1.466997,2355.832884
12000,12000,12000,1.456529,2372.764521
12000,12000,12000,1.450088,2383.304198
12000,12000,12000,1.465639,2358.015173
12000,12000,12000,1.456833,2372.268916
12000,12000,12000,1.460108,2366.947790
12000,12000,12000,1.442274,2396.215525
12000,12000,12000,1.479374,2336.123696
12000,12000,12000,1.442460,2395.906770
12000,12000,12000,1.449308,2384.586409
12000,12000,12000,1.380319,2503.769381
12000,12000,12000,1.450514,2382.603874
13000,13000,13000,1.983518,2215.256042
13000,13000,13000,1.972204,2227.963845
13000,13000,13000,1.971831,2228.385137
13000,13000,13000,1.976566,2223.047502
13000,13000,13000,1.965042,2236.084810
13000,13000,13000,1.950990,2252.189766
13000,13000,13000,1.965168,2235.941279
13000,13000,13000,1.968444,2232.219451
13000,13000,13000,1.965772,2235.254408
13000,13000,13000,1.970197,2230.233361
13000,13000,13000,1.968937,2231.660490
13000,13000,13000,1.986954,2211.425607
13000,13000,13000,1.970258,2230.164277
13000,13000,13000,1.966840,2234.040808
13000,13000,13000,1.974578,2225.285264
14000,14000,14000,2.271994,2415.498951
14000,14000,14000,2.336748,2348.562824
