m,k,n,time,GFLOPS
2000,2000,2000,0.048777,328.020327
2000,2000,2000,0.027214,587.943203
2000,2000,2000,0.027597,579.772702
2000,2000,2000,0.027253,587.085750
2000,2000,2000,0.028399,563.407460
2000,2000,2000,0.028724,557.022575
2000,2000,2000,0.028073,569.938650
2000,2000,2000,0.027419,583.536751
2000,2000,2000,0.027147,589.377864
2000,2000,2000,0.028656,558.339771
2000,2000,2000,0.028646,558.536238
2000,2000,2000,0.027255,587.058221
2000,2000,2000,0.027770,576.162508
2000,2000,2000,0.028338,564.614302
2000,2000,2000,0.027559,580.573917
3000,3000,3000,0.048731,1108.122009
3000,3000,3000,0.046573,1159.471473
3000,3000,3000,0.046592,1158.987029
3000,3000,3000,0.050210,1075.472412
3000,3000,3000,0.046944,1150.313095
3000,3000,3000,0.050747,1064.109231
3000,3000,3000,0.045974,1174.572259
3000,3000,3000,0.045684,1182.044301
3000,3000,3000,0.045794,1179.206089
3000,3000,3000,0.045427,1188.715576
3000,3000,3000,0.046468,1162.101369
3000,3000,3000,0.046026,1173.240241
3000,3000,3000,0.045592,1184.416916
3000,3000,3000,0.046628,1158.107644
3000,3000,3000,0.045965,1174.819136
4000,4000,4000,0.079961,1600.788528
4000,4000,4000,0.076762,1667.502003
4000,4000,4000,0.076446,1674.374764
4000,4000,4000,0.079807,1603.873535
4000,4000,4000,0.072579,1763.588508
4000,4000,4000,0.077625,1648.955829
4000,4000,4000,0.075779,1689.132258
4000,4000,4000,0.080816,1583.839570
4000,4000,4000,0.076487,1673.496581
4000,4000,4000,0.073790,1734.647197
4000,4000,4000,0.072569,1763.829877
4000,4000,4000,0.077861,1643.952298
4000,4000,4000,0.078589,1628.734045
4000,4000,4000,0.078880,1622.716530
4000,4000,4000,0.075055,1705.426435
5000,5000,5000,0.111119,2249.847793
5000,5000,5000,0.108905,2295.581224
5000,5000,5000,0.108779,2298.227824
5000,5000,5000,0.107927,2316.371803
5000,5000,5000,0.101903,2453.309088
5000,5000,5000,0.113346,2205.644267
5000,5000,5000,0.112806,2216.192347
5000,5000,5000,0.107404,2327.663864
5000,5000,5000,0.096396,2593.458546
5000,5000,5000,0.112147,2229.208323
5000,5000,5000,0.108515,2303.835800
5000,5000,5000,0.106770,2341.488137
5000,5000,5000,0.106736,2342.218511
5000,5000,5000,0.106087,2356.549903
5000,5000,5000,0.108412,2306.025973
6000,6000,6000,0.143917,3001.721550
6000,6000,6000,0.149358,2892.375433
6000,6000,6000,0.150976,2861.376085
6000,6000,6000,0.151790,2846.037382
6000,6000,6000,0.144499,2989.635267
6000,6000,6000,0.150364,2873.036526
6000,6000,6000,0.154437,2797.259778
6000,6000,6000,0.155209,2783.342064
6000,6000,6000,0.149650,2886.745053
6000,6000,6000,0.145129,2976.662203
6000,6000,6000,0.143233,3016.064776
6000,6000,6000,0.149326,2893.002484
6000,6000,6000,0.151972,2842.624809
6000,6000,6000,0.154460,2796.839031
6000,6000,6000,0.148590,2907.326896
7000,7000,7000,0.225188,3046.347355
7000,7000,7000,0.217242,3157.772666
7000,7000,7000,0.225005,3048.826002
7000,7000,7000,0.219181,3129.834219
7000,7000,7000,0.221454,3097.715549
7000,7000,7000,0.224913,3050.072520
7000,7000,7000,0.222119,3088.437442
7000,7000,7000,0.225851,3037.404812
7000,7000,7000,0.221815,3092.665570
7000,7000,7000,0.225998,3035.430035
7000,7000,7000,0.224716,3052.742006
7000,7000,7000,0.227865,3010.558749
7000,7000,7000,0.224718,3052.709755
7000,7000,7000,0.216158,3173.602173
7000,7000,7000,0.219963,3118.704641
8000,8000,8000,0.332408,3080.553307
8000,8000,8000,0.336227,3045.561997
8000,8000,8000,0.328718,3115.127542
8000,8000,8000,0.326044,3140.685196
8000,8000,8000,0.319625,3203.759161
8000,8000,8000,0.328046,3121.517167
8000,8000,8000,0.329060,3111.897504
8000,8000,8000,0.322477,3175.418461
8000,8000,8000,0.334942,3057.243405
8000,8000,8000,0.331487,3089.113370
8000,8000,8000,0.338419,3025.837341
8000,8000,8000,0.338684,3023.468579
8000,8000,8000,0.342804,2987.127938
8000,8000,8000,0.321872,3181.385831
8000,8000,8000,0.332181,3082.653079
9000,9000,9000,0.513982,2836.675093
9000,9000,9000,0.514638,2833.057141
9000,9000,9000,0.522147,2792.318641
9000,9000,9000,0.514581,2833.373926
9000,9000,9000,0.507885,2870.730837
9000,9000,9000,0.516588,2822.363720
9000,9000,9000,0.519377,2807.209931
9000,9000,9000,0.503550,2895.442745
9000,9000,9000,0.514611,2833.208827
9000,9000,9000,0.514466,2834.006578
9000,9000,9000,0.524565,2779.443654
9000,9000,9000,0.508488,2867.325335
9000,9000,9000,0.507261,2874.259005
9000,9000,9000,0.509940,2859.157518
9000,9000,9000,0.513428,2839.736541
10000,10000,10000,0.716469,2791.469022
10000,10000,10000,0.713149,2804.463483
10000,10000,10000,0.716926,2789.688617
10000,10000,10000,0.710502,2814.911956
10000,10000,10000,0.707283,2827.722685
10000,10000,10000,0.709784,2817.758455
10000,10000,10000,0.715019,2797.127881
10000,10000,10000,0.717359,2788.003240
10000,10000,10000,0.724759,2759.537728
10000,10000,10000,0.718335,2784.214441
10000,10000,10000,0.717854,2786.079944
