cores,m,k,n,time,GFLOPS
1,12000,12000,12000,56.983676,60.648948
1,12000,12000,12000,57.893126,59.696207
1,12000,12000,12000,57.414044,60.194331
1,12000,12000,12000,57.545106,60.057236
1,12000,12000,12000,57.326627,60.286122
1,12000,12000,12000,57.581838,60.018925
1,12000,12000,12000,57.660455,59.937092
1,12000,12000,12000,56.972318,60.661039
1,12000,12000,12000,57.409413,60.199187
1,12000,12000,12000,57.392392,60.217040
2,12000,12000,12000,34.391677,100.489429
2,12000,12000,12000,34.173311,101.131553
2,12000,12000,12000,33.707237,102.529910
2,12000,12000,12000,34.201279,101.048851
2,12000,12000,12000,34.401216,100.461564
2,12000,12000,12000,34.379616,100.524683
2,12000,12000,12000,34.097239,101.357179
2,12000,12000,12000,34.174842,101.127023
2,12000,12000,12000,33.970634,101.734927
2,12000,12000,12000,34.403874,100.453804
3,12000,12000,12000,29.390583,117.588685
3,12000,12000,12000,29.405813,117.527784
3,12000,12000,12000,29.424499,117.453149
3,12000,12000,12000,29.589012,116.800115
3,12000,12000,12000,29.615667,116.694990
3,12000,12000,12000,29.430305,117.429974
3,12000,12000,12000,29.236493,118.208433
3,12000,12000,12000,29.231521,118.228540
3,12000,12000,12000,29.238410,118.200681
3,12000,12000,12000,29.468210,117.278924
4,12000,12000,12000,23.678412,145.955731
4,12000,12000,12000,23.477433,147.205191
4,12000,12000,12000,23.719772,145.701230
4,12000,12000,12000,23.200074,148.965040
4,12000,12000,12000,23.140608,149.347846
4,12000,12000,12000,23.457460,147.330530
4,12000,12000,12000,23.366040,147.906965
4,12000,12000,12000,23.768154,145.404642
4,12000,12000,12000,23.113398,149.523666
4,12000,12000,12000,23.177462,149.110370
5,12000,12000,12000,17.589993,196.475344
5,12000,12000,12000,17.803890,194.114884
5,12000,12000,12000,17.561599,196.793018
5,12000,12000,12000,17.614909,196.197440
5,12000,12000,12000,17.276199,200.044004
5,12000,12000,12000,17.778003,194.397533
5,12000,12000,12000,17.430983,198.267646
5,12000,12000,12000,17.673548,195.546479
5,12000,12000,12000,17.706732,195.180000
5,12000,12000,12000,17.733355,194.886977
6,12000,12000,12000,11.931688,289.648874
6,12000,12000,12000,11.565233,298.826654
6,12000,12000,12000,11.464910,301.441540
6,12000,12000,12000,11.976897,288.555549
6,12000,12000,12000,11.908787,290.205882
6,12000,12000,12000,11.809456,292.646848
6,12000,12000,12000,11.985241,288.354659
6,12000,12000,12000,11.767105,293.700114
6,12000,12000,12000,12.001537,287.963123
6,12000,12000,12000,11.795026,293.004860
7,12000,12000,12000,12.454528,277.489433
7,12000,12000,12000,12.190828,283.491821
7,12000,12000,12000,11.606611,297.761335
7,12000,12000,12000,11.966886,288.796943
7,12000,12000,12000,12.227182,282.648931
7,12000,12000,12000,12.072232,286.276812
7,12000,12000,12000,12.089984,285.856463
7,12000,12000,12000,11.957569,289.021963
7,12000,12000,12000,12.115690,285.249950
7,12000,12000,12000,11.702490,295.321760
8,12000,12000,12000,9.311437,371.156450
8,12000,12000,12000,9.133298,378.395638
8,12000,12000,12000,9.202597,375.546148
8,12000,12000,12000,9.078339,380.686376
8,12000,12000,12000,9.170253,376.870717
8,12000,12000,12000,9.173039,376.756269
8,12000,12000,12000,8.992463,384.321845
8,12000,12000,12000,9.192035,375.977685
8,12000,12000,12000,9.154957,377.500423
8,12000,12000,12000,8.976887,384.988686
9,12000,12000,12000,9.276529,372.553127
9,12000,12000,12000,8.845342,390.714131
9,12000,12000,12000,9.095919,379.950599
9,12000,12000,12000,8.930753,386.977441
9,12000,12000,12000,9.124424,378.763622
9,12000,12000,12000,9.228801,374.479840
9,12000,12000,12000,9.056370,381.609832
9,12000,12000,12000,9.192360,375.964380
9,12000,12000,12000,9.026886,382.856292
9,12000,12000,12000,9.138036,378.199438
10,12000,12000,12000,8.334577,414.658109
10,12000,12000,12000,7.925809,436.043806
10,12000,12000,12000,8.061073,428.727066
10,12000,12000,12000,7.938603,435.341065
10,12000,12000,12000,8.051028,429.261935
10,12000,12000,12000,7.908832,436.979825
10,12000,12000,12000,7.961930,434.065592
10,12000,12000,12000,8.061537,428.702348
10,12000,12000,12000,7.900633,437.433324
10,12000,12000,12000,7.810400,442.486914
11,12000,12000,12000,7.375309,468.590510
11,12000,12000,12000,7.426829,465.339945
11,12000,12000,12000,7.471928,462.531235
11,12000,12000,12000,7.423305,465.560811
11,12000,12000,12000,7.383404,468.076766
11,12000,12000,12000,7.358489,469.661639
11,12000,12000,12000,7.350385,470.179478
11,12000,12000,12000,7.258200,476.151099
11,12000,12000,12000,7.290908,474.015023
11,12000,12000,12000,7.365411,469.220241
12,12000,12000,12000,6.010086,575.033368
12,12000,12000,12000,5.930770,582.723645
12,12000,12000,12000,6.101605,566.408308
12,12000,12000,12000,6.147488,562.180803
12,12000,12000,12000,6.014484,574.612847
12,12000,12000,12000,6.099830,566.573210
12,12000,12000,12000,5.977353,578.182324
12,12000,12000,12000,6.113616,565.295589
12,12000,12000,12000,5.882599,587.495397
12,12000,12000,12000,5.872856,588.470105
13,12000,12000,12000,6.186286,558.655100
13,12000,12000,12000,6.014097,574.649818
13,12000,12000,12000,6.071655,569.202325
13,12000,12000,12000,6.195353,557.837472
13,12000,12000,12000,6.052569,570.997224
13,12000,12000,12000,5.973701,578.535862
13,12000,12000,12000,5.953127,580.535252
13,12000,12000,12000,5.945367,581.293000
13,12000,12000,12000,5.964310,579.446727
13,12000,12000,12000,6.010504,574.993355
14,12000,12000,12000,5.518795,626.223651
14,12000,12000,12000,5.516044,626.535957
14,12000,12000,12000,5.512054,626.989461
14,12000,12000,12000,5.611274,615.902921
14,12000,12000,12000,5.545060,623.257495
14,12000,12000,12000,5.408631,638.978657
14,12000,12000,12000,5.516436,626.491476
14,12000,12000,12000,5.391576,640.999989
14,12000,12000,12000,5.498347,628.552593
14,12000,12000,12000,5.414732,638.258766
15,12000,12000,12000,5.006140,690.352209
15,12000,12000,12000,5.035025,686.391808
15,12000,12000,12000,4.953974,697.621776
15,12000,12000,12000,5.031734,686.840795
15,12000,12000,12000,4.969024,695.508763
15,12000,12000,12000,4.968655,695.560477
15,12000,12000,12000,4.994425,691.971537
15,12000,12000,12000,5.082114,680.031912
15,12000,12000,12000,5.026598,687.542524
15,12000,12000,12000,4.986802,693.029384
16,12000,12000,12000,4.957888,697.070987
16,12000,12000,12000,4.973391,694.898161
16,12000,12000,12000,5.148735,671.232817
16,12000,12000,12000,4.921903,702.167377
16,12000,12000,12000,4.964013,696.210853
16,12000,12000,12000,5.093261,678.543667
16,12000,12000,12000,5.076299,680.810970
16,12000,12000,12000,5.054268,683.778493
16,12000,12000,12000,4.945545,698.810778
16,12000,12000,12000,5.019910,688.458544
17,12000,12000,12000,4.673192,739.537417
17,12000,12000,12000,4.704447,734.624057
17,12000,12000,12000,4.646005,743.864860
17,12000,12000,12000,4.736859,729.597465
17,12000,12000,12000,4.686236,737.478864
17,12000,12000,12000,4.664706,740.882638
17,12000,12000,12000,4.776348,723.565319
17,12000,12000,12000,4.799087,720.136978
17,12000,12000,12000,4.726544,731.189698
17,12000,12000,12000,4.779050,723.156299
18,12000,12000,12000,4.233199,816.403784
18,12000,12000,12000,4.287822,806.003678
18,12000,12000,12000,4.131892,836.420762
18,12000,12000,12000,4.259105,811.438105
18,12000,12000,12000,4.288816,805.816838
18,12000,12000,12000,4.213733,820.175299
18,12000,12000,12000,4.205864,821.709821
18,12000,12000,12000,4.195047,823.828696
18,12000,12000,12000,4.240918,814.917924
18,12000,12000,12000,4.205451,821.790670
19,12000,12000,12000,4.218061,819.333804
19,12000,12000,12000,4.136493,835.490271
19,12000,12000,12000,4.145525,833.670033
19,12000,12000,12000,4.238876,815.310420
19,12000,12000,12000,4.129003,837.005999
19,12000,12000,12000,4.257595,811.725840
19,12000,12000,12000,4.224878,818.011798
19,12000,12000,12000,4.158350,831.098945
19,12000,12000,12000,4.112168,840.432509
19,12000,12000,12000,4.237292,815.615181
20,12000,12000,12000,3.634636,950.851776
20,12000,12000,12000,3.759080,919.374010
20,12000,12000,12000,3.803853,908.552437
20,12000,12000,12000,3.771157,916.429675
20,12000,12000,12000,3.702057,933.534984
20,12000,12000,12000,3.772937,915.997187
20,12000,12000,12000,3.692645,935.914555
20,12000,12000,12000,3.753061,920.848257
20,12000,12000,12000,3.730143,926.506143
20,12000,12000,12000,3.744653,922.915974
21,12000,12000,12000,3.828943,902.598851
21,12000,12000,12000,3.801726,909.060717
21,12000,12000,12000,3.755864,920.161165
21,12000,12000,12000,3.669222,941.888938
21,12000,12000,12000,3.756005,920.126504
21,12000,12000,12000,3.694997,935.318659
21,12000,12000,12000,3.640393,949.347945
21,12000,12000,12000,3.731538,926.159672
21,12000,12000,12000,3.725626,927.629400
21,12000,12000,12000,3.738942,924.325660
22,12000,12000,12000,3.633599,951.123163
22,12000,12000,12000,3.598963,960.276647
22,12000,12000,12000,3.671573,941.285918
22,12000,12000,12000,3.689370,936.745221
22,12000,12000,12000,3.722372,928.440262
22,12000,12000,12000,3.642238,948.867134
22,12000,12000,12000,3.710577,931.391496
22,12000,12000,12000,3.666873,942.492506
22,12000,12000,12000,3.705041,932.783125
22,12000,12000,12000,3.729791,926.593426
23,12000,12000,12000,3.656031,945.287349
23,12000,12000,12000,3.636488,950.367612
23,12000,12000,12000,3.659554,944.377349
23,12000,12000,12000,3.660411,944.156219
23,12000,12000,12000,3.689326,936.756428
23,12000,12000,12000,3.667955,942.214407
23,12000,12000,12000,3.655930,945.313456
23,12000,12000,12000,3.639369,949.615164
23,12000,12000,12000,3.626405,953.010055
23,12000,12000,12000,3.641857,948.966408
24,12000,12000,12000,3.249543,1063.534031
24,12000,12000,12000,3.194184,1081.966338
24,12000,12000,12000,3.218216,1073.886795
24,12000,12000,12000,3.269229,1057.129950
24,12000,12000,12000,3.281169,1053.283175
24,12000,12000,12000,3.244510,1065.184001
24,12000,12000,12000,3.228768,1070.377261
24,12000,12000,12000,3.212418,1075.825235
24,12000,12000,12000,3.263834,1058.877375
24,12000,12000,12000,3.285359,1051.939809
25,12000,12000,12000,3.213813,1075.358208
25,12000,12000,12000,3.227259,1070.877658
25,12000,12000,12000,3.203754,1078.734582
25,12000,12000,12000,3.193822,1082.088959
25,12000,12000,12000,3.256139,1061.379829
25,12000,12000,12000,3.234639,1068.434409
25,12000,12000,12000,3.261342,1059.686549
25,12000,12000,12000,3.255498,1061.588643
25,12000,12000,12000,3.183206,1085.697724
25,12000,12000,12000,3.214762,1075.040746
26,12000,12000,12000,3.122635,1106.757586
26,12000,12000,12000,3.085436,1120.101107
26,12000,12000,12000,3.029393,1140.822542
26,12000,12000,12000,3.127710,1104.961909
26,12000,12000,12000,3.038719,1137.321477
26,12000,12000,12000,3.140998,1100.287406
26,12000,12000,12000,3.014026,1146.639209
26,12000,12000,12000,3.045257,1134.879543
26,12000,12000,12000,3.175496,1088.333777
26,12000,12000,12000,3.030969,1140.229435
27,12000,12000,12000,2.967057,1164.790748
27,12000,12000,12000,2.924989,1181.542844
27,12000,12000,12000,3.032869,1139.515151
27,12000,12000,12000,3.006980,1149.325920
27,12000,12000,12000,3.021532,1143.790552
27,12000,12000,12000,2.924715,1181.653739
27,12000,12000,12000,2.987378,1156.867387
27,12000,12000,12000,3.044981,1134.982295
27,12000,12000,12000,2.917263,1184.672259
27,12000,12000,12000,2.964560,1165.771500
28,12000,12000,12000,2.725143,1268.190538
28,12000,12000,12000,2.838311,1217.625386
28,12000,12000,12000,2.919174,1183.896442
28,12000,12000,12000,2.854755,1210.611572
28,12000,12000,12000,2.900755,1191.413951
28,12000,12000,12000,2.873723,1202.620944
28,12000,12000,12000,2.831844,1220.406001
28,12000,12000,12000,2.753060,1255.330462
28,12000,12000,12000,2.750363,1256.561405
28,12000,12000,12000,2.789939,1238.736836
29,12000,12000,12000,2.879387,1200.255364
29,12000,12000,12000,2.893347,1194.464601
29,12000,12000,12000,2.826839,1222.567179
29,12000,12000,12000,2.915214,1185.504778
29,12000,12000,12000,2.889329,1196.125389
29,12000,12000,12000,2.901489,1191.112646
29,12000,12000,12000,2.908109,1188.401308
29,12000,12000,12000,2.800575,1234.032337
29,12000,12000,12000,2.890391,1195.686007
29,12000,12000,12000,2.841488,1216.264074
30,12000,12000,12000,2.630448,1313.844762
30,12000,12000,12000,2.671656,1293.579907
30,12000,12000,12000,2.622191,1317.981887
30,12000,12000,12000,2.628960,1314.588336
30,12000,12000,12000,2.676572,1291.204012
30,12000,12000,12000,2.663696,1297.445502
30,12000,12000,12000,2.591402,1333.640911
30,12000,12000,12000,2.647528,1305.368842
30,12000,12000,12000,2.637149,1310.506307
30,12000,12000,12000,2.677147,1290.926643
31,12000,12000,12000,2.640499,1308.843287
31,12000,12000,12000,2.686862,1286.258837
31,12000,12000,12000,2.636466,1310.845423
31,12000,12000,12000,2.644470,1306.878200
31,12000,12000,12000,2.643534,1307.340622
31,12000,12000,12000,2.710573,1275.007148
31,12000,12000,12000,2.628763,1314.686587
31,12000,12000,12000,2.638419,1309.875462
31,12000,12000,12000,2.642008,1308.096114
31,12000,12000,12000,2.666036,1296.306437
32,12000,12000,12000,2.542679,1359.196606
32,12000,12000,12000,2.522708,1369.956285
32,12000,12000,12000,2.514390,1374.488489
32,12000,12000,12000,2.536614,1362.446136
32,12000,12000,12000,2.518248,1372.382736
32,12000,12000,12000,2.558864,1350.599242
32,12000,12000,12000,2.549931,1355.330686
32,12000,12000,12000,2.554988,1352.648387
32,12000,12000,12000,2.514853,1374.235448
32,12000,12000,12000,2.507967,1378.008552
33,12000,12000,12000,2.365678,1460.892216
33,12000,12000,12000,2.349648,1470.858657
33,12000,12000,12000,2.352914,1468.817190
33,12000,12000,12000,2.366176,1460.584436
33,12000,12000,12000,2.322454,1488.080853
33,12000,12000,12000,2.390574,1445.677907
33,12000,12000,12000,2.355809,1467.012065
33,12000,12000,12000,2.404180,1437.496233
33,12000,12000,12000,2.387461,1447.563168
33,12000,12000,12000,2.361988,1463.174517
34,12000,12000,12000,2.383563,1449.930301
34,12000,12000,12000,2.407860,1435.299163
34,12000,12000,12000,2.378512,1453.009259
34,12000,12000,12000,2.365161,1461.211172
34,12000,12000,12000,2.408907,1434.675821
34,12000,12000,12000,2.373385,1456.148030
34,12000,12000,12000,2.425898,1424.627196
34,12000,12000,12000,2.394299,1443.428838
34,12000,12000,12000,2.405388,1436.774593
34,12000,12000,12000,2.399511,1440.293758
35,12000,12000,12000,2.123428,1627.556859
35,12000,12000,12000,2.111309,1636.899368
35,12000,12000,12000,2.134371,1619.212174
35,12000,12000,12000,2.112676,1635.839932
35,12000,12000,12000,2.198880,1571.708929
35,12000,12000,12000,2.116159,1633.147482
35,12000,12000,12000,2.139241,1615.526021
35,12000,12000,12000,2.157551,1601.816322
35,12000,12000,12000,2.174033,1589.672560
35,12000,12000,12000,2.176670,1587.746564
36,12000,12000,12000,2.146034,1610.412275
36,12000,12000,12000,2.179577,1585.628881
36,12000,12000,12000,2.193806,1575.344463
36,12000,12000,12000,2.184855,1581.798008
36,12000,12000,12000,2.143215,1612.530889
36,12000,12000,12000,2.151660,1606.201737
36,12000,12000,12000,3.159698,1093.775324
36,12000,12000,12000,2.163146,1597.673291
36,12000,12000,12000,2.142826,1612.823815
36,12000,12000,12000,2.177678,1587.011147
37,12000,12000,12000,2.098710,1646.725798
37,12000,12000,12000,2.108535,1639.052402
37,12000,12000,12000,2.087947,1655.214753
37,12000,12000,12000,2.112363,1636.082432
37,12000,12000,12000,2.099712,1645.939638
37,12000,12000,12000,2.111908,1636.434789
37,12000,12000,12000,2.076328,1664.476642
