cores,m,k,n,time,GFLOPS
1,12000,12000,12000,55.631479,62.123101
1,12000,12000,12000,56.109790,61.593530
1,12000,12000,12000,55.935766,61.785155
1,12000,12000,12000,56.091824,61.613258
1,12000,12000,12000,56.662536,60.992682
1,12000,12000,12000,55.700838,62.045745
1,12000,12000,12000,55.774472,61.963832
1,12000,12000,12000,56.359400,61.320738
1,12000,12000,12000,56.093460,61.611461
1,12000,12000,12000,55.845166,61.885392
2,12000,12000,12000,28.530902,121.131817
2,12000,12000,12000,28.427640,121.571824
2,12000,12000,12000,28.320700,122.030884
2,12000,12000,12000,28.332665,121.979348
2,12000,12000,12000,28.881803,119.660118
2,12000,12000,12000,28.217366,122.477768
2,12000,12000,12000,28.367104,121.831258
2,12000,12000,12000,28.514301,121.202340
2,12000,12000,12000,28.401500,121.683714
2,12000,12000,12000,28.342111,121.938692
3,12000,12000,12000,37.463608,92.249523
3,12000,12000,12000,38.322382,90.182286
3,12000,12000,12000,37.619299,91.867742
3,12000,12000,12000,38.326159,90.173398
3,12000,12000,12000,37.897210,91.194049
3,12000,12000,12000,38.674365,89.361519
3,12000,12000,12000,37.568619,91.991670
3,12000,12000,12000,38.422198,89.948003
3,12000,12000,12000,38.008685,90.926587
3,12000,12000,12000,38.074490,90.769437
4,12000,12000,12000,25.057635,137.922035
4,12000,12000,12000,25.025532,138.098961
4,12000,12000,12000,24.568481,140.668036
4,12000,12000,12000,25.101184,137.682749
4,12000,12000,12000,24.321359,142.097321
4,12000,12000,12000,25.360935,136.272580
4,12000,12000,12000,24.800199,139.353719
4,12000,12000,12000,24.365929,141.837401
4,12000,12000,12000,24.431506,141.456690
4,12000,12000,12000,23.464120,147.288710
5,12000,12000,12000,18.800613,183.823795
5,12000,12000,12000,18.735783,184.459865
5,12000,12000,12000,18.736155,184.456202
5,12000,12000,12000,18.503983,186.770600
5,12000,12000,12000,18.729434,184.522396
5,12000,12000,12000,19.032785,181.581411
5,12000,12000,12000,18.873391,183.114952
5,12000,12000,12000,18.533710,186.471035
5,12000,12000,12000,18.980750,182.079210
5,12000,12000,12000,18.917083,182.692015
6,12000,12000,12000,12.094255,285.755506
6,12000,12000,12000,11.464525,301.451652
6,12000,12000,12000,11.697858,295.438704
6,12000,12000,12000,11.758901,293.905012
6,12000,12000,12000,11.723879,294.782980
6,12000,12000,12000,12.202311,283.225048
6,12000,12000,12000,11.957154,289.031977
6,12000,12000,12000,12.215545,282.918203
6,12000,12000,12000,12.175562,283.847277
6,12000,12000,12000,12.074714,286.217970
