m,k,n,time,GFLOPS
2000,2000,2000,0.016806,952.027286
2000,2000,2000,0.016999,941.210410
2000,2000,2000,0.017069,937.375578
2000,2000,2000,0.017074,937.077144
2000,2000,2000,0.016718,957.032014
2000,2000,2000,0.016839,950.181791
2000,2000,2000,0.016678,959.364038
2000,2000,2000,0.017156,932.640343
2000,2000,2000,0.016687,958.847523
2000,2000,2000,0.017584,909.894874
3000,3000,3000,0.042111,1282.326684
3000,3000,3000,0.042241,1278.371381
3000,3000,3000,0.041800,1291.862815
3000,3000,3000,0.042083,1283.191958
3000,3000,3000,0.042385,1274.044914
3000,3000,3000,0.042440,1272.370092
3000,3000,3000,0.041915,1288.312106
3000,3000,3000,0.041975,1286.473734
3000,3000,3000,0.042341,1275.354279
3000,3000,3000,0.042716,1264.149787
4000,4000,4000,0.089972,1422.668102
4000,4000,4000,0.089379,1432.099043
4000,4000,4000,0.090170,1419.546629
4000,4000,4000,0.089770,1425.873742
4000,4000,4000,0.089611,1428.401790
4000,4000,4000,0.089991,1422.357267
4000,4000,4000,0.089798,1425.428740
4000,4000,4000,0.089834,1424.843428
4000,4000,4000,0.090087,1420.848215
4000,4000,4000,0.089874,1424.213890
5000,5000,5000,0.174017,1436.639283
5000,5000,5000,0.173879,1437.781041
5000,5000,5000,0.173444,1441.383283
5000,5000,5000,0.173977,1436.970876
5000,5000,5000,0.174183,1435.271258
5000,5000,5000,0.173518,1440.771901
5000,5000,5000,0.173587,1440.197974
5000,5000,5000,0.173508,1440.857198
5000,5000,5000,0.174557,1432.193347
5000,5000,5000,0.173150,1443.835851
6000,6000,6000,0.286485,1507.929773
6000,6000,6000,0.286001,1510.484794
6000,6000,6000,0.286530,1507.697008
6000,6000,6000,0.286682,1506.896821
6000,6000,6000,0.286297,1508.923717
6000,6000,6000,0.286832,1506.110279
6000,6000,6000,0.287014,1505.155052
6000,6000,6000,0.286160,1509.647259
6000,6000,6000,0.286592,1507.371586
6000,6000,6000,0.286300,1508.906225
7000,7000,7000,0.443066,1548.300990
7000,7000,7000,0.442885,1548.936479
7000,7000,7000,0.442053,1551.850160
7000,7000,7000,0.442802,1549.224476
7000,7000,7000,0.441982,1552.099122
7000,7000,7000,0.442141,1551.542910
7000,7000,7000,0.443108,1548.154789
7000,7000,7000,0.442287,1551.027947
7000,7000,7000,0.443420,1547.066088
7000,7000,7000,0.443188,1547.875499
8000,8000,8000,0.649178,1577.379357
8000,8000,8000,0.647944,1580.384280
8000,8000,8000,0.648691,1578.562570
8000,8000,8000,0.649352,1576.957084
8000,8000,8000,0.649893,1575.644446
8000,8000,8000,0.649858,1575.728791
8000,8000,8000,0.648801,1578.296743
8000,8000,8000,0.649649,1576.236401
8000,8000,8000,0.648983,1577.852209
8000,8000,8000,0.648583,1578.826730
9000,9000,9000,0.925256,1575.780223
9000,9000,9000,0.924594,1576.907648
9000,9000,9000,0.924856,1576.462342
9000,9000,9000,0.926196,1574.180168
9000,9000,9000,0.926334,1573.945945
9000,9000,9000,0.926172,1574.221886
9000,9000,9000,0.924697,1576.733409
9000,9000,9000,0.926309,1573.988767
9000,9000,9000,0.926729,1573.275925
9000,9000,9000,0.926227,1574.128325
10000,10000,10000,1.287568,1553.315639
10000,10000,10000,1.291004,1549.181781
10000,10000,10000,1.286240,1554.919511
10000,10000,10000,1.290178,1550.174024
10000,10000,10000,1.288401,1552.312243
10000,10000,10000,1.285214,1556.160557
10000,10000,10000,1.287085,1553.898395
10000,10000,10000,1.289290,1551.241688
10000,10000,10000,1.284579,1556.930251
10000,10000,10000,1.291504,1548.582256
11000,11000,11000,1.686938,1578.007343
11000,11000,11000,1.685361,1579.483584
11000,11000,11000,1.688970,1576.108370
11000,11000,11000,1.689906,1575.235102
11000,11000,11000,1.688658,1576.399692
11000,11000,11000,1.685134,1579.696740
11000,11000,11000,1.691468,1573.781212
11000,11000,11000,1.692209,1573.091848
11000,11000,11000,1.690295,1574.873295
11000,11000,11000,1.689817,1575.318570
12000,12000,12000,2.211842,1562.498365
12000,12000,12000,2.209863,1563.898090
12000,12000,12000,2.210497,1563.449649
12000,12000,12000,2.211164,1562.977672
12000,12000,12000,2.208397,1564.936304
12000,12000,12000,2.205700,1566.849197
12000,12000,12000,2.197591,1572.631274
12000,12000,12000,2.204210,1567.909004
12000,12000,12000,2.206218,1566.481291
12000,12000,12000,2.208333,1564.981470
13000,13000,13000,2.782507,1579.151255
13000,13000,13000,2.785269,1577.585292
13000,13000,13000,2.779271,1580.990262
13000,13000,13000,2.788160,1575.949841
13000,13000,13000,2.783666,1578.493742
13000,13000,13000,2.785661,1577.363231
13000,13000,13000,2.784190,1578.196960
13000,13000,13000,2.783698,1578.475600
13000,13000,13000,2.780785,1580.129541
13000,13000,13000,2.787013,1576.598347
14000,14000,14000,3.438409,1596.087005
14000,14000,14000,3.435414,1597.478638
14000,14000,14000,3.438414,1596.084503
14000,14000,14000,3.435560,1597.410590
14000,14000,14000,3.432954,1598.623375
14000,14000,14000,3.437165,1596.664506
14000,14000,14000,3.438873,1595.871486
14000,14000,14000,3.412001,1608.440350
14000,14000,14000,3.437782,1596.378060
14000,14000,14000,3.420988,1604.215118
15000,15000,15000,4.281931,1576.391672
15000,15000,15000,4.291375,1572.922562
15000,15000,15000,4.302297,1568.929318
15000,15000,15000,4.305139,1567.893744
15000,15000,15000,4.293140,1572.275690
15000,15000,15000,4.311700,1565.507767
15000,15000,15000,4.308721,1566.590072
15000,15000,15000,4.313991,1564.676569
15000,15000,15000,4.301112,1569.361461
15000,15000,15000,4.311027,1565.752145
16000,16000,16000,5.146324,1591.815677
16000,16000,16000,5.145301,1592.132392
16000,16000,16000,5.141814,1593.211907
16000,16000,16000,5.151717,1590.149385
16000,16000,16000,5.152667,1589.856394
16000,16000,16000,5.147416,1591.478247
16000,16000,16000,5.149090,1590.960653
16000,16000,16000,5.142108,1593.120846
16000,16000,16000,5.143390,1592.723815
16000,16000,16000,5.143251,1592.766778
17000,17000,17000,6.162931,1594.371183
17000,17000,17000,6.178834,1590.267729
17000,17000,17000,6.179721,1590.039471
17000,17000,17000,6.181515,1589.577849
17000,17000,17000,6.188826,1587.700035
17000,17000,17000,6.192797,1586.682048
17000,17000,17000,6.183113,1589.167086
17000,17000,17000,6.188673,1587.739369
17000,17000,17000,6.193019,1586.625102
17000,17000,17000,6.177132,1590.705767
18000,18000,18000,7.359849,1584.815159
18000,18000,18000,7.352958,1586.300288
18000,18000,18000,7.360144,1584.751657
18000,18000,18000,7.339530,1589.202516
18000,18000,18000,7.346862,1587.616497
18000,18000,18000,7.351236,1586.671941
