cores,m,k,n,time,GFLOPS
1,12000,12000,12000,25.751949,134.203435
1,12000,12000,12000,25.746483,134.231925
1,12000,12000,12000,25.743172,134.249192
1,12000,12000,12000,25.742653,134.251898
1,12000,12000,12000,25.743875,134.245524
1,12000,12000,12000,25.733901,134.297555
1,12000,12000,12000,25.735035,134.291635
1,12000,12000,12000,25.746491,134.231882
1,12000,12000,12000,25.738786,134.272066
1,12000,12000,12000,25.735759,134.287862
2,12000,12000,12000,13.155613,262.701553
2,12000,12000,12000,13.152568,262.762369
2,12000,12000,12000,13.151984,262.774035
2,12000,12000,12000,13.148820,262.837277
2,12000,12000,12000,13.150279,262.808104
2,12000,12000,12000,13.152170,262.770335
2,12000,12000,12000,13.151145,262.790798
2,12000,12000,12000,13.150342,262.806856
2,12000,12000,12000,13.156982,262.674231
2,12000,12000,12000,13.153461,262.744540
3,12000,12000,12000,8.648196,399.620901
3,12000,12000,12000,8.650836,399.498969
3,12000,12000,12000,8.647072,399.672879
3,12000,12000,12000,8.646100,399.717780
3,12000,12000,12000,8.648423,399.610421
3,12000,12000,12000,8.648504,399.606670
3,12000,12000,12000,8.755388,394.728368
3,12000,12000,12000,8.787002,393.308206
3,12000,12000,12000,8.788382,393.246466
3,12000,12000,12000,8.786929,393.311478
4,12000,12000,12000,6.490986,532.430671
4,12000,12000,12000,6.493316,532.239588
4,12000,12000,12000,6.491390,532.397519
4,12000,12000,12000,6.492377,532.316597
4,12000,12000,12000,6.491586,532.381418
4,12000,12000,12000,6.495153,532.089113
4,12000,12000,12000,6.494637,532.131350
4,12000,12000,12000,6.493804,532.199617
4,12000,12000,12000,6.495605,532.052034
4,12000,12000,12000,6.490682,532.455591
5,12000,12000,12000,5.302962,651.711242
5,12000,12000,12000,5.325364,648.969741
5,12000,12000,12000,5.373844,643.115040
5,12000,12000,12000,5.369807,643.598606
5,12000,12000,12000,5.359270,644.863946
5,12000,12000,12000,5.365056,644.168543
5,12000,12000,12000,5.296240,652.538361
5,12000,12000,12000,5.299835,652.095789
5,12000,12000,12000,5.357652,645.058653
5,12000,12000,12000,5.363584,644.345302
6,12000,12000,12000,4.305612,802.673363
6,12000,12000,12000,4.305437,802.706061
6,12000,12000,12000,4.305400,802.712964
6,12000,12000,12000,4.305520,802.690458
6,12000,12000,12000,4.277174,808.010168
6,12000,12000,12000,4.275436,808.338652
6,12000,12000,12000,4.306971,802.420144
6,12000,12000,12000,4.275902,808.250523
6,12000,12000,12000,4.279990,807.478474
6,12000,12000,12000,4.305178,802.754210
7,12000,12000,12000,3.759706,919.220729
7,12000,12000,12000,3.771263,916.403974
7,12000,12000,12000,3.767768,917.253967
7,12000,12000,12000,3.776612,915.105891
7,12000,12000,12000,3.756122,920.097873
7,12000,12000,12000,3.774261,915.675912
7,12000,12000,12000,3.753964,920.626955
7,12000,12000,12000,3.751432,921.248156
7,12000,12000,12000,3.775899,915.278673
7,12000,12000,12000,3.757513,919.757372
8,12000,12000,12000,3.345341,1033.078591
8,12000,12000,12000,3.339744,1034.809846
8,12000,12000,12000,3.327305,1038.678481
8,12000,12000,12000,3.332692,1036.999495
8,12000,12000,12000,3.342139,1034.068332
8,12000,12000,12000,3.328075,1038.438251
8,12000,12000,12000,3.327774,1038.532088
8,12000,12000,12000,3.323923,1039.735229
8,12000,12000,12000,3.328955,1038.163747
8,12000,12000,12000,3.336592,1035.787524
9,12000,12000,12000,2.934191,1177.837283
9,12000,12000,12000,2.939646,1175.651860
9,12000,12000,12000,2.926527,1180.921849
9,12000,12000,12000,2.929486,1179.729104
9,12000,12000,12000,2.936673,1176.842128
9,12000,12000,12000,2.934982,1177.519805
9,12000,12000,12000,2.935928,1177.140516
9,12000,12000,12000,2.931158,1179.056219
9,12000,12000,12000,2.935313,1177.387302
9,12000,12000,12000,2.938538,1176.095143
10,12000,12000,12000,2.597674,1330.420870
10,12000,12000,12000,2.615917,1321.142948
10,12000,12000,12000,2.613844,1322.190595
10,12000,12000,12000,2.620246,1318.960179
10,12000,12000,12000,2.609449,1324.417445
10,12000,12000,12000,2.612455,1322.893389
10,12000,12000,12000,2.619011,1319.582099
10,12000,12000,12000,2.617022,1320.584901
10,12000,12000,12000,2.619747,1319.211184
10,12000,12000,12000,2.618538,1319.820629
11,12000,12000,12000,2.367143,1459.988123
11,12000,12000,12000,2.358350,1465.431507
11,12000,12000,12000,2.364798,1461.435795
11,12000,12000,12000,2.368299,1459.275270
11,12000,12000,12000,2.365375,1461.079405
11,12000,12000,12000,2.370014,1458.219441
11,12000,12000,12000,2.367708,1459.639481
11,12000,12000,12000,2.364620,1461.545579
11,12000,12000,12000,2.366518,1460.373402
11,12000,12000,12000,2.368950,1458.873898
12,12000,12000,12000,2.148976,1608.207673
12,12000,12000,12000,2.149385,1607.901618
12,12000,12000,12000,2.140839,1614.320640
12,12000,12000,12000,2.149425,1607.871835
12,12000,12000,12000,2.148165,1608.814687
12,12000,12000,12000,2.139806,1615.099995
12,12000,12000,12000,2.148096,1608.866602
12,12000,12000,12000,2.149821,1607.575958
12,12000,12000,12000,2.131221,1621.605943
12,12000,12000,12000,2.147904,1609.010815
