m,k,n,time,GFLOPS
2000,2000,2000,0.029354,545.077983
2000,2000,2000,0.035473,451.043092
2000,2000,2000,0.044398,360.373801
2000,2000,2000,0.043681,366.292953
2000,2000,2000,0.053010,301.829650
2000,2000,2000,0.044338,360.867517
2000,2000,2000,0.053439,299.405641
2000,2000,2000,0.049116,325.762252
2000,2000,2000,0.044583,358.878040
2000,2000,2000,0.044801,357.134096
2000,2000,2000,0.052249,306.223249
2000,2000,2000,0.043518,367.667765
2000,2000,2000,0.036753,435.344511
2000,2000,2000,0.037020,432.201613
2000,2000,2000,0.047321,338.117713
3000,3000,3000,0.073468,735.018586
3000,3000,3000,0.073851,731.199955
3000,3000,3000,0.070787,762.848067
3000,3000,3000,0.062407,865.283485
3000,3000,3000,0.073925,730.473875
3000,3000,3000,0.070469,766.299782
3000,3000,3000,0.067484,800.189129
3000,3000,3000,0.071495,755.298809
3000,3000,3000,0.073619,733.502350
3000,3000,3000,0.073178,737.930027
3000,3000,3000,0.065198,828.248044
3000,3000,3000,0.068502,788.295505
3000,3000,3000,0.071714,752.987100
3000,3000,3000,0.073535,734.346227
3000,3000,3000,0.072723,742.548025
4000,4000,4000,0.121661,1052.105526
4000,4000,4000,0.122583,1044.194266
4000,4000,4000,0.121678,1051.957470
4000,4000,4000,0.128123,999.043728
4000,4000,4000,0.123031,1040.384440
4000,4000,4000,0.123191,1039.036091
4000,4000,4000,0.122939,1041.166419
4000,4000,4000,0.124159,1030.933556
4000,4000,4000,0.121137,1056.654591
4000,4000,4000,0.128748,994.191282
4000,4000,4000,0.144575,885.353127
4000,4000,4000,0.130248,982.743002
4000,4000,4000,0.123109,1039.728446
4000,4000,4000,0.123097,1039.827877
4000,4000,4000,0.122734,1042.908957
5000,5000,5000,0.223406,1119.037988
5000,5000,5000,0.224405,1114.058285
5000,5000,5000,0.223654,1117.799677
5000,5000,5000,0.222892,1121.620823
5000,5000,5000,0.224770,1112.248536
5000,5000,5000,0.223792,1117.110756
5000,5000,5000,0.222190,1125.164394
5000,5000,5000,0.223186,1120.143867
5000,5000,5000,0.223885,1116.645738
5000,5000,5000,0.223749,1117.324463
5000,5000,5000,0.223927,1116.433462
5000,5000,5000,0.226711,1102.723667
5000,5000,5000,0.223959,1116.276126
5000,5000,5000,0.223843,1116.851904
5000,5000,5000,0.223625,1117.940950
6000,6000,6000,0.390033,1107.597412
6000,6000,6000,0.385239,1121.380359
6000,6000,6000,0.393351,1098.256130
6000,6000,6000,0.387268,1115.507427
6000,6000,6000,0.392107,1101.739443
6000,6000,6000,0.387481,1114.892849
6000,6000,6000,0.393631,1097.473250
6000,6000,6000,0.386929,1116.482650
6000,6000,6000,0.418809,1031.496381
6000,6000,6000,0.390117,1107.359098
6000,6000,6000,0.391835,1102.505807
6000,6000,6000,0.389062,1110.364080
6000,6000,6000,0.391691,1102.910900
6000,6000,6000,0.388070,1113.201651
6000,6000,6000,0.384412,1123.793456
7000,7000,7000,0.578011,1186.828692
7000,7000,7000,0.569409,1204.758897
7000,7000,7000,0.571225,1200.927473
7000,7000,7000,0.574653,1193.763309
7000,7000,7000,0.571265,1200.843330
7000,7000,7000,0.574898,1193.254157
7000,7000,7000,0.572280,1198.714834
7000,7000,7000,0.581855,1178.988518
7000,7000,7000,0.589373,1163.949385
7000,7000,7000,0.584131,1174.394490
7000,7000,7000,0.585442,1171.765206
7000,7000,7000,0.581638,1179.427531
7000,7000,7000,0.589835,1163.036882
7000,7000,7000,0.579316,1184.155403
7000,7000,7000,0.579055,1184.688928
8000,8000,8000,0.797670,1283.738867
8000,8000,8000,0.783532,1306.903080
8000,8000,8000,0.775419,1320.576445
8000,8000,8000,0.807322,1268.391816
8000,8000,8000,0.830564,1232.896889
8000,8000,8000,0.794813,1288.353625
8000,8000,8000,0.811237,1262.269358
8000,8000,8000,0.797983,1283.235767
8000,8000,8000,0.813686,1258.471362
8000,8000,8000,0.825974,1239.749093
8000,8000,8000,0.806843,1269.143567
8000,8000,8000,0.812710,1259.981546
8000,8000,8000,0.803161,1274.962493
8000,8000,8000,0.811031,1262.590708
8000,8000,8000,0.814551,1257.133815
9000,9000,9000,1.092763,1334.233003
9000,9000,9000,1.112347,1310.741960
9000,9000,9000,1.115838,1306.641606
9000,9000,9000,1.074871,1356.441583
