m,k,n,time,GFLOPS
2000,2000,2000,0.064812,246.869761
2000,2000,2000,0.063881,250.464055
2000,2000,2000,0.065109,245.743266
2000,2000,2000,0.063532,251.840216
2000,2000,2000,0.063677,251.268880
2000,2000,2000,0.063845,250.605863
2000,2000,2000,0.061691,259.358695
2000,2000,2000,0.062277,256.916320
2000,2000,2000,0.061180,261.523694
2000,2000,2000,0.062479,256.088070
2000,2000,2000,0.061099,261.869248
2000,2000,2000,0.064450,248.253105
2000,2000,2000,0.063421,252.281023
2000,2000,2000,0.061733,259.179133
2000,2000,2000,0.062314,256.762861
3000,3000,3000,0.147730,365.530706
3000,3000,3000,0.152672,353.699328
3000,3000,3000,0.146069,369.687450
3000,3000,3000,0.151187,357.173085
3000,3000,3000,0.157452,342.961229
3000,3000,3000,0.152442,354.232614
3000,3000,3000,0.151077,357.433231
3000,3000,3000,0.158648,340.375915
3000,3000,3000,0.153956,350.749114
3000,3000,3000,0.155838,346.513476
3000,3000,3000,0.152082,355.072435
3000,3000,3000,0.152240,354.702373
3000,3000,3000,0.152663,353.719665
3000,3000,3000,0.154680,349.107319
3000,3000,3000,0.154881,348.655710
4000,4000,4000,0.310093,412.778911
4000,4000,4000,0.321531,398.095330
4000,4000,4000,0.308269,415.222264
4000,4000,4000,0.315533,405.663424
4000,4000,4000,0.311903,410.384494
4000,4000,4000,0.316394,404.559177
4000,4000,4000,0.318047,402.456155
4000,4000,4000,0.315830,405.280791
4000,4000,4000,0.316374,404.584930
4000,4000,4000,0.314599,406.867698
4000,4000,4000,0.320857,398.931613
4000,4000,4000,0.325296,393.488225
4000,4000,4000,0.326758,391.727664
4000,4000,4000,0.316624,404.264396
4000,4000,4000,0.316481,404.447327
5000,5000,5000,0.604021,413.893219
5000,5000,5000,0.573594,435.848360
5000,5000,5000,0.602081,415.226397
5000,5000,5000,0.585218,427.191284
5000,5000,5000,0.582170,429.427692
5000,5000,5000,0.569473,439.002239
5000,5000,5000,0.570948,437.868379
5000,5000,5000,0.609224,410.358397
5000,5000,5000,0.573786,435.702805
5000,5000,5000,0.575000,434.782500
5000,5000,5000,0.585398,427.060003
5000,5000,5000,0.581258,430.101791
5000,5000,5000,0.615534,406.151129
5000,5000,5000,0.571153,437.711244
5000,5000,5000,0.585230,427.182566
6000,6000,6000,0.991535,435.688058
