cores,m,k,n,time,GFLOPS
1,12000,12000,12000,71.351877,48.436007
1,12000,12000,12000,71.310950,48.463805
1,12000,12000,12000,71.144363,48.577285
1,12000,12000,12000,71.276301,48.487365
1,12000,12000,12000,71.224795,48.522428
1,12000,12000,12000,71.328672,48.451764
1,12000,12000,12000,71.266688,48.493905
1,12000,12000,12000,71.223877,48.523054
1,12000,12000,12000,71.273534,48.489247
1,12000,12000,12000,71.284049,48.482095
2,12000,12000,12000,36.498717,94.688261
2,12000,12000,12000,36.551887,94.550523
2,12000,12000,12000,36.505477,94.670727
2,12000,12000,12000,36.332340,95.121867
2,12000,12000,12000,36.432369,94.860699
2,12000,12000,12000,36.502529,94.678372
2,12000,12000,12000,36.502492,94.678467
2,12000,12000,12000,36.344978,95.088791
2,12000,12000,12000,36.457401,94.795568
2,12000,12000,12000,36.516541,94.642042
3,12000,12000,12000,26.527759,130.278629
3,12000,12000,12000,24.266941,142.415973
3,12000,12000,12000,24.624149,140.350029
3,12000,12000,12000,24.677793,140.044938
3,12000,12000,12000,24.588352,140.554359
3,12000,12000,12000,24.616084,140.396009
3,12000,12000,12000,24.578678,140.609680
3,12000,12000,12000,24.632921,140.300049
3,12000,12000,12000,24.608906,140.436963
3,12000,12000,12000,24.629528,140.319377
4,12000,12000,12000,18.311049,188.738506
4,12000,12000,12000,18.700242,184.810439
4,12000,12000,12000,18.607614,185.730426
4,12000,12000,12000,18.700091,184.811931
4,12000,12000,12000,18.678387,185.026681
4,12000,12000,12000,18.722064,184.595035
4,12000,12000,12000,18.688253,184.929002
4,12000,12000,12000,18.285506,189.002156
4,12000,12000,12000,18.660285,185.206176
4,12000,12000,12000,18.833362,183.504147
5,12000,12000,12000,14.697028,235.149576
5,12000,12000,12000,14.995088,230.475466
5,12000,12000,12000,14.970096,230.860249
5,12000,12000,12000,14.683547,235.365467
5,12000,12000,12000,14.960140,231.013875
5,12000,12000,12000,14.684429,235.351330
5,12000,12000,12000,14.983780,230.649403
5,12000,12000,12000,14.670416,235.576138
5,12000,12000,12000,15.380349,224.702319
5,12000,12000,12000,15.000146,230.397759
6,12000,12000,12000,12.288551,281.237392
6,12000,12000,12000,12.568974,274.962777
6,12000,12000,12000,12.513238,276.187517
6,12000,12000,12000,12.584992,274.612817
6,12000,12000,12000,12.296562,281.054176
6,12000,12000,12000,12.562428,275.106049
6,12000,12000,12000,12.576833,274.790967
6,12000,12000,12000,12.547081,275.442557
6,12000,12000,12000,12.558253,275.197504
6,12000,12000,12000,12.616083,273.936060
7,12000,12000,12000,10.937301,315.982904
7,12000,12000,12000,10.926341,316.299859
7,12000,12000,12000,10.963464,315.228836
7,12000,12000,12000,10.948778,315.651659
7,12000,12000,12000,10.930797,316.170900
7,12000,12000,12000,10.776415,320.700349
7,12000,12000,12000,10.938023,315.962032
7,12000,12000,12000,10.938314,315.953615
7,12000,12000,12000,10.938508,315.948029
7,12000,12000,12000,10.733656,321.977898
8,12000,12000,12000,9.553152,361.765426
8,12000,12000,12000,9.522238,362.939899
8,12000,12000,12000,9.493395,364.042567
8,12000,12000,12000,9.494912,363.984428
8,12000,12000,12000,9.565868,361.284505
8,12000,12000,12000,9.327316,370.524605
8,12000,12000,12000,9.526046,362.794803
8,12000,12000,12000,9.579578,360.767465
8,12000,12000,12000,9.612561,359.529595
8,12000,12000,12000,9.339641,370.035634
9,12000,12000,12000,8.409286,410.974234
9,12000,12000,12000,8.470383,408.009894
