cores,m,k,n,time,GFLOPS
1,2000,1000,200,0.020380,39.254517
1,2000,1000,200,0.020582,38.869332
1,2000,1000,200,0.020400,39.215342
1,2000,1000,200,0.020675,38.694913
1,2000,1000,200,0.020586,38.860877
1,2000,1000,200,0.020667,38.709171
1,2000,1000,200,0.020530,38.968276
1,2000,1000,200,0.020714,38.620633
1,2000,1000,200,0.020405,39.205255
1,2000,1000,200,0.020415,39.186245
2,2000,1000,200,0.019107,41.869360
2,2000,1000,200,0.018962,42.189019
2,2000,1000,200,0.018860,42.418855
2,2000,1000,200,0.018896,42.337460
2,2000,1000,200,0.018928,42.264878
2,2000,1000,200,0.018912,42.302133
2,2000,1000,200,0.019053,41.988249
2,2000,1000,200,0.018239,43.861530
2,2000,1000,200,0.019037,42.022874
2,2000,1000,200,0.018275,43.776119
3,2000,1000,200,0.018816,42.515882
3,2000,1000,200,0.015452,51.774413
3,2000,1000,200,0.014782,54.121322
3,2000,1000,200,0.014577,54.882814
3,2000,1000,200,0.014188,56.385455
3,2000,1000,200,0.014128,56.627098
3,2000,1000,200,0.014301,55.939021
3,2000,1000,200,0.014551,54.977173
3,2000,1000,200,0.014234,56.203887
3,2000,1000,200,0.014023,57.049882
4,2000,1000,200,0.011902,67.213843
4,2000,1000,200,0.012063,66.318104
4,2000,1000,200,0.011665,68.579109
4,2000,1000,200,0.011678,68.507568
4,2000,1000,200,0.011713,68.298908
4,2000,1000,200,0.012015,66.581260
4,2000,1000,200,0.011716,68.283774
4,2000,1000,200,0.012142,65.887389
4,2000,1000,200,0.011990,66.721178
4,2000,1000,200,0.011782,67.898815
5,2000,1000,200,0.010279,77.829749
5,2000,1000,200,0.010415,76.809030
5,2000,1000,200,0.010287,77.766220
5,2000,1000,200,0.010001,79.991617
5,2000,1000,200,0.010114,79.095230
5,2000,1000,200,0.010145,78.859324
5,2000,1000,200,0.010170,78.663700
5,2000,1000,200,0.010369,77.152785
5,2000,1000,200,0.010277,77.846047
5,2000,1000,200,0.010224,78.245991
6,2000,1000,200,0.010378,77.086864
6,2000,1000,200,0.009647,82.930120
6,2000,1000,200,0.009684,82.608990
6,2000,1000,200,0.009738,82.151996
6,2000,1000,200,0.009797,81.657042
6,2000,1000,200,0.009915,80.685146
6,2000,1000,200,0.009736,82.173421
6,2000,1000,200,0.009928,80.579544
6,2000,1000,200,0.009860,81.133673
6,2000,1000,200,0.009869,81.062585
7,2000,1000,200,0.014410,55.518135
7,2000,1000,200,0.012542,63.785299
7,2000,1000,200,0.009136,87.566269
7,2000,1000,200,0.009436,84.783313
7,2000,1000,200,0.009159,87.341088
7,2000,1000,200,0.009070,88.201748
7,2000,1000,200,0.009342,85.638966
7,2000,1000,200,0.009403,85.082976
7,2000,1000,200,0.009184,87.109939
7,2000,1000,200,0.009046,88.438354
8,2000,1000,200,0.009355,85.519451
8,2000,1000,200,0.009161,87.329447
8,2000,1000,200,0.009217,86.799726
8,2000,1000,200,0.009057,88.326436
8,2000,1000,200,0.008991,88.978995
8,2000,1000,200,0.008980,89.083417
8,2000,1000,200,0.009016,88.728251
8,2000,1000,200,0.009245,86.533055
8,2000,1000,200,0.009146,87.467761
8,2000,1000,200,0.009152,87.413762
9,2000,1000,200,0.008309,96.283331
9,2000,1000,200,0.009461,84.558596
9,2000,1000,200,0.010883,73.510271
9,2000,1000,200,0.010289,77.754504
9,2000,1000,200,0.009345,85.608110
9,2000,1000,200,0.008359,95.710209
9,2000,1000,200,0.010206,78.385671
9,2000,1000,200,0.009450,84.651731
9,2000,1000,200,0.009867,81.080372
9,2000,1000,200,0.009789,81.721304
10,2000,1000,200,0.010825,73.902012
10,2000,1000,200,0.009226,86.714043
10,2000,1000,200,0.009542,83.838838
10,2000,1000,200,0.011023,72.576617
10,2000,1000,200,0.011245,71.142161
10,2000,1000,200,0.009989,80.090246
10,2000,1000,200,0.009141,87.517700
10,2000,1000,200,0.009115,87.770613
10,2000,1000,200,0.008901,89.877047
10,2000,1000,200,0.009544,83.819820
11,2000,1000,200,0.012421,64.406856
11,2000,1000,200,0.012066,66.299445
11,2000,1000,200,0.009333,85.720424
11,2000,1000,200,0.008911,89.780549
11,2000,1000,200,0.008755,91.375532
11,2000,1000,200,0.009869,81.058272
11,2000,1000,200,0.010053,79.577080
11,2000,1000,200,0.009501,84.199235
11,2000,1000,200,0.009010,88.786331
11,2000,1000,200,0.009545,83.814700
12,2000,1000,200,0.008605,92.963932
12,2000,1000,200,0.008399,95.244615
12,2000,1000,200,0.009648,82.917545
12,2000,1000,200,0.009574,83.559990
12,2000,1000,200,0.009288,86.129065
12,2000,1000,200,0.011602,68.956006
12,2000,1000,200,0.011842,67.557696
12,2000,1000,200,0.011832,67.611492
12,2000,1000,200,0.011732,68.187759
12,2000,1000,200,0.013124,60.957248
13,2000,1000,200,0.013288,60.204836
13,2000,1000,200,0.013233,60.455261
13,2000,1000,200,0.008702,91.937696
13,2000,1000,200,0.009142,87.510616
13,2000,1000,200,0.008807,90.833802
13,2000,1000,200,0.008586,93.173308
13,2000,1000,200,0.008805,90.852927
13,2000,1000,200,0.008887,90.019615
13,2000,1000,200,0.008784,91.070638
13,2000,1000,200,0.008762,91.298677
14,2000,1000,200,0.008501,94.105015
14,2000,1000,200,0.008548,93.584556
14,2000,1000,200,0.008692,92.036666
14,2000,1000,200,0.008548,93.589604
14,2000,1000,200,0.008491,94.221168
14,2000,1000,200,0.008872,90.175554
14,2000,1000,200,0.008623,92.778386
14,2000,1000,200,0.008424,94.964304
14,2000,1000,200,0.008406,95.173140
14,2000,1000,200,0.008348,95.828754
15,2000,1000,200,0.008543,93.646013
15,2000,1000,200,0.008571,93.335801
15,2000,1000,200,0.008497,94.151276
15,2000,1000,200,0.008520,93.894653
15,2000,1000,200,0.008681,92.157012
15,2000,1000,200,0.008564,93.409286
15,2000,1000,200,0.008569,93.364721
15,2000,1000,200,0.008568,93.373570
15,2000,1000,200,0.008286,96.550504
15,2000,1000,200,0.008426,94.944784
16,2000,1000,200,0.009002,88.867886
16,2000,1000,200,0.009030,88.596432
16,2000,1000,200,0.008891,89.977112
16,2000,1000,200,0.008987,89.018173
16,2000,1000,200,0.009025,88.644231
16,2000,1000,200,0.008902,89.872191
16,2000,1000,200,0.009062,88.281717
16,2000,1000,200,0.008970,89.189487
16,2000,1000,200,0.009093,87.984545
16,2000,1000,200,0.008910,89.783169
17,2000,1000,200,0.009015,88.744915
17,2000,1000,200,0.009054,88.357234
17,2000,1000,200,0.009284,86.174275
17,2000,1000,200,0.009296,86.055122
17,2000,1000,200,0.009403,85.079076
17,2000,1000,200,0.009147,87.464309
17,2000,1000,200,0.009254,86.452961
17,2000,1000,200,0.009235,86.629383
17,2000,1000,200,0.009254,86.451934
17,2000,1000,200,0.009406,85.056326
18,2000,1000,200,0.009097,87.937164
18,2000,1000,200,0.009244,86.538129
18,2000,1000,200,0.009277,86.231409
18,2000,1000,200,0.009285,86.163675
18,2000,1000,200,0.009380,85.284173
18,2000,1000,200,0.009233,86.641664
18,2000,1000,200,0.009358,85.489951
18,2000,1000,200,0.009450,84.654759
18,2000,1000,200,0.008992,88.970049
18,2000,1000,200,0.009207,86.894826
19,2000,1000,200,0.009389,85.202127
19,2000,1000,200,0.009198,86.979694
19,2000,1000,200,0.009990,80.079359
19,2000,1000,200,0.012839,62.311775
19,2000,1000,200,0.010691,74.832725
19,2000,1000,200,0.014031,57.016509
19,2000,1000,200,0.011048,72.414134
19,2000,1000,200,0.010541,75.895064
19,2000,1000,200,0.012854,62.239358
19,2000,1000,200,0.009382,85.273455
20,2000,1000,200,0.009636,83.023646
20,2000,1000,200,0.009672,82.712687
20,2000,1000,200,0.009617,83.186423
20,2000,1000,200,0.009636,83.025895
20,2000,1000,200,0.009637,83.015462
20,2000,1000,200,0.009764,81.930789
20,2000,1000,200,0.009492,84.278224
20,2000,1000,200,0.009728,82.238541
20,2000,1000,200,0.009918,80.659992
20,2000,1000,200,0.009730,82.220826
21,2000,1000,200,0.009635,83.032625
21,2000,1000,200,0.009520,84.032722
21,2000,1000,200,0.009284,86.172270
21,2000,1000,200,0.009731,82.210349
21,2000,1000,200,0.009630,83.073322
21,2000,1000,200,0.009624,83.127454
21,2000,1000,200,0.009334,85.707943
21,2000,1000,200,0.009772,81.868040
21,2000,1000,200,0.009569,83.605198
21,2000,1000,200,0.009298,86.037723
22,2000,1000,200,0.009932,80.543735
22,2000,1000,200,0.010093,79.262282
22,2000,1000,200,0.009934,80.531257
22,2000,1000,200,0.010218,78.293737
22,2000,1000,200,0.010339,77.379557
22,2000,1000,200,0.009984,80.128253
22,2000,1000,200,0.009913,80.704868
22,2000,1000,200,0.010121,79.039816
22,2000,1000,200,0.010365,77.186357
22,2000,1000,200,0.010146,78.847502
23,2000,1000,200,0.010323,77.494990
23,2000,1000,200,0.010208,78.372724
23,2000,1000,200,0.010317,77.543680
23,2000,1000,200,0.010433,76.677818
23,2000,1000,200,0.010222,78.261430
23,2000,1000,200,0.010274,77.865428
23,2000,1000,200,0.010268,77.912673
23,2000,1000,200,0.010312,77.576600
23,2000,1000,200,0.010339,77.375358
23,2000,1000,200,0.010314,77.564468
24,2000,1000,200,0.010628,75.273091
24,2000,1000,200,0.010002,79.980973
24,2000,1000,200,0.010194,78.480030
24,2000,1000,200,0.010642,75.170689
24,2000,1000,200,0.010489,76.272211
24,2000,1000,200,0.010508,76.129254
24,2000,1000,200,0.010428,76.720042
24,2000,1000,200,0.010172,78.649703
24,2000,1000,200,0.010313,77.574035
24,2000,1000,200,0.010148,78.832716
25,2000,1000,200,0.010180,78.587384
25,2000,1000,200,0.010220,78.281065
25,2000,1000,200,0.013310,60.103053
25,2000,1000,200,0.010380,77.073570
25,2000,1000,200,0.010294,77.712275
25,2000,1000,200,0.010215,78.317091
25,2000,1000,200,0.010632,75.246562
25,2000,1000,200,0.010300,77.672444
25,2000,1000,200,0.010336,77.401927
25,2000,1000,200,0.010254,78.018509
26,2000,1000,200,0.011100,72.075059
26,2000,1000,200,0.010703,74.748772
26,2000,1000,200,0.010888,73.477869
26,2000,1000,200,0.010789,74.150092
26,2000,1000,200,0.011347,70.502092
26,2000,1000,200,0.012708,62.951649
26,2000,1000,200,0.011393,70.216472
26,2000,1000,200,0.010913,73.305171
26,2000,1000,200,0.011739,68.147547
26,2000,1000,200,0.011207,71.387084
27,2000,1000,200,0.012224,65.445556
27,2000,1000,200,0.010964,72.963901
27,2000,1000,200,0.010584,75.585469
27,2000,1000,200,0.010858,73.679167
27,2000,1000,200,0.011098,72.086392
27,2000,1000,200,0.010850,73.735430
27,2000,1000,200,0.011020,72.598187
27,2000,1000,200,0.010822,73.921782
27,2000,1000,200,0.010819,73.943140
27,2000,1000,200,0.010755,74.380861
28,2000,1000,200,0.010820,73.934092
28,2000,1000,200,0.010940,73.122921
28,2000,1000,200,0.011205,71.396335
28,2000,1000,200,0.011567,69.161058
28,2000,1000,200,0.010704,74.740454
28,2000,1000,200,0.011155,71.717928
28,2000,1000,200,0.010834,73.841119
28,2000,1000,200,0.011166,71.648173
28,2000,1000,200,0.011203,71.409680
28,2000,1000,200,0.010918,73.271138
29,2000,1000,200,0.011133,71.860892
29,2000,1000,200,0.011296,70.820991
29,2000,1000,200,0.011142,71.798017
29,2000,1000,200,0.011250,71.112129
29,2000,1000,200,0.011718,68.271362
29,2000,1000,200,0.011419,70.056551
29,2000,1000,200,0.011314,70.711981
29,2000,1000,200,0.011175,71.587918
29,2000,1000,200,0.011100,72.072851
29,2000,1000,200,0.011231,71.230614
30,2000,1000,200,0.011177,71.572912
30,2000,1000,200,0.010909,73.333655
30,2000,1000,200,0.011125,71.907986
30,2000,1000,200,0.011079,72.211675
30,2000,1000,200,0.011093,72.116524
30,2000,1000,200,0.011321,70.668238
30,2000,1000,200,0.010879,73.534562
30,2000,1000,200,0.011066,72.296543
30,2000,1000,200,0.010848,73.749522
30,2000,1000,200,0.011152,71.737703
31,2000,1000,200,0.010988,72.809945
31,2000,1000,200,0.010971,72.921250
31,2000,1000,200,0.011342,70.533340
31,2000,1000,200,0.011062,72.318541
31,2000,1000,200,0.011197,71.449298
31,2000,1000,200,0.010920,73.261905
31,2000,1000,200,0.011124,71.918917
31,2000,1000,200,0.011138,71.827380
31,2000,1000,200,0.011145,71.778949
31,2000,1000,200,0.011183,71.538185
32,2000,1000,200,0.011329,70.613658
32,2000,1000,200,0.011423,70.036490
32,2000,1000,200,0.011221,71.292918
32,2000,1000,200,0.011320,70.670036
32,2000,1000,200,0.011295,70.825988
32,2000,1000,200,0.011251,71.104241
32,2000,1000,200,0.011371,70.353229
32,2000,1000,200,0.011476,69.708593
32,2000,1000,200,0.011439,69.937547
32,2000,1000,200,0.011323,70.649646
33,2000,1000,200,0.011637,68.744238
33,2000,1000,200,0.011707,68.332382
33,2000,1000,200,0.011565,69.176009
33,2000,1000,200,0.011489,69.632294
33,2000,1000,200,0.011468,69.761940
33,2000,1000,200,0.012340,64.828493
33,2000,1000,200,0.011675,68.525372
33,2000,1000,200,0.011529,69.389168
33,2000,1000,200,0.012351,64.773221
33,2000,1000,200,0.011355,70.455840
34,2000,1000,200,0.011704,68.354493
34,2000,1000,200,0.011490,69.628349
34,2000,1000,200,0.011608,68.919626
34,2000,1000,200,0.011447,69.889206
34,2000,1000,200,0.011616,68.871798
34,2000,1000,200,0.011557,69.224069
34,2000,1000,200,0.012072,66.269343
34,2000,1000,200,0.011637,68.743310
34,2000,1000,200,0.011582,69.073647
34,2000,1000,200,0.011745,68.112369
35,2000,1000,200,0.012285,65.122260
35,2000,1000,200,0.011482,69.674552
35,2000,1000,200,0.011445,69.901199
35,2000,1000,200,0.011704,68.349949
35,2000,1000,200,0.013261,60.327089
35,2000,1000,200,0.011597,68.982525
35,2000,1000,200,0.011610,68.904661
35,2000,1000,200,0.011626,68.812865
35,2000,1000,200,0.011461,69.802455
35,2000,1000,200,0.012392,64.560358
36,2000,1000,200,0.011747,68.101793
36,2000,1000,200,0.011701,68.369792
36,2000,1000,200,0.011639,68.735443
36,2000,1000,200,0.011714,68.295118
36,2000,1000,200,0.011454,69.841773
36,2000,1000,200,0.011803,67.779751
36,2000,1000,200,0.011731,68.195729
36,2000,1000,200,0.011571,69.139373
36,2000,1000,200,0.011414,70.091347
36,2000,1000,200,0.011819,67.689031
37,2000,1000,200,0.013271,60.281686
37,2000,1000,200,0.011819,67.690061
37,2000,1000,200,0.011686,68.456894
37,2000,1000,200,0.011773,67.951118
37,2000,1000,200,0.012635,63.316436
37,2000,1000,200,0.011469,69.750621
37,2000,1000,200,0.012400,64.513986
37,2000,1000,200,0.011609,68.910074
37,2000,1000,200,0.012694,63.020207
37,2000,1000,200,0.011696,68.402061
38,2000,1000,200,0.011741,68.137651
38,2000,1000,200,0.011734,68.180356
38,2000,1000,200,0.011860,67.452704
38,2000,1000,200,0.011776,67.935336
38,2000,1000,200,0.011689,68.440402
38,2000,1000,200,0.011808,67.751400
38,2000,1000,200,0.011880,67.342289
38,2000,1000,200,0.011698,68.387414
38,2000,1000,200,0.011875,67.368540
38,2000,1000,200,0.011526,69.406078
39,2000,1000,200,0.011687,68.450030
39,2000,1000,200,0.012283,65.132095
39,2000,1000,200,0.011453,69.853012
39,2000,1000,200,0.011610,68.907700
39,2000,1000,200,0.011467,69.762384
39,2000,1000,200,0.011851,67.506367
39,2000,1000,200,0.011812,67.725367
39,2000,1000,200,0.011660,68.609881
39,2000,1000,200,0.011597,68.985202
39,2000,1000,200,0.011548,69.277397
40,2000,1000,200,0.011641,68.721485
40,2000,1000,200,0.011427,70.010962
40,2000,1000,200,0.011610,68.904305
40,2000,1000,200,0.011531,69.379365
40,2000,1000,200,0.011361,70.416597
40,2000,1000,200,0.012042,66.431538
40,2000,1000,200,0.011783,67.896228
40,2000,1000,200,0.011390,70.236477
40,2000,1000,200,0.011706,68.339130
40,2000,1000,200,0.011689,68.443043
41,2000,1000,200,0.012132,65.939785
41,2000,1000,200,0.011690,68.432481
41,2000,1000,200,0.011585,69.057691
41,2000,1000,200,0.011683,68.477966
41,2000,1000,200,0.011606,68.929822
41,2000,1000,200,0.012006,66.633100
41,2000,1000,200,0.011574,69.122437
41,2000,1000,200,0.011451,69.861692
41,2000,1000,200,0.011798,67.808816
41,2000,1000,200,0.011545,69.294655
42,2000,1000,200,0.011370,70.362863
42,2000,1000,200,0.011733,68.184313
42,2000,1000,200,0.011640,68.728221
42,2000,1000,200,0.011847,67.527262
42,2000,1000,200,0.011817,67.701942
42,2000,1000,200,0.011756,68.049211
42,2000,1000,200,0.011627,68.806397
42,2000,1000,200,0.011530,69.384065
42,2000,1000,200,0.011429,69.997890
42,2000,1000,200,0.011389,70.243643
43,2000,1000,200,0.011608,68.915132
43,2000,1000,200,0.011222,71.289118
43,2000,1000,200,0.011426,70.013541
43,2000,1000,200,0.011393,70.220232
43,2000,1000,200,0.011587,69.042643
43,2000,1000,200,0.011422,70.040261
43,2000,1000,200,0.011376,70.326295
43,2000,1000,200,0.011727,68.218449
43,2000,1000,200,0.011704,68.354925
43,2000,1000,200,0.011692,68.422028
44,2000,1000,200,0.012767,62.661392
44,2000,1000,200,0.011665,68.580397
44,2000,1000,200,0.011602,68.950812
44,2000,1000,200,0.011542,69.312912
44,2000,1000,200,0.011731,68.192560
44,2000,1000,200,0.011382,70.284052
44,2000,1000,200,0.011645,68.699113
44,2000,1000,200,0.011582,69.071119
44,2000,1000,200,0.011745,68.114729
44,2000,1000,200,0.011919,67.120767
45,2000,1000,200,0.011749,68.088479
45,2000,1000,200,0.011637,68.748556
45,2000,1000,200,0.011677,68.509967
45,2000,1000,200,0.011803,67.779384
45,2000,1000,200,0.011341,70.540175
45,2000,1000,200,0.011974,66.808808
45,2000,1000,200,0.011820,67.683727
45,2000,1000,200,0.011923,67.096796
45,2000,1000,200,0.011609,68.914693
45,2000,1000,200,0.011664,68.586700
46,2000,1000,200,0.011732,68.191805
46,2000,1000,200,0.011829,67.628868
46,2000,1000,200,0.011970,66.835588
46,2000,1000,200,0.011829,67.628868
46,2000,1000,200,0.011661,68.606851
46,2000,1000,200,0.011868,67.409065
46,2000,1000,200,0.013244,60.405336
46,2000,1000,200,0.011781,67.906486
46,2000,1000,200,0.011745,68.111476
46,2000,1000,200,0.011845,67.538778
47,2000,1000,200,0.011807,67.755234
47,2000,1000,200,0.011635,68.759452
47,2000,1000,200,0.011717,68.276426
47,2000,1000,200,0.011925,67.083850
47,2000,1000,200,0.011838,67.579491
47,2000,1000,200,0.012214,65.497353
47,2000,1000,200,0.011666,68.574824
47,2000,1000,200,0.012731,62.838335
47,2000,1000,200,0.011942,66.989579
47,2000,1000,200,0.011841,67.563533
48,2000,1000,200,0.011692,68.422806
48,2000,1000,200,0.011843,67.553081
48,2000,1000,200,0.012150,65.846315
48,2000,1000,200,0.011972,66.823194
48,2000,1000,200,0.011896,67.251203
48,2000,1000,200,0.012147,65.861255
48,2000,1000,200,0.012268,65.209373
48,2000,1000,200,0.012088,66.181019
48,2000,1000,200,0.012015,66.582207
48,2000,1000,200,0.011498,69.580325
49,2000,1000,200,0.012079,66.230149
49,2000,1000,200,0.012252,65.295382
49,2000,1000,200,0.012147,65.860545
49,2000,1000,200,0.011832,67.614001
49,2000,1000,200,0.012189,65.630326
49,2000,1000,200,0.012252,65.295329
49,2000,1000,200,0.013087,61.129715
49,2000,1000,200,0.011988,66.734842
49,2000,1000,200,0.012345,64.805780
49,2000,1000,200,0.012087,66.184638
50,2000,1000,200,0.012350,64.778440
50,2000,1000,200,0.012262,65.243382
50,2000,1000,200,0.013158,60.800225
50,2000,1000,200,0.012448,64.265292
50,2000,1000,200,0.012250,65.303894
50,2000,1000,200,0.012215,65.491997
50,2000,1000,200,0.012224,65.447173
50,2000,1000,200,0.012417,64.428677
50,2000,1000,200,0.012507,63.965213
50,2000,1000,200,0.012191,65.623758
51,2000,1000,200,0.012512,63.939963
51,2000,1000,200,0.012354,64.757020
51,2000,1000,200,0.012513,63.932079
51,2000,1000,200,0.012288,65.106138
51,2000,1000,200,0.012246,65.325368
51,2000,1000,200,0.012336,64.852956
51,2000,1000,200,0.012269,65.206407
51,2000,1000,200,0.012503,63.984633
51,2000,1000,200,0.012344,64.806688
51,2000,1000,200,0.012634,63.323307
52,2000,1000,200,0.012409,64.468355
52,2000,1000,200,0.012572,63.632241
52,2000,1000,200,0.013068,61.218140
52,2000,1000,200,0.013306,60.122277
52,2000,1000,200,0.012363,64.708145
52,2000,1000,200,0.012266,65.219814
52,2000,1000,200,0.011872,67.386671
52,2000,1000,200,0.012038,66.455306
52,2000,1000,200,0.011926,67.079164
52,2000,1000,200,0.012466,64.177005
53,2000,1000,200,0.012471,64.150399
53,2000,1000,200,0.012157,65.808377
53,2000,1000,200,0.012501,63.996053
53,2000,1000,200,0.012672,63.130257
53,2000,1000,200,0.012421,64.407929
53,2000,1000,200,0.014539,55.025628
53,2000,1000,200,0.012384,64.601038
53,2000,1000,200,0.012505,63.976160
53,2000,1000,200,0.012468,64.162254
53,2000,1000,200,0.012623,63.374619
54,2000,1000,200,0.012433,64.347404
54,2000,1000,200,0.012549,63.752188
54,2000,1000,200,0.012571,63.640811
54,2000,1000,200,0.012852,62.248734
54,2000,1000,200,0.012533,63.829392
54,2000,1000,200,0.012660,63.190065
54,2000,1000,200,0.013167,60.756447
54,2000,1000,200,0.013073,61.196804
54,2000,1000,200,0.012386,64.588400
54,2000,1000,200,0.012493,64.036039
55,2000,1000,200,0.013216,60.532051
55,2000,1000,200,0.013492,59.295794
55,2000,1000,200,0.012811,62.446915
55,2000,1000,200,0.013242,60.413264
55,2000,1000,200,0.013270,60.284634
55,2000,1000,200,0.013591,58.861491
55,2000,1000,200,0.012542,63.786758
55,2000,1000,200,0.012809,62.457470
55,2000,1000,200,0.012760,62.698072
55,2000,1000,200,0.012805,62.475454
56,2000,1000,200,0.012535,63.820053
56,2000,1000,200,0.012851,62.251548
56,2000,1000,200,0.012768,62.658899
56,2000,1000,200,0.012709,62.948805
56,2000,1000,200,0.012572,63.632945
56,2000,1000,200,0.013118,60.983349
56,2000,1000,200,0.012792,62.536706
56,2000,1000,200,0.012442,64.300055
56,2000,1000,200,0.012894,62.042697
56,2000,1000,200,0.012891,62.057693
57,2000,1000,200,0.012667,63.158721
57,2000,1000,200,0.012886,62.082293
57,2000,1000,200,0.012779,62.602012
57,2000,1000,200,0.012381,64.613122
57,2000,1000,200,0.012481,64.098902
57,2000,1000,200,0.012618,63.399581
57,2000,1000,200,0.012273,65.184130
57,2000,1000,200,0.012597,63.507436
57,2000,1000,200,0.012638,63.298716
57,2000,1000,200,0.012508,63.956535
58,2000,1000,200,0.012571,63.636842
58,2000,1000,200,0.012761,62.688806
58,2000,1000,200,0.012824,62.383499
58,2000,1000,200,0.013058,61.264552
58,2000,1000,200,0.012753,62.732443
58,2000,1000,200,0.012734,62.826126
58,2000,1000,200,0.012633,63.325111
58,2000,1000,200,0.012551,63.738240
58,2000,1000,200,0.012619,63.396863
58,2000,1000,200,0.012696,63.013094
59,2000,1000,200,0.012936,61.840596
59,2000,1000,200,0.012351,64.772707
59,2000,1000,200,0.012556,63.713823
59,2000,1000,200,0.014503,55.160640
59,2000,1000,200,0.013324,60.042796
59,2000,1000,200,0.012981,61.626640
59,2000,1000,200,0.013482,59.337602
59,2000,1000,200,0.012941,61.818824
59,2000,1000,200,0.012538,63.807663
59,2000,1000,200,0.012879,62.118515
60,2000,1000,200,0.012341,64.824395
60,2000,1000,200,0.012422,64.402791
60,2000,1000,200,0.012865,62.183206
60,2000,1000,200,0.012919,61.924336
60,2000,1000,200,0.012796,62.519572
60,2000,1000,200,0.012937,61.836915
60,2000,1000,200,0.012800,62.501475
60,2000,1000,200,0.012821,62.397926
60,2000,1000,200,0.012522,63.885925
60,2000,1000,200,0.012752,62.735110
61,2000,1000,200,0.013285,60.218486
61,2000,1000,200,0.012658,63.199420
61,2000,1000,200,0.012708,62.950153
61,2000,1000,200,0.013057,61.270375
61,2000,1000,200,0.012763,62.679263
61,2000,1000,200,0.013051,61.298130
61,2000,1000,200,0.012886,62.083555
61,2000,1000,200,0.012621,63.385335
61,2000,1000,200,0.012831,62.346574
61,2000,1000,200,0.012559,63.697559
62,2000,1000,200,0.012560,63.693243
62,2000,1000,200,0.012842,62.296815
62,2000,1000,200,0.012836,62.322338
62,2000,1000,200,0.012839,62.309654
62,2000,1000,200,0.012608,63.452828
