m,k,n,time,GFLOPS
2000,2000,2000,0.027921,573.049360
2000,2000,2000,0.027149,589.335597
2000,2000,2000,0.027315,585.751685
2000,2000,2000,0.027244,587.286438
2000,2000,2000,0.026984,592.952669
2000,2000,2000,0.026872,595.411890
2000,2000,2000,0.026993,592.744291
2000,2000,2000,0.026806,596.873613
2000,2000,2000,0.027270,586.728653
2000,2000,2000,0.027670,578.242728
3000,3000,3000,0.078958,683.907104
3000,3000,3000,0.078853,684.816042
3000,3000,3000,0.078833,684.989840
3000,3000,3000,0.079000,683.546553
3000,3000,3000,0.078777,685.482875
3000,3000,3000,0.078982,683.703477
3000,3000,3000,0.079014,683.422776
3000,3000,3000,0.078483,688.043534
3000,3000,3000,0.079137,682.362228
3000,3000,3000,0.079102,682.665799
4000,4000,4000,0.168569,759.333883
4000,4000,4000,0.168316,760.474753
4000,4000,4000,0.168825,758.181594
4000,4000,4000,0.169897,753.395532
4000,4000,4000,0.169362,755.777373
4000,4000,4000,0.168844,758.097847
4000,4000,4000,0.170133,752.352748
4000,4000,4000,0.170011,752.891477
4000,4000,4000,0.171394,746.817475
4000,4000,4000,0.169200,756.502693
5000,5000,5000,0.336364,743.243114
5000,5000,5000,0.330844,755.642736
5000,5000,5000,0.329904,757.796674
5000,5000,5000,0.330046,757.470694
5000,5000,5000,0.330690,755.994412
5000,5000,5000,0.329497,758.731269
5000,5000,5000,0.332923,750.924230
5000,5000,5000,0.329485,758.759834
5000,5000,5000,0.330692,755.991138
5000,5000,5000,0.331007,755.270977
6000,6000,6000,0.554527,779.042822
6000,6000,6000,0.551479,783.348460
6000,6000,6000,0.556702,775.998770
6000,6000,6000,0.553831,780.021413
6000,6000,6000,0.555391,777.830955
6000,6000,6000,0.553134,781.004114
6000,6000,6000,0.557857,774.392083
6000,6000,6000,0.552668,781.663011
6000,6000,6000,0.556998,775.585719
6000,6000,6000,0.552388,782.058808
7000,7000,7000,0.885379,774.809434
7000,7000,7000,0.888933,771.711375
7000,7000,7000,0.884393,775.673101
7000,7000,7000,0.888068,772.463279
7000,7000,7000,0.906168,757.034022
7000,7000,7000,0.890038,770.753965
7000,7000,7000,0.887457,772.994802
7000,7000,7000,0.887016,773.379512
7000,7000,7000,0.892282,768.815178
7000,7000,7000,0.892204,768.882031
8000,8000,8000,1.339479,764.476580
8000,8000,8000,1.336560,766.145732
8000,8000,8000,1.334915,767.089906
8000,8000,8000,1.365789,749.750011
8000,8000,8000,1.331222,769.218267
8000,8000,8000,1.359464,753.238108
8000,8000,8000,1.336183,766.362254
8000,8000,8000,1.344544,761.596499
8000,8000,8000,1.351110,757.895347
8000,8000,8000,1.340814,763.715333
9000,9000,9000,1.897997,768.178233
9000,9000,9000,1.877504,776.562823
9000,9000,9000,1.883328,774.161609
9000,9000,9000,1.878959,775.961750
9000,9000,9000,1.888517,772.034464
9000,9000,9000,1.921594,758.745179
9000,9000,9000,1.881148,775.058690
9000,9000,9000,1.891580,770.784234
9000,9000,9000,1.902628,766.308591
9000,9000,9000,1.892480,770.417621
10000,10000,10000,2.589458,772.362483
10000,10000,10000,2.536853,788.378373
10000,10000,10000,2.550221,784.245872
10000,10000,10000,2.557429,782.035427
10000,10000,10000,2.546080,785.521385
10000,10000,10000,2.561736,780.720632
10000,10000,10000,2.580162,775.145137
10000,10000,10000,2.544881,785.891225
10000,10000,10000,2.560291,781.161230
10000,10000,10000,2.535595,788.769363
11000,11000,11000,3.457108,770.007822
11000,11000,11000,3.475928,765.838664
11000,11000,11000,3.580481,743.475451
11000,11000,11000,3.501585,760.227059
11000,11000,11000,3.480043,764.933020
11000,11000,11000,3.456788,770.078946
11000,11000,11000,3.466186,767.991063
11000,11000,11000,3.485510,763.733219
11000,11000,11000,3.501353,760.277531
11000,11000,11000,3.461984,768.923319
12000,12000,12000,4.451436,776.378685
12000,12000,12000,4.460735,774.760275
12000,12000,12000,4.441435,778.126934
12000,12000,12000,4.424195,781.159017
12000,12000,12000,4.484649,770.628907
12000,12000,12000,4.503639,767.379438
12000,12000,12000,4.463802,774.227938
12000,12000,12000,4.460389,774.820277
12000,12000,12000,4.445749,777.371735
12000,12000,12000,4.414820,782.817889
13000,13000,13000,5.679655,773.638543
13000,13000,13000,5.685539,772.837841
13000,13000,13000,5.662618,775.966122
13000,13000,13000,5.609904,783.257676
13000,13000,13000,5.698204,771.120219
13000,13000,13000,5.681673,773.363734
13000,13000,13000,5.652992,777.287556
13000,13000,13000,5.633033,780.041560
13000,13000,13000,5.627144,780.857901
13000,13000,13000,5.673932,774.418802
14000,14000,14000,7.029180,780.745409
14000,14000,14000,7.179098,764.441440
14000,14000,14000,7.135541,769.107737
14000,14000,14000,7.061840,777.134598
14000,14000,14000,7.099723,772.987882
14000,14000,14000,7.092610,773.763075
14000,14000,14000,7.161108,766.361831
14000,14000,14000,7.170799,765.326198
14000,14000,14000,7.127029,770.026304
14000,14000,14000,7.071957,776.022831
15000,15000,15000,8.740981,772.224557
15000,15000,15000,8.795728,767.417964
15000,15000,15000,8.735071,772.747039
15000,15000,15000,8.749822,771.444283
15000,15000,15000,8.762589,770.320321
15000,15000,15000,8.865894,761.344575
15000,15000,15000,8.738874,772.410758
15000,15000,15000,8.714600,774.562196
15000,15000,15000,8.739863,772.323322
15000,15000,15000,8.849148,762.785296
16000,16000,16000,10.462751,782.968055
16000,16000,16000,10.475147,782.041503
16000,16000,16000,10.505199,779.804375
16000,16000,16000,10.461342,783.073561
16000,16000,16000,10.471544,782.310595
16000,16000,16000,10.473560,782.160049
16000,16000,16000,10.470906,782.358289
16000,16000,16000,10.507649,779.622513
16000,16000,16000,10.466139,782.714626
16000,16000,16000,10.484744,781.325722
17000,17000,17000,13.105555,749.758414
17000,17000,17000,12.633076,777.799506
17000,17000,17000,12.652206,776.623443
17000,17000,17000,12.596287,780.071155
17000,17000,17000,12.618480,778.699208
17000,17000,17000,12.567812,781.838545
17000,17000,17000,12.592706,780.292970
17000,17000,17000,12.599421,779.877124
17000,17000,17000,12.563207,782.125119
17000,17000,17000,12.613353,779.015671
18000,18000,18000,14.712429,792.799081
18000,18000,18000,15.559877,749.620324
18000,18000,18000,14.701321,793.398065
18000,18000,18000,15.102862,772.303951
18000,18000,18000,14.793513,788.453710
18000,18000,18000,14.754942,790.514811
18000,18000,18000,14.706562,793.115345
18000,18000,18000,14.742069,791.205115
18000,18000,18000,14.765375,789.956206
18000,18000,18000,14.737632,791.443309
19000,19000,19000,17.631075,778.058052
19000,19000,19000,17.751715,772.770413
19000,19000,19000,17.589910,779.878905
19000,19000,19000,17.742715,773.162407
19000,19000,19000,17.671289,776.287470
19000,19000,19000,17.589706,779.887985
19000,19000,19000,17.674024,776.167330
19000,19000,19000,17.636056,777.838314
19000,19000,19000,17.617016,778.678998
19000,19000,19000,17.685893,775.646451
20000,20000,20000,21.119725,757.585637
20000,20000,20000,20.434858,782.975842
20000,20000,20000,20.413072,783.811473
20000,20000,20000,20.403363,784.184441
20000,20000,20000,20.486516,781.001495
20000,20000,20000,20.559272,778.237659
20000,20000,20000,20.456376,782.152208
20000,20000,20000,20.440404,782.763376
20000,20000,20000,20.412675,783.826714
20000,20000,20000,20.509988,780.107704
