cores,m,k,n,time,GFLOPS
1,12000,12000,12000,52.506155,65.820855
1,12000,12000,12000,50.110210,68.967981
1,12000,12000,12000,50.135422,68.933298
1,12000,12000,12000,50.116666,68.959097
1,12000,12000,12000,50.117057,68.958558
1,12000,12000,12000,50.129324,68.941684
1,12000,12000,12000,50.040804,69.063638
1,12000,12000,12000,50.116566,68.959233
1,12000,12000,12000,50.911893,67.881978
1,12000,12000,12000,50.129574,68.941339
2,12000,12000,12000,31.476811,109.795112
2,12000,12000,12000,27.152334,127.281877
2,12000,12000,12000,27.275828,126.705594
2,12000,12000,12000,27.584826,125.286271
2,12000,12000,12000,27.388542,126.184156
2,12000,12000,12000,27.132971,127.372706
2,12000,12000,12000,27.324229,126.481152
2,12000,12000,12000,27.308909,126.552107
2,12000,12000,12000,27.572961,125.340185
2,12000,12000,12000,27.617110,125.139815
3,12000,12000,12000,18.111263,190.820482
3,12000,12000,12000,17.895337,193.122939
3,12000,12000,12000,18.026588,191.716811
3,12000,12000,12000,17.939821,192.644066
3,12000,12000,12000,17.916053,192.899626
3,12000,12000,12000,19.097971,180.961630
3,12000,12000,12000,17.894067,193.136636
3,12000,12000,12000,17.832980,193.798228
3,12000,12000,12000,17.888666,193.194959
3,12000,12000,12000,17.983528,192.175860
4,12000,12000,12000,13.725088,251.801663
4,12000,12000,12000,13.830708,249.878755
4,12000,12000,12000,13.745816,251.421965
4,12000,12000,12000,13.846525,249.593314
4,12000,12000,12000,13.854696,249.446112
4,12000,12000,12000,13.761884,251.128412
4,12000,12000,12000,13.757385,251.210531
4,12000,12000,12000,13.624976,253.651821
4,12000,12000,12000,13.827810,249.931120
4,12000,12000,12000,13.766424,251.045595
5,12000,12000,12000,10.601179,326.001465
5,12000,12000,12000,10.712580,322.611351
5,12000,12000,12000,10.824641,319.271547
5,12000,12000,12000,10.732856,322.001892
5,12000,12000,12000,11.027183,313.407344
5,12000,12000,12000,10.575651,326.788405
5,12000,12000,12000,10.683387,323.492924
5,12000,12000,12000,10.795747,320.126071
5,12000,12000,12000,10.706214,322.803191
5,12000,12000,12000,10.607891,325.795195
6,12000,12000,12000,8.991570,384.360001
6,12000,12000,12000,8.999052,384.040445
6,12000,12000,12000,9.034869,382.518006
6,12000,12000,12000,8.979109,384.893409
6,12000,12000,12000,9.025111,382.931586
6,12000,12000,12000,9.022475,383.043451
6,12000,12000,12000,9.002029,383.913451
6,12000,12000,12000,9.113588,379.213993
