cores,m,k,n,time,GFLOPS
1,12000,12000,12000,50.351335,68.637704
1,12000,12000,12000,50.326027,68.672220
1,12000,12000,12000,50.284583,68.728819
1,12000,12000,12000,50.324214,68.674694
1,12000,12000,12000,50.325589,68.672817
1,12000,12000,12000,50.335825,68.658852
1,12000,12000,12000,50.313429,68.689415
1,12000,12000,12000,50.300861,68.706577
1,12000,12000,12000,50.308595,68.696015
1,12000,12000,12000,50.324425,68.674406
2,12000,12000,12000,27.056735,127.731598
2,12000,12000,12000,26.742864,129.230737
2,12000,12000,12000,26.724110,129.321425
2,12000,12000,12000,26.719344,129.344492
2,12000,12000,12000,26.794231,128.982989
2,12000,12000,12000,26.715987,129.360746
2,12000,12000,12000,26.789240,129.007019
2,12000,12000,12000,26.718003,129.350986
2,12000,12000,12000,26.797737,128.966114
2,12000,12000,12000,26.720984,129.336556
3,12000,12000,12000,17.815753,193.985630
3,12000,12000,12000,17.591274,196.461039
3,12000,12000,12000,17.577329,196.616909
3,12000,12000,12000,17.575803,196.633971
3,12000,12000,12000,17.585486,196.525705
3,12000,12000,12000,17.582807,196.555648
3,12000,12000,12000,17.578592,196.602780
3,12000,12000,12000,17.575065,196.642236
3,12000,12000,12000,17.583437,196.548604
3,12000,12000,12000,17.575508,196.637269
4,12000,12000,12000,12.962385,266.617599
4,12000,12000,12000,12.948261,266.908428
4,12000,12000,12000,12.956429,266.740167
4,12000,12000,12000,12.956336,266.742084
4,12000,12000,12000,12.951498,266.841712
4,12000,12000,12000,12.952342,266.824333
4,12000,12000,12000,12.955785,266.753414
4,12000,12000,12000,12.951864,266.834189
4,12000,12000,12000,12.953716,266.796028
4,12000,12000,12000,12.954188,266.786308
5,12000,12000,12000,10.865610,318.067730
5,12000,12000,12000,10.792099,320.234280
5,12000,12000,12000,10.888268,317.405850
5,12000,12000,12000,10.737193,321.871838
5,12000,12000,12000,11.019831,313.616432
5,12000,12000,12000,10.774926,320.744665
5,12000,12000,12000,10.909309,316.793678
5,12000,12000,12000,10.828081,319.170142
5,12000,12000,12000,10.913639,316.667984
5,12000,12000,12000,10.924060,316.365885
6,12000,12000,12000,8.593629,402.158407
6,12000,12000,12000,8.598924,401.910743
6,12000,12000,12000,8.610170,401.385800
6,12000,12000,12000,8.596866,402.006944
6,12000,12000,12000,8.593557,402.161765
6,12000,12000,12000,8.583452,402.635227
6,12000,12000,12000,8.594312,402.126425
6,12000,12000,12000,8.600121,401.854800
6,12000,12000,12000,8.604761,401.638110
6,12000,12000,12000,8.608156,401.479731
7,12000,12000,12000,7.595132,455.028326
7,12000,12000,12000,8.228840,419.986296
7,12000,12000,12000,7.958191,434.269549
7,12000,12000,12000,7.993172,432.369017
7,12000,12000,12000,8.136133,424.771836
7,12000,12000,12000,8.169466,423.038692
7,12000,12000,12000,7.887133,438.182018
7,12000,12000,12000,7.718511,447.754768
7,12000,12000,12000,7.715449,447.932448
7,12000,12000,12000,8.454087,408.796341
8,12000,12000,12000,6.737373,512.959574
8,12000,12000,12000,6.569979,526.029112
8,12000,12000,12000,6.565793,526.364483
8,12000,12000,12000,6.625246,521.640989
8,12000,12000,12000,6.559970,526.831694
8,12000,12000,12000,6.555155,527.218617
8,12000,12000,12000,6.555156,527.218574
8,12000,12000,12000,6.574092,525.699935
8,12000,12000,12000,6.555251,527.210894
8,12000,12000,12000,6.550401,527.601299
9,12000,12000,12000,5.764181,599.564830
9,12000,12000,12000,5.840443,591.735919
9,12000,12000,12000,5.748567,601.193312
9,12000,12000,12000,5.738661,602.231062
9,12000,12000,12000,5.781560,597.762567
9,12000,12000,12000,5.976869,578.229163
9,12000,12000,12000,5.797892,596.078664
9,12000,12000,12000,5.817105,594.109967
9,12000,12000,12000,5.831656,592.627525
9,12000,12000,12000,5.752235,600.809923
10,12000,12000,12000,5.254370,657.738227
10,12000,12000,12000,5.360305,644.739429
10,12000,12000,12000,5.408929,638.943475
10,12000,12000,12000,5.401634,639.806383
10,12000,12000,12000,5.367582,643.865304
10,12000,12000,12000,5.409846,638.835132
10,12000,12000,12000,5.390005,641.186806
10,12000,12000,12000,5.394571,640.644073
10,12000,12000,12000,5.398772,640.145625
10,12000,12000,12000,5.392169,640.929432
11,12000,12000,12000,4.844708,713.355661
11,12000,12000,12000,4.674865,739.272613
11,12000,12000,12000,4.815356,717.703894
11,12000,12000,12000,4.691328,736.678350
11,12000,12000,12000,4.694760,736.139940
11,12000,12000,12000,4.690737,736.771251
11,12000,12000,12000,4.690174,736.859718
11,12000,12000,12000,4.977981,694.257302
11,12000,12000,12000,4.692488,736.496348
11,12000,12000,12000,4.857064,711.541022
12,12000,12000,12000,4.346656,795.093991
12,12000,12000,12000,4.290139,805.568339
12,12000,12000,12000,4.349938,794.494164
12,12000,12000,12000,4.298922,803.922454
12,12000,12000,12000,4.291289,805.352426
12,12000,12000,12000,4.340343,796.250405
12,12000,12000,12000,4.333471,797.513163
12,12000,12000,12000,4.336178,797.015308
12,12000,12000,12000,4.337921,796.694960
12,12000,12000,12000,4.355056,793.560348
