m,k,n,time,GFLOPS
2000,2000,2000,0.018207,878.774101
2000,2000,2000,0.018667,857.120021
2000,2000,2000,0.018677,856.665878
2000,2000,2000,0.019553,818.303862
2000,2000,2000,0.021683,737.917251
2000,2000,2000,0.020559,778.265496
2000,2000,2000,0.024208,660.927339
2000,2000,2000,0.031270,511.678420
2000,2000,2000,0.027532,581.149501
2000,2000,2000,0.028126,568.876065
2000,2000,2000,0.029999,533.353014
2000,2000,2000,0.032181,497.194842
2000,2000,2000,0.027114,590.110827
2000,2000,2000,0.027933,572.791139
2000,2000,2000,0.030757,520.202689
3000,3000,3000,0.063009,857.020317
3000,3000,3000,0.047654,1133.172202
3000,3000,3000,0.044185,1222.139768
3000,3000,3000,0.039083,1381.659872
3000,3000,3000,0.041361,1305.574846
3000,3000,3000,0.038627,1398.003563
3000,3000,3000,0.039336,1372.783958
3000,3000,3000,0.039397,1370.647746
3000,3000,3000,0.039250,1375.798141
3000,3000,3000,0.043017,1255.316906
3000,3000,3000,0.044354,1217.464748
3000,3000,3000,0.043490,1241.665893
3000,3000,3000,0.045570,1184.992231
3000,3000,3000,0.039251,1375.777706
3000,3000,3000,0.039818,1356.174084
4000,4000,4000,0.080616,1587.768073
4000,4000,4000,0.068228,1876.072595
4000,4000,4000,0.067956,1883.564794
4000,4000,4000,0.067913,1884.776514
4000,4000,4000,0.067076,1908.285531
4000,4000,4000,0.067756,1889.138672
4000,4000,4000,0.067713,1890.334713
4000,4000,4000,0.067678,1891.320889
4000,4000,4000,0.067414,1898.721456
4000,4000,4000,0.067480,1896.856304
4000,4000,4000,0.067017,1909.976681
4000,4000,4000,0.067291,1902.192332
4000,4000,4000,0.067060,1908.731726
4000,4000,4000,0.066937,1912.255413
4000,4000,4000,0.067256,1903.178075
5000,5000,5000,0.110125,2270.140922
5000,5000,5000,0.108987,2293.853981
5000,5000,5000,0.109430,2284.556895
5000,5000,5000,0.109449,2284.169968
5000,5000,5000,0.109496,2283.192702
5000,5000,5000,0.109446,2284.227465
5000,5000,5000,0.109295,2287.385442
5000,5000,5000,0.124713,2004.604046
5000,5000,5000,0.109796,2276.956492
