m,k,n,time,GFLOPS
2000,2000,2000,0.045949,348.210102
2000,2000,2000,0.020983,762.521060
2000,2000,2000,0.022998,695.707105
2000,2000,2000,0.022555,709.384155
2000,2000,2000,0.023272,687.509491
2000,2000,2000,0.023532,679.916194
2000,2000,2000,0.024687,648.125419
2000,2000,2000,0.030860,518.465102
2000,2000,2000,0.029197,547.992836
2000,2000,2000,0.032055,499.147799
2000,2000,2000,0.044856,356.698378
2000,2000,2000,0.042260,378.611830
2000,2000,2000,0.036805,434.723130
2000,2000,2000,0.031279,511.530652
2000,2000,2000,0.044708,357.881091
3000,3000,3000,0.074307,726.711393
3000,3000,3000,0.074188,727.880127
3000,3000,3000,0.070160,769.666804
3000,3000,3000,0.068624,786.901322
3000,3000,3000,0.072705,742.729636
3000,3000,3000,0.062344,866.156411
3000,3000,3000,0.054651,988.080908
3000,3000,3000,0.073242,737.283075
3000,3000,3000,0.058353,925.395854
3000,3000,3000,0.062791,859.991285
3000,3000,3000,0.072235,747.561827
3000,3000,3000,0.063387,851.903959
3000,3000,3000,0.062465,864.487128
3000,3000,3000,0.062025,870.609935
3000,3000,3000,0.055445,973.931813
4000,4000,4000,0.104073,1229.902930
4000,4000,4000,0.089475,1430.565103
4000,4000,4000,0.086289,1483.379383
4000,4000,4000,0.073039,1752.484030
4000,4000,4000,0.073005,1753.294962
4000,4000,4000,0.083082,1540.640471
4000,4000,4000,0.087394,1464.632780
4000,4000,4000,0.113665,1126.114871
4000,4000,4000,0.077764,1646.005314
4000,4000,4000,0.088576,1445.084242
4000,4000,4000,0.079461,1610.860036
4000,4000,4000,0.088182,1451.551596
4000,4000,4000,0.079632,1607.384505
4000,4000,4000,0.084298,1518.414381
4000,4000,4000,0.096186,1330.751260
5000,5000,5000,0.132208,1890.960444
5000,5000,5000,0.112857,2215.184080
5000,5000,5000,0.109809,2276.685850
5000,5000,5000,0.112973,2212.914115
5000,5000,5000,0.111522,2241.718578
5000,5000,5000,0.128209,1949.945051
5000,5000,5000,0.109852,2275.783236
5000,5000,5000,0.122791,2035.973999
5000,5000,5000,0.113428,2204.037930
5000,5000,5000,0.132012,1893.767104
5000,5000,5000,0.121739,2053.565481
5000,5000,5000,0.114294,2187.332308
5000,5000,5000,0.111739,2237.359961
5000,5000,5000,0.111530,2241.544154
5000,5000,5000,0.148020,1688.958886
6000,6000,6000,0.163753,2638.116159
6000,6000,6000,0.182142,2371.779344
6000,6000,6000,0.164548,2625.373129
6000,6000,6000,0.172811,2499.845250
6000,6000,6000,0.163865,2636.318057
6000,6000,6000,0.165061,2617.216176
6000,6000,6000,0.178070,2426.015921
6000,6000,6000,0.166062,2601.437109
6000,6000,6000,0.167801,2574.474389
6000,6000,6000,0.169260,2552.281583
