cores,m,k,n,time,GFLOPS
1,12000,12000,12000,35.765684,96.628936
1,12000,12000,12000,36.198561,95.473409
1,12000,12000,12000,36.198805,95.472766
1,12000,12000,12000,36.219729,95.417610
1,12000,12000,12000,36.202013,95.464305
1,12000,12000,12000,36.253249,95.329387
1,12000,12000,12000,36.206023,95.453733
1,12000,12000,12000,36.185170,95.508740
1,12000,12000,12000,36.188319,95.500430
1,12000,12000,12000,36.190189,95.495495
2,12000,12000,12000,19.048728,181.429441
2,12000,12000,12000,19.088181,181.054446
2,12000,12000,12000,19.078348,181.147759
2,12000,12000,12000,18.899440,182.862562
2,12000,12000,12000,19.089975,181.037434
2,12000,12000,12000,19.007900,181.819143
2,12000,12000,12000,19.521312,177.037284
2,12000,12000,12000,19.086116,181.074030
2,12000,12000,12000,19.302598,179.043252
2,12000,12000,12000,18.998397,181.910083
3,12000,12000,12000,12.753968,270.974501
3,12000,12000,12000,12.896220,267.985504
3,12000,12000,12000,13.297009,259.908068
3,12000,12000,12000,12.960539,266.655569
3,12000,12000,12000,13.240084,261.025544
3,12000,12000,12000,13.258908,260.654948
3,12000,12000,12000,12.973350,266.392250
3,12000,12000,12000,13.356165,258.756907
3,12000,12000,12000,12.895198,268.006742
3,12000,12000,12000,13.320068,259.458128
4,12000,12000,12000,9.636663,358.630369
4,12000,12000,12000,9.412169,367.184216
4,12000,12000,12000,9.912025,348.667393
4,12000,12000,12000,9.625044,359.063310
4,12000,12000,12000,9.692721,356.556225
4,12000,12000,12000,9.938371,347.743108
4,12000,12000,12000,9.453369,365.583967
4,12000,12000,12000,9.637791,358.588397
4,12000,12000,12000,9.726624,355.313406
4,12000,12000,12000,9.791392,352.963081
5,12000,12000,12000,7.639104,452.409064
5,12000,12000,12000,7.609330,454.179281
5,12000,12000,12000,7.782557,444.069987
5,12000,12000,12000,7.792117,443.525194
5,12000,12000,12000,7.842184,440.693572
5,12000,12000,12000,7.882398,438.445249
5,12000,12000,12000,7.636320,452.574003
5,12000,12000,12000,7.753631,445.726665
5,12000,12000,12000,7.663135,450.990383
5,12000,12000,12000,7.771069,444.726449
6,12000,12000,12000,6.545771,527.974512
6,12000,12000,12000,6.481225,533.232495
