cores,m,k,n,time,GFLOPS
1,12000,12000,12000,25.105682,137.658080
1,12000,12000,12000,25.138540,137.478151
1,12000,12000,12000,25.431319,135.895430
1,12000,12000,12000,25.425300,135.927600
1,12000,12000,12000,25.094896,137.717249
1,12000,12000,12000,25.118383,137.588472
1,12000,12000,12000,25.211628,137.079607
1,12000,12000,12000,25.120526,137.576736
1,12000,12000,12000,25.099847,137.690080
1,12000,12000,12000,25.106439,137.653930
2,12000,12000,12000,13.573226,254.618915
2,12000,12000,12000,13.580882,254.475364
2,12000,12000,12000,13.493664,256.120198
2,12000,12000,12000,13.550066,255.054105
2,12000,12000,12000,13.503253,255.938334
2,12000,12000,12000,13.561959,254.830437
2,12000,12000,12000,13.553188,254.995363
2,12000,12000,12000,13.505584,255.894153
2,12000,12000,12000,13.499421,256.010982
2,12000,12000,12000,14.041804,246.122218
3,12000,12000,12000,8.833829,391.223319
3,12000,12000,12000,8.828447,391.461813
3,12000,12000,12000,8.848214,390.587285
3,12000,12000,12000,8.835141,391.165219
3,12000,12000,12000,8.847438,390.621549
3,12000,12000,12000,8.829563,391.412340
3,12000,12000,12000,8.818081,391.921986
3,12000,12000,12000,8.826956,391.527962
3,12000,12000,12000,8.831263,391.337020
3,12000,12000,12000,8.837504,391.060645
4,12000,12000,12000,6.646299,519.988658
4,12000,12000,12000,6.665714,518.474103
4,12000,12000,12000,6.641382,520.373616
4,12000,12000,12000,6.668192,518.281441
4,12000,12000,12000,6.644789,520.106787
4,12000,12000,12000,6.657874,519.084645
4,12000,12000,12000,6.646877,519.943414
4,12000,12000,12000,6.662439,518.728956
4,12000,12000,12000,6.652991,519.465569
4,12000,12000,12000,6.647318,519.908944
5,12000,12000,12000,5.277760,654.823294
5,12000,12000,12000,5.295078,652.681643
5,12000,12000,12000,5.276753,654.948208
5,12000,12000,12000,5.280726,654.455469
5,12000,12000,12000,5.293168,652.917169
5,12000,12000,12000,5.284367,654.004560
5,12000,12000,12000,5.277218,654.890561
5,12000,12000,12000,5.269903,655.799534
5,12000,12000,12000,5.287757,653.585236
5,12000,12000,12000,5.274516,655.226004
6,12000,12000,12000,4.394995,786.349040
6,12000,12000,12000,4.405821,784.416819
6,12000,12000,12000,4.384987,788.143806
6,12000,12000,12000,4.397963,785.818338
6,12000,12000,12000,4.411444,783.416920
6,12000,12000,12000,4.406402,784.313414
6,12000,12000,12000,4.394901,786.365829
6,12000,12000,12000,4.403537,784.823585
6,12000,12000,12000,4.394680,786.405312
6,12000,12000,12000,4.382921,788.515305
7,12000,12000,12000,3.765878,917.714211
7,12000,12000,12000,3.748009,922.089689
7,12000,12000,12000,3.751926,921.126970
7,12000,12000,12000,3.752271,921.042326
7,12000,12000,12000,3.756964,919.891819
7,12000,12000,12000,3.753903,920.641772
7,12000,12000,12000,3.768720,917.022266
7,12000,12000,12000,3.749872,921.631430
7,12000,12000,12000,3.749611,921.695606
7,12000,12000,12000,3.762173,918.617933
8,12000,12000,12000,3.317266,1041.821706
8,12000,12000,12000,3.325934,1039.106592
8,12000,12000,12000,3.324594,1039.525386
8,12000,12000,12000,3.324369,1039.595763
8,12000,12000,12000,3.320140,1040.920075
8,12000,12000,12000,3.325275,1039.312491
8,12000,12000,12000,3.324143,1039.666496
8,12000,12000,12000,3.316862,1041.948568
8,12000,12000,12000,3.320748,1040.729472
8,12000,12000,12000,3.322399,1040.212182
9,12000,12000,12000,2.972943,1162.484328
9,12000,12000,12000,2.882673,1198.887357
9,12000,12000,12000,2.884333,1198.197223
9,12000,12000,12000,2.925548,1181.317118
9,12000,12000,12000,2.886386,1197.345148
9,12000,12000,12000,2.881634,1199.319681
9,12000,12000,12000,2.936270,1177.003312
9,12000,12000,12000,2.882245,1199.065386
9,12000,12000,12000,2.883650,1198.481183
9,12000,12000,12000,2.887340,1196.949271
10,12000,12000,12000,2.584867,1337.012623
10,12000,12000,12000,2.590935,1333.881459
10,12000,12000,12000,2.588782,1334.990633
10,12000,12000,12000,2.577213,1340.983595
10,12000,12000,12000,2.582140,1338.424862
10,12000,12000,12000,2.598595,1329.949400
10,12000,12000,12000,2.582596,1338.188384
10,12000,12000,12000,2.580417,1339.318245
10,12000,12000,12000,2.579271,1339.913519
10,12000,12000,12000,2.579381,1339.856511
11,12000,12000,12000,2.383204,1450.148640
11,12000,12000,12000,2.381893,1450.947091
11,12000,12000,12000,2.384680,1449.251069
11,12000,12000,12000,2.381123,1451.416237
11,12000,12000,12000,2.378308,1453.134111
11,12000,12000,12000,2.381557,1451.151462
11,12000,12000,12000,2.376552,1454.207520
11,12000,12000,12000,2.381854,1450.970752
11,12000,12000,12000,2.380981,1451.502386
11,12000,12000,12000,2.381513,1451.178513
12,12000,12000,12000,2.182984,1583.153742
12,12000,12000,12000,2.178579,1586.355197
12,12000,12000,12000,2.180930,1584.645004
12,12000,12000,12000,2.180289,1585.111199
12,12000,12000,12000,2.181820,1583.998886
12,12000,12000,12000,2.179101,1585.974885
12,12000,12000,12000,2.183491,1582.786740
12,12000,12000,12000,2.182119,1583.781716
12,12000,12000,12000,2.186022,1580.953935
12,12000,12000,12000,2.177211,1587.351553
