cores,m,k,n,time,GFLOPS
1,12000,12000,12000,35.364410,97.725369
1,12000,12000,12000,35.314525,97.863413
1,12000,12000,12000,35.428386,97.548897
1,12000,12000,12000,35.661800,96.910419
1,12000,12000,12000,35.350670,97.763353
1,12000,12000,12000,35.257978,98.020368
1,12000,12000,12000,35.710186,96.779110
1,12000,12000,12000,35.342503,97.785942
1,12000,12000,12000,35.701213,96.803434
1,12000,12000,12000,35.364795,97.724306
2,12000,12000,12000,18.625132,185.555732
2,12000,12000,12000,18.563567,186.171121
2,12000,12000,12000,18.158096,190.328322
2,12000,12000,12000,18.450674,187.310233
2,12000,12000,12000,18.404453,187.780646
2,12000,12000,12000,18.400531,187.820668
2,12000,12000,12000,17.865676,193.443567
2,12000,12000,12000,17.949863,192.536289
2,12000,12000,12000,18.317656,188.670431
2,12000,12000,12000,17.955344,192.477514
3,12000,12000,12000,12.102894,285.551536
3,12000,12000,12000,12.200101,283.276338
3,12000,12000,12000,12.120949,285.126180
3,12000,12000,12000,12.056213,286.657189
3,12000,12000,12000,12.170516,283.964964
3,12000,12000,12000,12.114262,285.283574
3,12000,12000,12000,12.311233,280.719233
3,12000,12000,12000,12.061169,286.539392
3,12000,12000,12000,12.210281,283.040174
3,12000,12000,12000,12.413161,278.414175
4,12000,12000,12000,9.403431,367.525412
4,12000,12000,12000,9.193500,375.917751
4,12000,12000,12000,9.277094,372.530455
4,12000,12000,12000,9.364996,369.033790
4,12000,12000,12000,9.263361,373.082709
4,12000,12000,12000,9.287356,372.118825
4,12000,12000,12000,9.310379,371.198649
4,12000,12000,12000,9.102443,379.678298
4,12000,12000,12000,9.084414,380.431806
4,12000,12000,12000,9.189983,376.061644
5,12000,12000,12000,7.494941,461.111047
5,12000,12000,12000,7.335445,471.137068
5,12000,12000,12000,7.430808,465.090769
5,12000,12000,12000,7.494332,461.148507
5,12000,12000,12000,7.338853,470.918270
5,12000,12000,12000,7.390800,467.608381
5,12000,12000,12000,7.406979,466.586955
5,12000,12000,12000,7.350074,470.199366
5,12000,12000,12000,7.448503,463.985821
5,12000,12000,12000,7.415397,466.057306
6,12000,12000,12000,6.196741,557.712487
6,12000,12000,12000,6.333310,545.686180
6,12000,12000,12000,6.110277,565.604457
6,12000,12000,12000,6.163644,560.707249
6,12000,12000,12000,6.146827,562.241303
6,12000,12000,12000,6.172857,559.870401
6,12000,12000,12000,6.260214,552.057788
